	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025636	success	208	53	36	172	17	0.173	0.1-0.3,1,2-4,absent,broadly,brownish,chartaceous,condition,diameter,drying,elliptic,fresh,fruit,globose,green,greenish,herb,long,membranous,minute,mm,mottled,mucilaginous,odd-pinnate,ovate,ovoid,plant,purple,ripe,rosette-forming,scale-like,seed,slightly,stem,unforked,whitish	0-2,0-5,0.1,0.6-2.8,1-10,1-2,1-2.2,1-3,1-3.5,1-4,1-5,1-5.5,1.1-6.1,1.4-3.5,1.7-5.2,1.7-9.2,1.8,10-45,2,2.5-6,2.6-8.3,3-5,3-6,5-merou,6.5-10,9.5-29.5,abaxially,acumen,acuminate,acute,adaxially,ag,along,alyx,anther,apart,apex,apparently,articulated,axe,base,berry,blade,blue,capitat,cell,ciliate,clavate,clearly,cm,connivent,contracted,corolla,covering,cuneate,decurrent,digestion,distal,dorsally,eaf,edge,eed,end,enzyme,especially,exceeding,except,filament,flat,flower,folded,geminat,generally,glabrou,glabrous,greatly,green-white,hair,hair-like,hal,half,high,highly,homostylous,honeycomb-shaped,interjected,lanceolate,larger,lateral,leaflet,lengthening,like,living,lobe,longer,lower,make,margin,midrib,minutely,moderately,multicellular,near,nflorescence,oblique,obovate,obtuse,often,orbicular,orne,orolla,pair,pedicel,peduncle,perfect,petiole,petiolulate,petiolule,plurifoliate,pore,poricidal,proximal,puberulent,pubescent,reduced,removed,rotate,rotate-pentagonal,rounded,ruit,semierec,sessile,seudostipule,short,singly,size,slit,sometimes,spaced,specimen,stamen,ste,stigma,stolo,straight,style,subequal,subglabrous,tall,tamen,tem,terminal,testal,thick,throughout,tip,tri-,truncate,tube,tuber,typically,unequal,unit,unwinged,uppermost,vary,wall,wet,wide,x,yellow,ympodial	arrangement,color,form,growth,height,history,inflorescence,leaf,length,life,property,pseudostipule,semierect,shape,surface,texture,ye
1	wfo-0001025637	success	193	77	54	139	23	0.28	0.2-0.9,1-2,2-20,2-7,2.5-8,2.8-4.2,3-10,3-4,3-5,5-7,anther,blue,brownish,cm,condition,coriaceous,corolla,dark,deep,diameter,dot,drying,elliptic,filament,flower,forked,fresh,fruit,glabrous,globose,green,greenish,herb,homostylous,leaf,light,lilac,medium,mm,moniliform,mottled,mucilaginous,odd-pinnate,ovoid,plant,purple,seed,stripe,style,tiny,tuber,white,whitish,yellow	0-0.3,0-27,0.2-0.5,0.3-0.5,0.8-2.6,1-12,1-2.5,1-5,1.2-3.5,1.5-5,1.6-2.5,14-38,2-3,3-9,4-6,5-merou,abaxially,acumen,acuminate,acute,adaxiall,adaxially,ag,along,alyx,apart,apex,apparently,arranged,articulated,attenuate,axe,axillary,base,bead,berry,blade,bud,capitat,cell,clavate,connivent,covering,cuneate,decreasing,decurrent,digestion,distal,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,folded,geminat,generally,glabrescent,glabrou,green-white,hair,hair-like,hal,half,high,honeycomb-shaped,interjected,lanceolate,lateral,leaflet,lengthening,like,linear,living,lobe,long,lower,make,multiple,necklace,nflorescence,onto,orolla,ovate,pair,pedicel,peduncle,pentagonal,perfect,petiole,petiolulate,petiolule,plurifoliate,pore,poricidal,rachi,removed,ripe,rotate,rounded,ruit,secondary,seudostipule,short,size,slit,sometimes,spaced,specimen,stamen,stigma,stolon,straight,subequal,subtending,symmetric,tall,tamen,tem,terminal,testal,thick,throughout,tip,toward,tri-,tube,typically,unit,unwinged,usually,vary,wall,wet,wide,x,ympodial	abaxial,adaxial,arrangement,calyx,color,erect,form,growth,height,history,inflorescence,length,life,number,ovary,property,pseudostipule,shape,staman,stem,surface,texture,ye
2	wfo-0001025639	success	154	72	46	108	26	0.299	1-2,1-4,2-3,2.8-3.2,3-6,5-10,5-8,6-8,8-12,8-9,branched,broadly,calyx,cm,corolla,cyme,dark,diameter,dichasial,dichasially,ebracteate,elliptic,filament,flower,forked,globose,green,green-white,leaf,medium,mm,monochasial,mucilaginous,obovate,odd-pinnate,ovate,ovoid,perennial,plant,puberulent,pubescent,seed,style,violet,white,yellow	1-3,10-21,2-3.5,20-35,3-4,3-5,3-6-foliat,3.5-7,4-10,4.5-8.5,5-1.,6-12,abaxially,acumen,acuminate,acute,adaxially,apex,apical,apically,articulate,base,belo,cell,connate,covering,cuneate,dehiscent,digestion,diminishing,distal,dorsally,eaf,edge,eed,elliptical,emoval,enzyme,exceeding,flat,folded,frequently,generally,globo,gradually,hair-like,half,herbaceous,honeycomb,interjected,introrse,lateral,leaflet,lobe,lon,long,long-attenuate,lower,lunat,make,maturing,nflorescence,nther,oblique,often,orolla,pair,pattern,pedicel,peduncle,perfect,petiole,petiolule,plan,poricidally,present,produced,proximal,rare,reveal,rotate,ruit,seudostipule,short,size,slit,sometimes,stamen,stigma,straight,tal,tem,terminal,testal,thick,throughou,throughout,top,toward,truncate,tuber-bearing,typically,unit,vary,wall,wide,ympodial,¼	abaxial,adaxial,anther,arrangement,color,form,fruit,growth,height,herb,history,inflorescence,length,life,na,number,ovary,property,pseudostipule,shape,staman,stem,surface,texture,tuber,ye
3	wfo-0001025642	success	149	67	40	109	27	0.268	0.3-0.4,1-4,1.5-2.5,2-10,2-3,3-5,5-6,5.5-7,8-13,9-12,branched,calyx,cm,corolla,cyme,diameter,dichasial,dichasially,ebracteate,elliptic,elliptic-lanceolate,filament,flower,forked,globose,green,green-white,leaf,mm,monochasial,mucilaginous,odd-pinnate,ovoid,perennial,plant,puberulent,seed,style,throughout,yellow	1,1-2,1-2.5,1-2.7,1-3,1-3.2,10-20,3,3-6-foliat,3.5-6,4-7.5,4.5-8,7-11.5,abaxially,absen,absent,acumen,acuminate,acute,adaxially,apex,apical,apically,apiculate,articulate,attenuate,base,cell,connate,covering,dehiscent,digestion,diminishing,distal,dorsally,eaf,edge,eed,emoval,enzyme,exceeding,flat,folded,generally,globo,gradually,hair-like,half,herbaceous,honeycomb,interjected,introrse,lanceolat,lanceolate,lateral,leaflet,living,lobe,lon,long,lower,lunate,make,maturing,nflorescence,nther,oblique,obtuse,often,orolla,pair,pattern,pedicel,peduncle,perfect,petiole,plan,poricidally,present,proximal,reveal,ruit,sessile,seudostipule,short,size,slit,specimen,stamen,stellate,stigma,straight,tal,tem,terminal,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,wide,without,ympodial,¼	abaxial,adaxial,anther,arrangement,color,form,fruit,growth,height,herb,history,inflorescence,length,life,na,number,ovary,property,pseudostipule,shape,staman,stem,surface,texture,tuber,white,ye
4	wfo-0001025644	success	204	91	67	137	24	0.328	1-2,10,10-11,12-28,13-21,2,2-3,2.5-11,25-50,3-10,3-5,4-6,6-7,abaxially,adaxially,anther,blue,brownish,chartaceous,ciliate,cm,condition,corolla,denticulate,diameter,drying,filament,finely,flower,forked,fresh,fruit,glabrous,globose,green,greenish,hair,herb,invested,like,margin,membranous,mm,mottled,mucilaginous,multicellular,non-glandular,odd-pinnate,ovoid,plant,pubescent,purple,seed,short,stem,style,tinged,trichome,tuber,uniseriate,usually,white,whitish,wing,winged,x,yellow	.3,0-5,0.8-1.5,1-10,1.3-2.1,2-4,2.4-4,2.5-6,3-4,3.3-8.2,4-19,4.5-9.5,5-merou,6.5-13,absent,acumen,acuminate,acute,ag,almost,along,always,alyx,apart,apex,apparently,articulated,attenuate,axe,axillary,base,berry,blade,broadly,bud,c.,capitat,cell,clavate,connivent,cordate,covering,cuneate,digestion,distal,dorsally,eaf,edge,eed,elliptic,end,enzyme,erec,especially,exceeding,except,flat,folded,geminat,generally,glabrou,greatly,green-white,hair-like,half,homostylous,honeycomb-shaped,interjected,lanceolate,lateral,leaflet,lengthening,living,lobe,long,lower,make,middl,midrib,minutely,nflorescence,oblique,often,one,orbicular,orolla,ovate,pair,pedicel,peduncle,pentagonal,perfect,petiole,petiolule,placed,plurifoliate,pore,poricidal,proximal,puberulent,rarely,reduced,removed,rounded,ruit,sessile,seudostipule,shallowly,size,slit,spaced,specimen,stamen,ste,stigma,stolo,straight,subequal,subtending,tall,tamen,tem,terminal,testal,thick,throughout,tip,tri-,truncate,tube,typically,unit,vary,wall,well-developed,wet,ympodial	5-merous,abaxial,adaxial,arrangement,calyx,color,form,growth,height,history,inflorescence,leaf,length,life,na,number,ovary,property,pseudostipule,shape,staman,surface,texture,ye
5	wfo-0001025645	success	150	67	41	109	26	0.273	0.3-0.8,1-4,10-11,12-17,2.5,4-6,5,5-5.5,8-10,branched,calyx,cm,corolla,cyme,diameter,dichasial,dichasially,ebracteate,elliptic-lanceolate,filament,flower,glabrous,globose,green,green-white,herbaceous,lanceolate,leaf,mm,monochasial,mucilaginous,odd-pinnate,ovoid,perennial,plant,puberulent,seed,style,throughout,tuber-bearing,yellow	0.5-1,0.8,1-2,1-3.5,10-16,15-25,2-3,2-4.5,3-5.5,3-6-foliat,4-12,4-5,4-7,abaxially,absen,acumen,acuminate,acute,adaxially,apex,apical,apically,articulate,base,cell,connate,covering,cuneate,decurrent,dehiscent,digestion,diminishing,distal,dorsally,eaf,edge,eed,elliptic,emoval,enzyme,exceeding,flat,folded,forked,generally,globo,gradually,hair-like,half,honeycomb,interjected,introrse,larger,lateral,leaflet,living,lobe,lon,long,lower,lunat,make,maturing,mucronate,nflorescence,nther,oblique,oblong,often,orolla,pair,pattern,pedicel,peduncle,perfect,petiole,plan,poricidally,proximal,rachi,reveal,ruit,second,sessile,seudostipule,short,size,slit,specimen,stamen,stellate,stigma,straight,tal,tem,terminal,testal,thick,throughou,toward,typically,unit,vary,wall,whit,wide,without,ympodial,¼	abaxial,adaxial,anther,arrangement,color,form,fruit,growth,height,history,inflorescence,length,life,na,number,ovary,property,pseudostipule,shape,staman,stem,surface,texture,tuber,white,ye
6	wfo-0001025646	success	136	61	35	101	26	0.257	0.25-0.4,1-4,1-7,1.1-1.4,2-4,3.5-7,4-10,4-5,7-8,branched,calyx,cm,corolla,cyme,diameter,dichasial,dichasially,ebracteate,elliptic,filament,flower,fruit,globose,leaf,mm,monochasial,odd-pinnate,ovary,ovate,perennial,plant,puberulent,strigose,style,yellow	0-.,0.5-2.1,0.6-2.3,0.6-3,0.7-3.5,1.1-4.5,1.2,1.2-7.0,1.5-3,2-3,2.3-9.0,2.5-3,3,3-6-foliat,3.2-6,4-15.5,abaxially,abruptly,acumen,acuminate,acute,adaxially,apex,apical,apically,apiculate,articulate,attenuate,ature,base,caudate,connate,cuneate,decurrent,dehiscent,diminishing,distal,dorsally,eaf,edge,eed,exceeding,flat,folded,forked,generally,globo,gradually,half,herbaceous,interjected,introrse,lateral,leaflet,like,lobe,lon,long,lower,lunat,maturing,nflorescence,nther,oblique,obovate,often,orolla,pair,pedicel,peduncle,pentagonal,perfect,petiole,petiolule,plan,poricidally,probably,proximal,seen,sessile,seudostipule,short,size,slightly,slit,sometimes,stamen,stigma,straight,tal,tem,terminal,toward,tuber-bearing,typically,unit,vary,whit,wide,ympodial,¼	abaxial,adaxial,anther,arrangement,color,form,growth,height,herb,history,inflorescence,length,life,mucilaginous,na,number,property,pseudostipule,seed,shape,staman,stem,surface,texture,tuber,white
7	wfo-0001025647	success	194	72	47	147	25	0.242	0.06-0.24,1-2,1.2-3,2,2-3,2-4,2-5,2.5-3,3-6,5-6,anther,blue,cm,corolla,densely,diameter,elliptic,filament,flower,forming,fruit,glabrous,globose,green,greenish,herb,light,linear,mm,moderately,mucilaginous,narrowly,odd-pinnate,ovoid,plant,pubescent,ripe,rosette,scale-like,seed,stem,style,tuber,unbranched,unwinged,whitish,yellow	0-4,0.4-1.5,0.6-3,0.8-3,1,1-10,1-3,1-5,1.3-2.9,1.4-5,1.5-5,1.5-5.5,4-10,4-6,5-merou,6.2-11,abaxially,absent,acumen,acute,adaxially,ag,along,alyx,apart,apex,apparently,articulated,attenuate,axe,axillary,base,berry,blade,borne,broadly,brownish,bud,capitat,cell,chartaceous,ciliate,clavate,condition,connivent,covering,decurrent,digestion,distal,dorsally,drying,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,flat,folded,frequently,fresh,geminat,glabrou,greatly,green-white,hair,hair-like,hal,half,high,homostylous,honeycomb-shaped,interjected,lanceolate,lateral,leaflet,lengthening,like,living,lobe,long,lower,make,margin,membranous,midrib,minutely,multicellular,near,nflorescence,oblique,obtuse,often,orbicular,orolla,ovate,pair,pedicel,peduncle,perfect,petiole,petiolulate,plurifoliate,pore,poricidal,proximal,puberulent,reduced,removed,rotate,ruit,sessile,seudostipule,short,singly,size,slit,sometimes,spaced,specimen,stamen,ste,stigma,stolo,straight,subequal,subtending,tall,tamen,tem,terminal,testal,thick,throughout,tip,tri-,tube,typically,unit,vary,wall,wet,x,ympodial	5-merous,abaxial,adaxial,arrangement,calyx,color,erect,form,growth,height,history,inflorescence,leaf,length,life,na,number,ovary,property,pseudostipule,shape,staman,surface,texture,ye
8	wfo-0001025652	success	156	68	48	108	20	0.308	.3,0.5-1,1-1.5,2-3,2-6,3-3.5,3-5,4-6,anther,calyx,closed,cm,completely,corolla,densely,elliptic,envelope,filament,fleshy,flower,fruit,furcate,glabrous,green,growth,leaf,mm,occasionally,ovary,ovoid-reniform,pale,paler,papillose,pinkish-grey,plant,shape,shiny,shrub,simple,small,stem,straight,style,surface,tan,tree,white,x	.5,1,1.5-2,10-20,15-17,15-19,2-5,20-50,3-5-flowered,4,4-7,9-11,abruptly,acuminate,acute,anthesi,apex,appearing,bark,base,bilobed,blade,broad,campanulate,closely,connate,decurrent,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,free,geminat,glabrate,greyi,greyish,growing,irregular,lateral,like,live,lobe,lobed,lon,long,lower,main,major,margin,matte,middle,minor,minute,minutely,narrowing,nearly,new,nflorescence,older,one,onto,opposite,overlappin,ovoid,pair,papillae,papillo,parallel,pedicel,petiole,pitted,planar,pore,poricidal,portion,rather,red-papillose,ry,scar,shaped,size,soon,spaced,specimen,stigma,strongly,tall,tapering,tear,tear-drop,thick,thicker,tightly,tip,tube,ud,unit,vein,wider,widest,wing,winged,ympodial,young	abaxial,adaxial,arrangement,color,diameter,form,height,history,inflorescence,length,life,mucilaginous,na,number,property,pseudostipule,seed,staman,texture,tuber
9	wfo-0001025653	success	218	59	34	184	25	0.156	.0,.6,.7,.8,.9,0.13,1.3,20,anther,brown,calyx,chartaceous,cm,corolla,densely,diameter,filament,flower,fruit,glabrous,leaf,least,long,mm,ovate,pubescent,reddish,short,shrub,simple,sparsely,stem,style,surface	.1,.2,.3,.5,0.1,0.15,0.2–0.4,0.3–0.5,0.3–0.8,0.6–1.6,0.7–1.1,0.8,1.0–1.6,1.1–1.3,1.3–1.8,1.6,1.9–3.3,1–1.5,2.3–3.2,2.5–4.0,2.6,4–6,5-merou,6–8,6–9,7–12,8–11,90°,abaxially,absent,acuminate,adaxiall,adaxially,adnate,aequilateral,ag,alyx,among,anthesi,apart,apex,apical,apparently,appearing,around,articulate,attenuate,axe,ba,bark,base,blade,broad,bud,channeled,clinate,congested,craspedodromous,cylindrical,deltoid,developed,directed,distinct,dry,eaf,edge,eed,either,emerging,entire,erect,extending,extra-axillary,ferruginous,fertile,filiform,free,glandular,globolunate,globose,hair,heterostylous,increasing,intact,internode,interpetalar,intersepalar,know,known,lanceolate,lateral,layer,less,lobe,lobed,lon,longer,low,lower,margin,mature,midpoint,midrib,midvein,minute,much,nflorescence,noticeably,oblique,obtuse,occasionally,opaque,opposed,orolla,pedicel,peduncle,persistent,petiole,plurifoliat,pore,porrect,porrect-stellate,portion,potentially,prickl,prickle,primary,raised,ray,reduced,remaining,restricted,rhizomatous,rigid,rounded,row,ruit,scarcely,secondary,see,seen,sessile,short-stipitate,shorter,shot-stipitate,side,sinuate,sloughing,splitting,spread,stamen,stellae,stellate,stellate-pubescent,stigma,stipe,stipitate,straight,subcordate,suture,tamen,tem,time,tip,tissue,transparent,truncat,truncate,tube,two,ud,unarme,unarmed,unbranched,vary,vein,well,wide,yellow-ferruginous,ympodia,young,±equal,±erect,×	2.3-3.2,6-8,abaxial,adaxial,arrangement,color,form,growth,height,history,inflorescence,length,life,mucilaginous,na,number,ovary,plant,property,pseudostipule,seed,shape,staman,texture,tuber
