	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025636	success	208	91	72	136	19	0.346	0.1-0.3,1,1-10,1-2,1-5.5,1.4-3.5,10-45,2,2-4,2.5-6,6.5-10,abaxially,absent,adaxially,anther,apart,blue,broadly,brownish,chartaceous,ciliate,clavate,cm,condition,corolla,diameter,drying,edge,elliptic,filament,flat,fresh,fruit,glabrous,globose,green,green-white,greenish,herb,long,margin,membranous,minute,minutely,mm,mottled,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,petiolule,plant,puberulent,purple,ripe,rosette-forming,rotate,rotate-pentagonal,scale-like,seed,slightly,stem,stigma,style,throughout,tip,unforked,wet,whitish	0-2,0-5,0.1,0.6-2.8,1-2.2,1-3,1-3.5,1-4,1-5,1.1-6.1,1.7-5.2,1.7-9.2,1.8,2.6-8.3,3-5,3-6,5-merou,9.5-29.5,acumen,acuminate,acute,ag,along,alyx,apex,apparently,articulated,axe,base,berry,blade,capitat,cell,clearly,connivent,contracted,covering,cuneate,decurrent,digestion,distal,dorsally,eaf,eed,end,enzyme,especially,exceeding,except,flower,folded,geminat,generally,glabrou,greatly,hair,hair-like,hal,half,high,highly,homostylous,honeycomb-shaped,interjected,lanceolate,larger,lateral,leaflet,lengthening,like,living,lobe,longer,lower,make,midrib,moderately,multicellular,near,nflorescence,oblique,obovate,obtuse,often,orbicular,orne,orolla,pair,perfect,petiolulate,plurifoliate,pore,poricidal,proximal,pubescent,reduced,removed,rounded,ruit,semierec,sessile,seudostipule,short,singly,size,slit,sometimes,spaced,specimen,stamen,ste,stolo,straight,subequal,subglabrous,tall,tamen,tem,terminal,testal,thick,tri-,truncate,tube,tuber,typically,unequal,unit,unwinged,uppermost,vary,wall,wide,x,yellow,ympodial	0.1-1.8,arrangement,capitate,color,form,growth,height,history,inflorescence,leaf,length,life,mucilage,pseudostipule,semierect,shape,spacing,surface,texture
1	wfo-0001025637	success	193	88	70	123	18	0.363	0-0.3,0.2-0.9,1-12,1-2,14-38,2-7,2.8-4.2,3-10,3-4,3-5,4-6,5-7,acuminate,acute,anther,apex,attenuate,base,blue,brownish,clavate,cm,coriaceous,corolla,dark,deep,diameter,dot,drying,edge,elliptic,filament,flat,forked,fruit,glabrescent,glabrous,globose,green,greenish,herb,interjected,lanceolate,leaf,leaflet,lilac,medium,mm,moniliform,mucilaginous,odd-pinnate,ovoid,pair,pedicel,peduncle,pentagonal,petiole,petiolulate,plant,rotate,rounded,seed,size,stigma,stripe,style,tiny,tuber,white,whitish	0-27,0.2-0.5,0.3-0.5,0.8-2.6,1-2.5,1-5,1.2-3.5,1.5-5,1.6-2.5,2-20,2-3,2.5-8,3-9,5-merou,abaxially,acumen,adaxiall,adaxially,ag,along,alyx,apart,apparently,arranged,articulated,axe,axillary,bead,berry,blade,bud,capitat,cell,condition,connivent,covering,cuneate,decreasing,decurrent,digestion,distal,dorsally,eaf,eed,enzyme,erec,exceeding,flower,folded,fresh,geminat,generally,glabrou,green-white,hair,hair-like,hal,half,high,homostylous,honeycomb-shaped,lateral,lengthening,light,like,linear,living,lobe,long,lower,make,mottled,multiple,necklace,nflorescence,onto,orolla,ovate,perfect,petiolule,plurifoliate,pore,poricidal,purple,rachi,removed,ripe,ruit,secondary,seudostipule,short,slit,sometimes,spaced,specimen,stamen,stolon,straight,subequal,subtending,symmetric,tall,tamen,tem,terminal,testal,thick,throughout,tip,toward,tri-,tube,typically,unit,unwinged,usually,vary,wall,wet,wide,x,yellow,ympodial	arrangement,capitate,color,form,growth,height,history,inflorescence,length,life,mucilage,present,pseudostipule,shape,spacing,stem,surface,texture
2	wfo-0001025639	success	154	90	66	88	24	0.429	1-2,1-3,2-3,2-3.5,2.8-3.2,20-35,3-6,3.5-7,4-10,4.5-8.5,5-10,5-8,6-8,8-12,8-9,branched,broadly,calyx,cm,corolla,cyme,diameter,dichasial,dichasially,distal,ebracteate,elliptic,flower,forked,globose,green,green-white,half,herbaceous,lateral,leaf,leaflet,long,medium,mm,monochasial,mucilaginous,obovate,ovate,ovoid,pair,pedicel,peduncle,perennial,perfect,petiole,plant,proximal,puberulent,pubescent,rotate,seed,size,straight,style,terminal,throughout,unit,wide,yellow,¼	1-4,10-21,3-4,3-5,3-6-foliat,5-1.,6-12,abaxially,acumen,acuminate,acute,adaxially,apex,apical,apically,articulate,base,belo,cell,connate,covering,cuneate,dark,dehiscent,digestion,diminishing,dorsally,eaf,edge,eed,elliptical,emoval,enzyme,exceeding,filament,flat,folded,frequently,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,lobe,lon,long-attenuate,lower,lunat,make,maturing,nflorescence,nther,oblique,odd-pinnate,often,orolla,pattern,petiolule,plan,poricidally,present,produced,rare,reveal,ruit,seudostipule,short,slit,sometimes,stamen,stigma,tal,tem,testal,thick,throughou,top,toward,truncate,tuber-bearing,typically,vary,violet,wall,white,ympodial	3-6-foliate,anther,articulation,color,foliation,form,fruit,growth,height,history,inflorescence,length,life,location,lunate,number,ovary,pseudostipule,shape,stem,surface,sympodial,texture,type
3	wfo-0001025642	success	149	103	80	69	23	0.537	0.3-0.4,1-2.7,1-3.2,1-4,10-20,2-10,2-3,3-5,4-7.5,5-6,5.5-7,8-13,9-12,absent,acuminate,acute,apex,apically,apiculate,attenuate,base,branched,calyx,cm,connate,corolla,cyme,dehiscent,diameter,dichasial,dichasially,distal,dorsally,ebracteate,edge,elliptic,elliptic-lanceolate,filament,flat,flower,folded,forked,globose,green,green-white,half,herbaceous,interjected,lanceolate,lateral,leaf,leaflet,lunate,mm,monochasial,mucilaginous,oblique,obtuse,odd-pinnate,ovoid,pair,pedicel,peduncle,perennial,perfect,petiole,plant,poricidally,proximal,puberulent,seed,sessile,size,stellate,straight,style,terminal,throughout,yellow,¼	1,1-2,1-2.5,1-3,1.5-2.5,3,3-6-foliat,3.5-6,4.5-8,7-11.5,abaxially,absen,acumen,adaxially,apical,articulate,cell,covering,digestion,diminishing,eaf,eed,emoval,enzyme,exceeding,generally,globo,gradually,hair-like,honeycomb,introrse,lanceolat,living,lobe,lon,long,lower,make,maturing,nflorescence,nther,often,orolla,pattern,plan,present,reveal,ruit,seudostipule,short,slit,specimen,stamen,stigma,tal,tem,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,wide,without,ympodial	anther,arrangement,articulation,color,dehiscence,form,fruit,growth,height,history,inflorescence,length,life,location,number,ovary,pseudostipule,shape,stem,surface,texture,type,white
4	wfo-0001025644	success	204	89	70	134	19	0.343	0-5,1-10,1-2,1.3-2.1,10,10-11,2-3,2-4,2.5-6,25-50,3-5,3.3-8.2,4-19,4-6,6.5-13,abaxially,adaxially,anther,blue,cell,chartaceous,clavate,cm,corolla,diameter,edge,end,filament,flat,forked,fruit,glabrous,globose,green,greenish,herb,honeycomb-shaped,interjected,leaflet,membranous,minutely,mm,mucilaginous,odd-pinnate,one,ovoid,pair,pedicel,peduncle,pentagonal,petiole,petiolule,plant,plurifoliate,puberulent,pubescent,seed,size,stem,stigma,style,terminal,testal,tinged,tri-,tuber,unit,white,whitish,x	.3,0.8-1.5,12-28,13-21,2,2.4-4,2.5-11,3-10,3-4,4.5-9.5,5-merou,6-7,absent,acumen,acuminate,acute,ag,almost,along,always,alyx,apart,apex,apparently,articulated,attenuate,axe,axillary,base,berry,blade,broadly,brownish,bud,c.,capitat,ciliate,condition,connivent,cordate,covering,cuneate,denticulate,digestion,distal,dorsally,drying,eaf,eed,elliptic,enzyme,erec,especially,exceeding,except,finely,flower,folded,fresh,geminat,generally,glabrou,greatly,green-white,hair,hair-like,half,homostylous,invested,lanceolate,lateral,lengthening,like,living,lobe,long,lower,make,margin,middl,midrib,mottled,multicellular,nflorescence,non-glandular,oblique,often,orbicular,orolla,ovate,perfect,placed,pore,poricidal,proximal,purple,rarely,reduced,removed,rounded,ruit,sessile,seudostipule,shallowly,short,slit,spaced,specimen,stamen,ste,stolo,straight,subequal,subtending,tall,tamen,tem,thick,throughout,tip,trichome,truncate,tube,typically,uniseriate,usually,vary,wall,well-developed,wet,wing,winged,yellow,ympodial	arrangement,capitate,color,form,growth,height,history,inflorescence,leaf,length,life,placement,pseudostipule,shape,spacing,stolon,surface,sympodial,texture
5	wfo-0001025645	success	150	100	76	74	24	0.507	0.3-0.8,1-2,1-3.5,1-4,10-11,15-25,2-4.5,4-6,4-7,5-5.5,8-10,acuminate,acute,apex,apical,base,branched,cell,cm,corolla,covering,cuneate,cyme,dehiscent,diameter,dichasial,dichasially,diminishing,ebracteate,edge,elliptic-lanceolate,filament,flat,glabrous,globose,gradually,green,green-white,hair-like,herbaceous,honeycomb,interjected,introrse,lanceolate,lateral,leaf,leaflet,maturing,mm,monochasial,mucilaginous,oblique,odd-pinnate,ovoid,pattern,pedicel,peduncle,perennial,petiole,plant,poricidally,puberulent,seed,short,size,slit,stellate,stigma,style,terminal,testal,thick,throughout,toward,tuber-bearing,wall	0.5-1,0.8,10-16,12-17,2-3,2.5,3-5.5,3-6-foliat,4-12,4-5,5,abaxially,absen,acumen,adaxially,apically,articulate,calyx,connate,decurrent,digestion,distal,dorsally,eaf,eed,elliptic,emoval,enzyme,exceeding,flower,folded,forked,generally,globo,half,larger,living,lobe,lon,long,lower,lunat,make,mucronate,nflorescence,nther,oblong,often,orolla,pair,perfect,plan,proximal,rachi,reveal,ruit,second,sessile,seudostipule,specimen,stamen,straight,tal,tem,throughou,typically,unit,vary,whit,wide,without,yellow,ympodial,¼	absent,anther,arrangement,color,dehiscence,form,fruit,growth,height,history,inflorescence,length,life,lunate,maturation,mucilage,pseudostipule,shape,stem,surface,texture,wet,white,width
6	wfo-0001025646	success	136	95	71	65	24	0.522	0.25-0.4,0.7-3.5,1-7,1.1-4.5,1.2-7.0,2-3,2-4,3,3.2-6,3.5-7,4-10,4-5,7-8,acuminate,acute,apex,apically,attenuate,base,branched,calyx,cm,connate,corolla,cuneate,cyme,dehiscent,diameter,dichasial,dichasially,distal,dorsally,ebracteate,edge,elliptic,flat,flower,folded,forked,globose,half,herbaceous,interjected,leaf,leaflet,long,mm,monochasial,oblique,obovate,odd-pinnate,ovate,pedicel,peduncle,pentagonal,perennial,perfect,petiolule,plant,poricidally,proximal,puberulent,sessile,size,stigma,straight,strigose,style,terminal,yellow,¼	0-.,0.5-2.1,0.6-2.3,0.6-3,1-4,1.1-1.4,1.2,1.5-3,2.3-9.0,2.5-3,3-6-foliat,4-15.5,abaxially,abruptly,acumen,adaxially,apical,apiculate,articulate,ature,caudate,decurrent,diminishing,eaf,eed,exceeding,filament,fruit,generally,globo,gradually,introrse,lateral,like,lobe,lon,lower,lunat,maturing,nflorescence,nther,often,orolla,ovary,pair,petiole,plan,probably,seen,seudostipule,short,slightly,slit,sometimes,stamen,tal,tem,toward,tuber-bearing,typically,unit,vary,whit,wide,ympodial	0-4,anther,arrangement,articulation,attachment,color,dehiscence,form,growth,height,history,inflorescence,length,life,location,lunate,number,pseudostipule,shape,stem,surface,texture,type,white
7	wfo-0001025647	success	194	82	64	130	18	0.33	0.06-0.24,0.8-3,1-10,1-2,1.2-3,1.4-5,2,2-3,2-4,2-5,2.5-3,4-10,5-6,abaxially,adaxially,anther,blue,clavate,cm,corolla,densely,diameter,edge,elliptic,filament,flat,flower,forming,fruit,glabrous,globose,green,greenish,herb,homostylous,lanceolate,light,linear,minutely,mm,moderately,mucilaginous,narrowly,odd-pinnate,ovoid,pedicel,peduncle,petiole,plant,pore,poricidal,puberulent,pubescent,rosette,rotate,scale-like,seed,stem,stigma,straight,style,unbranched,whitish,yellow	0-4,0.4-1.5,0.6-3,1,1-3,1-5,1.3-2.9,1.5-5,1.5-5.5,3-6,4-6,5-merou,6.2-11,absent,acumen,acute,ag,along,alyx,apart,apex,apparently,articulated,attenuate,axe,axillary,base,berry,blade,borne,broadly,brownish,bud,capitat,cell,chartaceous,ciliate,condition,connivent,covering,decurrent,digestion,distal,dorsally,drying,eaf,eed,end,enzyme,erec,especially,exceeding,except,folded,frequently,fresh,geminat,glabrou,greatly,green-white,hair,hair-like,hal,half,high,honeycomb-shaped,interjected,lateral,leaflet,lengthening,like,living,lobe,long,lower,make,margin,membranous,midrib,multicellular,near,nflorescence,oblique,obtuse,often,orbicular,orolla,ovate,pair,perfect,petiolulate,plurifoliate,proximal,reduced,removed,ripe,ruit,sessile,seudostipule,short,singly,size,slit,sometimes,spaced,specimen,stamen,ste,stolo,subequal,subtending,tall,tamen,tem,terminal,testal,thick,throughout,tip,tri-,tube,tuber,typically,unit,unwinged,vary,wall,wet,x,ympodial	arrangement,capitate,color,erect,form,growth,height,history,inflorescence,leaf,length,life,number,pseudostipule,shape,spacing,surface,texture
8	wfo-0001025652	success	156	81	58	98	23	0.372	.3,0.5-1,1-1.5,1.5-2,15-17,2-3,2-5,2-6,4-6,4-7,acuminate,acute,anther,anthesi,apex,base,bilobed,closely,cm,corolla,elliptic,filament,fleshy,fruit,furcate,glabrous,growth,leaf,lobed,minutely,mm,nearly,occasionally,ovoid-reniform,pair,pale,papillose,parallel,pedicel,petiole,pitted,planar,plant,shape,shiny,shrub,simple,size,small,spaced,stem,stigma,style,surface,tan,tree,white,x	.5,1,10-20,15-19,20-50,3-3.5,3-5,3-5-flowered,4,9-11,abruptly,appearing,bark,blade,broad,calyx,campanulate,closed,completely,connate,decurrent,densely,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,flower,free,geminat,glabrate,green,greyi,greyish,growing,irregular,lateral,like,live,lobe,lon,long,lower,main,major,margin,matte,middle,minor,minute,narrowing,new,nflorescence,older,one,onto,opposite,ovary,overlappin,ovoid,paler,papillae,papillo,pinkish-grey,pore,poricidal,portion,rather,red-papillose,ry,scar,shaped,soon,specimen,straight,strongly,tall,tapering,tear,tear-drop,thick,thicker,tightly,tip,tube,ud,unit,vein,wider,widest,wing,winged,ympodial,young	alternate,arrangement,color,diameter,edge,form,height,history,inflorescence,interjected,leaflet,length,life,mucilage,na,overlapping,peduncle,perennial,pseudostipule,seed,spacing,texture,tuber
9	wfo-0001025653	success	218	80	56	162	24	0.257	.0,.3,.5,.7,.8,.9,0.13,1.3,20,acuminate,anther,apex,bark,base,brown,calyx,chartaceous,cm,corolla,deltoid,densely,diameter,erect,globolunate,globose,leaf,least,lobed,long,margin,midpoint,mm,obtuse,ovate,pedicel,peduncle,petiole,pubescent,ray,reddish,rhizomatous,rounded,short,shrub,simple,sinuate,stellate,stem,stigma,style,subcordate,surface,transparent,truncate,unarmed,unbranched	.1,.2,.6,0.1,0.15,0.2–0.4,0.3–0.5,0.3–0.8,0.6–1.6,0.7–1.1,0.8,1.0–1.6,1.1–1.3,1.3–1.8,1.6,1.9–3.3,1–1.5,2.3–3.2,2.5–4.0,2.6,4–6,5-merou,6–8,6–9,7–12,8–11,90°,abaxially,absent,adaxiall,adaxially,adnate,aequilateral,ag,alyx,among,anthesi,apart,apical,apparently,appearing,around,articulate,attenuate,axe,ba,blade,broad,bud,channeled,clinate,congested,craspedodromous,cylindrical,developed,directed,distinct,dry,eaf,edge,eed,either,emerging,entire,extending,extra-axillary,ferruginous,fertile,filament,filiform,flower,free,fruit,glabrous,glandular,hair,heterostylous,increasing,intact,internode,interpetalar,intersepalar,know,known,lanceolate,lateral,layer,less,lobe,lon,longer,low,lower,mature,midrib,midvein,minute,much,nflorescence,noticeably,oblique,occasionally,opaque,opposed,orolla,persistent,plurifoliat,pore,porrect,porrect-stellate,portion,potentially,prickl,prickle,primary,raised,reduced,remaining,restricted,rigid,row,ruit,scarcely,secondary,see,seen,sessile,short-stipitate,shorter,shot-stipitate,side,sloughing,sparsely,splitting,spread,stamen,stellae,stellate-pubescent,stipe,stipitate,straight,suture,tamen,tem,time,tip,tissue,truncat,tube,two,ud,unarme,vary,vein,well,wide,yellow-ferruginous,ympodia,young,±equal,±erect,×	0.2-0.4,0.6-1.6,0.7-1.1,2.3-3.2,7-12,armament,arrangement,breadth,color,form,growth,height,history,inflorescence,length,life,number,ovary,plant,position,pseudostipule,shape,staman,texture
