	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025652	success	156	144	128	28	16	0.821	.3,.5,0.5-1,1,1-1.5,1.5-2,10-20,15-17,15-19,2-3,2-5,2-6,20-50,3-3.5,3-5,4,4-6,4-7,9-11,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,blade,broad,calyx,campanulate,closed,cm,completely,connate,corolla,decurrent,densely,dia,difoliate,dry,elliptic,emerge,envelope,filament,fleshy,flower,free,fruit,furcate,glabrate,glabrous,green,greyish,growing,growth,irregular,lateral,leaf,like,live,lobe,lobed,long,major,margin,matte,middle,minor,minute,minutely,mm,nearly,new,occasionally,older,onto,opposite,ovary,ovoid,ovoid-reniform,pair,pale,paler,papillae,papillose,parallel,pedicel,petiole,pinkish-grey,pitted,plant,pore,poricidal,rather,red-papillose,scar,shape,shaped,shiny,shrub,simple,size,small,specimen,stem,stigma,strongly,style,surface,tall,tan,tear,tear-drop,thick,tightly,tip,tree,tube,unit,vein,white,wider,widest,wing,winged,x,young	3-5-flowered,abruptly,appearing,closely,differing,eaf,edicel,eed,geminat,greyi,lon,lower,main,narrowing,nflorescence,one,overlappin,papillo,planar,portion,ry,soon,spaced,straight,tapering,thicker,ud,ympodial	appearance,bud,color,count,diameter,geminate,habitat,inflorescence,length,null,position,seed,structure,sympodial,texture,width
1	wfo-0001025657	success	239	210	187	52	23	0.782	-2,/3,0.1-0.4,0.2-0.4,0.5-2.5,1-1.3,1-3,1.2-1.5,1.3-2,1.5-1.8,12x,2-10,2-3.5,2.2-5.5,2.5-9.3,2/3,25-60,3-4,3-4.8,3-6,3.2-6,4-4.4,4-4.5,4-7,5-14,5-16,6-12,6-8,6.5-10,7-27,7-9,7-9.5,8.3-12,abaxially,accrescent,acute,adaxially,also,anther,anthesi,apart,apex,apparently,appearing,articulated,ascending,axe,axillary,base,blade,bluish,blunt-tipped,branch,branched,broadly,brown,bud,calyx,central,chartaceous,closely,cm,conical,cordate,corolla,dark,deltoid,dendritic-multangulate,dense,densely,diameter,due,earl,elliptic,especially,evident,expanded,filament,flower,free,fruit,fruiting,glandular,granular,green,hair,lanate-pubescent,lanceolate,lateral,leaf,length,light,lobe,lobed,long,long-stalked,lower,magnification,main,margin,midrib,minutely,mixed,mm,multangulate,narrowly,nearly,oblong,often,older,open,ovate,ovate-lanceolate,overlapping,pale,part,parted,partly,pedicel,peduncle,perfect,persistently,petiole,plurifoliate,porrect-stellate,present,pseudo-terminal,pubescence,pubescent,rachi,ray,reportedly,reticulate-punctate,scented,semi-ovate,sessile,short,short-,short-stalked,shrub,side,simple,slightly,soft,somewhat,spaced,splitting,stellate,stellate-pubescent,stem,stigma,stipitate-glandular,stipitate-multangulate,strongly,style,subcampanulate,subcoriaceous,suborbicular,surface,suture,tall,tan,terete,thick-stalked,thickened,thin-stalked,time,tip,tomentose,tomentose-pubescent,transparent,tree,tube,two-third,unarmed,unit,upper,usually,vein,velutinous-pubescent,way,white,wide,x,yellow,yellowish,young	1-1.1,1-1.6,1.7-1.9,2.7-4.3,8-10.5,ag,ark,around,ba,berry,capitat,cylindrical,dendritic-multangulat,directed,distally,dried,eaf,edge,eed,entire,exerted,exserted,farinose,few-rayed,fleshy,glabrous,glandula,half,inserted,lengthening,longitudinal,m.,nflorescence,obtuse,occasional,orbicular,orolla,ovat,persistent,pore,poricidal,ripe,ruit,slit,stamen,tamen,tomentum,ud,unarme,vary,weakly,ympodial	appearance,bark,capitate,color,count,growth,habitat,inflorescence,major,mentioned,minor,new,ovary,position,scar,seed,shape,size,structure,sympodial,texture,width,wing
2	wfo-0001025669	success	216	147	113	103	34	0.523	.5,0.1-0.3,1-2,1-4,1.4-2.5,13-35,2,2-4,2.2-6,2.2-6.5,3-7,9-24.5,abaxially,acuminate,acute,adaxially,along,anther,apex,apparently,base,blue,broadly,cell,chartaceous,ciliate,clavate,cm,connivent,corolla,covering,cuneate,decurrent,diameter,digestion,discussion,distal,distinct,enzyme,especially,filament,flower,forming,glabrous,green,green-white,hair,half,herb,honeycomb-shaped,lanceolate,lateral,like,lobe,long,make,margin,membranous,midrib,minutely,mm,moderately,monochasium,mottled,mucilaginous,multicellular,near,oblique,obtuse,odd-pinnate,often,ovoid,pedicel,perfect,petiole,petiolulate,petiolule,plant,plurifoliate,puberulent,pubescent,purple,rarely,removed,rosette,rounded,see,seed,sessile,short,size,sometimes,species,stem,stigma,streaked,style,subglabrous,tall,testal,thick,throughout,tip,tri-,tube,typically,unbranched,unit,unwinged,wall,wet,white,x	'',0-1,0-5,0-7,0.8-2.4,1,1-10,1-2.2,1-3,1.3-4.2,1.6-4.4,2-3,2.4-7,3-5,4-6,5-merou,``,absen,absent,acumen,ag,alyx,apart,articulation,axe,berry,blade,brownish,capitat,clearly,condition,contracted,dorsally,drying,eaf,edge,eed,elliptic,end,erec,exceeding,except,extra,flat,flowered,folded,fresh,fruit,geminat,glabrou,globose,greatly,greenish,hair-like,highly,homostylous,interjected,larger,leaflet,lengthening,living,lower,minute,nflorescence,obovate,one,orbicular,orolla,ovate,pair,peduncle,placed,pore,poricidal,proximal,reduced,ripe,rotate,ruit,scale-like,seudostipule,single,slightly,slit,spaced,specimen,stamen,ste,stolo,straight,subequal,tamen,tem,terminal,tinged,truncate,tuber,unequal,vary,whitish,wide,yellow,ympodial	'extra,'hair-like,anthesi,appearance,bark,bud,calyx,capitate,color,count,erect,free,geminate,growth,habitat,inflorescence,leaf,length,major,mentioned,minor,new,ovary,position,scar,shape,structure,surface,sympodial,texture,vein,width,wing,young
3	wfo-0001025697	success	181	128	93	88	35	0.514	-9,0-14,0.15-0.75,1-1.7,1-2,1-3,10-26,25-35,3-10,3-4,3.3-11,5.5-11.5,6.5-13.5,abaxially,acumen,acuminate,acute,adaxially,anther,apex,articulated,asymmetric,attenuate,axillary,base,basiscopic,blue,bud,cell,clavate,cm,connivent,corolla,covering,dark,diameter,distal,filament,flower,forked,generally,glabrous,green,green-white,half,herb,high,lanceolate,lateral,leaf,light,lilac,linear,lobe,long,make,mm,mucilaginous,odd-pinnate,orbicular,ovate,ovoid,pedicel,pentagonal,petiole,petiolulate,plant,plurifoliate,rotate,rounded,seed,sessile,short,side,size,stigma,style,subtending,tall,terminal,testal,thick,throughout,tip,tissue,tri-,tube,unit,unwinged,usually,wall,wet,x	0.6-3.5,0.8-2,1.5-1.8,1.7-8.6,2-10.5,2-2.6,2-4,2-6,3-5,3-6,4-7.5,5-merou,adaxiall,ag,alyx,apart,apparently,axe,berry,blade,brownish,capitat,condition,coriaceous,decreasing,decurrent,deep,digestion,dorsally,drying,eaf,edge,eed,elliptic,enzyme,erec,exceeding,flat,folded,fresh,fruit,geminat,glabrescent,glabrou,globose,greenish,hair,hair-like,hal,homostylous,honeycomb-shaped,interjected,leaflet,lengthening,living,lower,medium,nflorescence,orolla,pair,peduncle,perfect,pore,poricidal,purple,rachi,removed,ripe,ruit,seudostipule,slightly,slit,spaced,specimen,stamen,straight,stripe,subequal,subglabrou,tamen,tem,toward,typically,vary,whitish,wood,yellow,ympodial	'hair-like,anthesi,appearance,bark,calyx,capitate,color,count,description,erect,free,geminate,growth,habitat,inflorescence,length,major,margin,mentioned,minor,new,ovary,position,scar,shape,stem,structure,surface,sympodial,texture,vein,width,wing,woody,young
4	wfo-0001025699	success	181	152	133	48	19	0.735	0.5,1,1-1.5,1-2,1-2.5,1-3,1.5-2,10,15-20,2,2-2.5,2-6,3-15,3-3.5,3-5.5,3-8,4-5,5-8,5.5-14,8-9,abaxially,acute,adaxially,age,anther,anthesi,apart,apex,appearing,articulating,attenuate,bark,base,branching,brown,calyx,campanulate,capitate,cm,completely,continuing,corolla,crystal,cup-shaped,dark,darker,deltate,densely,diameter,difoliate,dorsal,dry,drying,ellipsoid,elliptic,erect,face,filament,flower,free,glabrous,green,grey-brown,growth,immature,inclusion,inflorescence,irregularly,lanceolate,leaf,leaf-opposed,leafy,leaving,lengthening,less,lobe,margin,minutely,mm,narrowly,new,older,one,onto,ovary,oxalate,pair,pale,papillose,pedicel,peg,per,petiole,plurifoliate,pore,poricidal,red,reddish,reniform,reticulate-pitted,rounded,rounded-sagittate,sand,scar,shoot,short,simple,slightly,slit,small,somewhat,spaced,stem,stigma,style,surface,tangled,thickened,time,tip,tree,triangular,trichome,tube,unit,vein,white,white-spotted,wing,winged,x,yellow,young	.2,.5,1.5,1/3,2cm,499,5-winged,absent,almost,apparently,becoming,berry,c.,conical,conspicuously,corrugate,eaf,eed,entire,exerted,fide,fruiting,glabrou,globose,included,inflorescenc,lobed,lower,markedly,midrib,nflorescence,nodding,papillat,peduncle,penden,perfect,portion,primary,ruit,stearn,straight,strongly,ud,way,wide,woody,ympodial,½	appearance,bud,color,count,habitat,lateral,length,major,minor,null,papillate,position,seed,shape,size,structure,sympodial,texture,width
5	wfo-0001025700	success	189	130	96	93	34	0.508	0.30-2.0,0.5-2,0.8-2.6,1-2,1-3,10-40,10.5-12,15-40,2-7,2.5-4,5.3-17.5,5.5-18,9-31,abaxially,acumen,acuminate,acute,adaxially,anther,apex,apiculate,asymmetric,attenuate,axillary,basal,base,basiscopic,bud,cell,clavate,cm,connivent,corolla,covering,diameter,distal,dot,filament,flower,forked,generally,glabrous,green,green-white,hair,half,herb,lanceolate,lateral,leaf,light,lilac,linear,lobe,long,make,medium,mm,mucilaginous,narrowly,odd-pinnate,ovate,ovoid,pedicel,petiole,petiolulate,plant,plurifoliate,purple,rounded,seed,short,side,size,sometimes,stigma,style,subtending,tall,terminal,testal,thick,throughout,tip,tissue,tri-,tube,typically,unit,unwinged,usually,wall,wet,white,winged,x	0-16,0.7-2.7,0.8-4,1.1-2.3,1.5-2,2-12,3-4,3-8,3.5-10.5,3.7-8.6,4-5,5-15,5-20,5-merou,5.5-8,acuman,ag,alyx,apparently,articulated,axe,berry,blade,brownish,capitat,chartaceous,condition,considerably,decrease,decreasing,digestion,dorsally,drying,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,flat,folded,fresh,fruit,geminat,glabrescent,glabrou,globose,greenish,hair-like,hal,high,homostylous,honeycomb-shaped,interjected,larger,leaflet,lengthening,living,lower,nflorescence,orbicular,orolla,pair,par,peduncle,pentagonal,perfect,pore,poricidal,proximal,removed,ripe,rotate-pentagonal,ruit,sessile,seudostipule,slightly,slit,specimen,stamen,straight,subequal,subglabrou,tamen,tem,toward,vary,whitish,whose,yellow,ympodial	'hair-like,anthesi,appearance,bark,calyx,capitate,color,count,erect,free,geminate,growth,habitat,inflorescence,length,major,margin,mentioned,minor,new,ovary,part,position,scar,shape,stem,structure,surface,sympodial,texture,vein,width,wing,young
6	wfo-0001025704	success	248	189	164	84	25	0.661	-5,/6,0-100,0-2,0.1,0.1-0.3,0.1-0.5,0.15-0.8,0.3-0.8,0.5-1.5,0.7-1,1,1-3.5,1-6,1.2-3,1.5-2,1.5-3.2,1/2-4/5,1/5,2,2-10,2-3,2-5,2-7,2.7-4,3-10,3-6,4-12,4-5,4.5-6.5,5-20,6-12,6-15,8-12,8-15,8-17,abaxial,abaxially,acute,adaxial,almost,anther,apart,apex,apically,apiculate,apparently,auriculate,bark,base,berry,blade,branched,broad-deltate,calyx,cell,cm,connivent,cordate,curved,deltate,densely,diameter,elliptic,erect,filament,flattened,flattened-reniform,flower,free,glabrescent,glabrous,gray,half,irregular,lateral,leaf,length,lobe,lobed,long,long-styled,longer,lower,margin,mauve,midpoint,mm,multangulate,occasionally,often,older,one,open,orange,orange-brown,outline,ovate,pair,pale,pedicel,per,petiole,pit,poricidal,porrect,prickle,prickly,primary,prominent,raised,rarely,ray,red-brown,red-green,round,scar,sessile,shape,short-styled,shorter,shrub,small,smooth,sometimes,somewhat,spaced,sparsely,spreading,stalk,stalked,stellate,stellate-pubescent,stem,straight,strongly,style,surface,tapering,terete,terminal,tertiary,time,tip,tree,trichome,truncate,tube,unarmed,unbranched,unit,upper,variously,vein,venation,visible,way,white,white-gray,wide,yellow-green,yellowish,young,×	-10,-2,-3,0,0-3.5,0-5,1-4,1.5-4.5,1.8-3.5,1/4-3/4,2-4.5,2.5-4.5,3-15,3-5,5-merous,age,alyx,andromonoecious,apar,articulated,axe,ba,brow,chartaceous,covering,development,discolorous,distal,distance,drying,eaf,eed,ellipsoid,elongating,end,equal,evenly,extending,fruit,fruiting,green,green-yellow,hermaphrodite,heterostylous,infructescence,less,lobing,lowermost,mature,maturity,midvein,moderately,near,nflorescence,obtuse,orolla,oung,peduncle,pendulous,pericarp,plant,plurifoliat,portion,prickl,recurved,reflexed,retaining,rounded,ruit,secondary,side,slender,spherical,staminat,stellate-pubescen,stout,tamen,throughout,vary,warty,widening,woody,yellow,ympodial	anthesi,appearance,brown,bud,color,corolla,count,growth,habitat,inflorescence,major,mentioned,minor,new,ovary,plurifoliate,position,seed,size,stigma,structure,sympodial,texture,width,wing
7	wfo-0001025729	success	177	136	115	62	21	0.65	-20,.5,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.5-2,1.75,2-3.5,20,3-6,4-5,4-8,5-50-flowered,6-8,7-8,9-17,abaxial,acute,along,anther,anthesi,apex,apiculate,appearing,axil,bark,base,blackish,branched,bristly,bud,calyx,cm,corolla,covered,covering,cyathiform,deltoid,densely,denser,diam,difoliate,drying,elliptic,filament,flattened-reniform,fleshy,free,glabrous,globose,greyish-brown,growing,lamina,lateral,leaf,live,lobe,long,main,major,margin,member,minor,minutely,mm,oblique,occasionally,often,opposite,ovary,overlapping,overtopping,pair,pale,papillose,partially,pedicel,petiole,pit,pitted,plant,prominent,raised,reflexed,rounded,scar,shiny,short,simple,size,sparsely,stem,stigma,stout,style,surface,tall,terminal,tip,touching,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,white,x,young	/4,2,abaxially,abrupt,adaxially,apar,apical,basal,berry,black,bright,dark,deflexed,dia,differing,dirty,eaf,edicel,eed,enclosed,expanded,f,fruiting,furcate,geminat,gently,glabrou,green,greenish-yellow,incrassate,lat,like,lobed,lon,lower,m.,mainly,middle,minute,nflorescence,older,one,papillo,pore,poricidal,portion,pubescent,quite,ripening,ruit,shaped,straight,tapering,tear-drop,tub,ud,way,widening,widest,woody,yellow,ympodial	apart,appearance,color,count,diameter,flower,geminate,growth,habitat,inflorescence,length,mentioned,new,position,seed,shape,structure,sympodial,texture,width,wing
8	wfo-0001025749	success	217	121	95	122	26	0.438	.5,0.2-1.5,0.5-0.8,0.5-0.9,0.6-4.5,0.8-0.9,1-10,1-13,1-2,1-3,1-8.5,1-9,1.5-2,1.5-2.5,2-10,3-5,4-8,abaxially,acute,anther,apart,apex,apparently,bark,base,branched,calyx,cm,cuneate,densely,diameter,difoliate,dull,erect,filament,filiform,flattened-reniform,flower,free,glabrescent,glabrous,gray,lateral,leaf,length,light,lobe,long,long-ovate,margin,mauve,midvein,mm,moderately,narrow-deltate,narrow-ovate,one,open,orange-brown,orbicular,ovate,pair,pedicel,petiole,prickly,procumbent,purple,rarely,recurved,rounded,scar,shrub,sometimes,spaced,sparsely,spreading,stellate,stellate-pubescent,stem,straight,style,surface,tapering,terete,time,tip,toward,trichome,tube,unit,vein,white,wide,yellow,yellowish	-1,-12,/5,0-10,0-3,0-5,0-6,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.3-1.5,0.4-0.7,0.5,0.5-1.3,0.5-3,1,1-6,1.5,1/4-1/3,1/5-1/2,2-2.5,2.5-6,2/3,3-20,5-,5-10,5-20,5-merous,6-8,abaxial,acuminat,adaxial,adaxially,adnate,almost,alyx,apar,apically,articulated,berry,blade,broad-deltate,chartaceous,concolorous,curved,dark,discolorous,distance,drying,eaf,eed,elongating,equal,extending,flattened,fruit,fruiting,geminat,gently,green-brown,herbaceous,indistinct,infructescence,lobed,lon,longer,lower,magnification,markedly,mature,maturity,midpoint,nflorescence,oblong,obtuse,occasionally,older,orange-brow,orange-red,orolla,oung,pale,peduncle,pendulous,per,perfec,pericarp,poricidal,porrect,portion,prickl,prickle,primary,ray,red-brown,reduced,ruit,sessile,shorter,side,smooth,spherical,stalk,stalked,straw-yellow,strongly,tamen,tertiary,usually,variously,vary,venation,visible,way,without,yellow-green,yellow-orange,ympodial,½-2/	anthesi,appearance,bud,color,corolla,count,geminate,growth,habitat,inflorescence,major,minor,new,null,ovary,position,seed,shape,size,stigma,structure,sympodial,texture,width,wing,young
9	wfo-0001025754	success	164	162	126	38	36	0.768	-celled,.5,0.1-0.2,0.5-1,0.5-1.5,1,1-2,1-3,1-3.5,1.5,1.5-3,1.5-4,10-20,2-5-celled,2-7,2-foliate,3-10,3-5,3-6,4,4-6,5-15,abaxially,absent,abundant,acuminate,acute,adaxially,along,anther,apex,asymmetrical,axe,barely,base,beyond,blade,branch,calyx,center,chartaceous,cm,connected,cordate,cordiform,decumbent,decurrent,densely,denser,diameter,dm,dried,eaf,edge,eglandular,equal,erect,exserted,filament,fine,flat,flower,fruit,glabrous,glandular,hair,herb,interpetalar,leaf,leaving,like,linear-lanceolate,lobe,long,lying,main,margin,material,membranaceous,mixed,mm,moderately,much-branched,nearly,notch,oblong,often,palmately,parallel,pedicel,peduncle,petiole,placenta,pubescent,rachi,radiating,raised,ridge,rotate,running,shallow,short,slightly,small,solitary,sometimes,sparsely,stamen,stem,stigma,straight,style,surface,swollen,tissue,triangular,truncate,tube,unbranched,unit,upright,vein,visible,white,woody,x	10-35,2-4,5-12,adaxiall,berry,brown,ciliate,dehiscing,drying,eed,emarginat,entire,explosively,geminat,globose,held,immature,lower,maturing,maturit,mesocarp,nfloresence,orolla,penden,per,pressure,probably,pubescen,ruit,semitransparent,tal,tamen,tem,vary,watery,wid,yellow,ympodial	anthesi,appearance,bark,bud,color,corolla,count,description,emarginate,free,geminate,growth,habitat,inflorescence,lateral,length,major,mentioned,minor,new,ovary,pendent,position,scar,seed,shape,size,structure,sympodial,tall,texture,tip,wide,width,wing,young
10	wfo-0001025760	success	210	130	105	105	25	0.5	-10,.5,/3,0.4-0.8,0.45-0.9,0.5-2,0.8-1.8,1-1.8,1-2,1-4,1.5-4.5,1.5-5,1/4-1/3,1/5,2.5-10,2.5-8,3-6,3.5-9,5-18,abaxially,acute,annual,anther,apex,apically,apparently,bark,base,blade,broad-deltate,calyx,cm,connivent,cuneate,dark,deltate,diameter,difoliate,dull,elliptic,erect,filament,flattened-reniform,flower,free,geminate,glabrescent,glabrous,herb,lateral,leaf,length,lobe,lobed,long,margin,mm,moderately,older,orange,orange-brown,ovate,pair,pedicel,perennial,petiole,porrect,primary,recurved,rounded,scar,sessile,shape,shrub,slender,sometimes,spaced,spreading,stalked,stellate,stellate-pubescent,stem,stout,straight,style,subentire,surface,tapering,terete,thick-stalked,tip,trichome,tube,unarmed,unbranched,unit,upper,variously,vein,way,weakly,white,wide,yellow,young	-12,-3,-5,-6,0-0.5,0-100,0.1,0.1-0.2,0.15-0.3,0.2-0.35,0.3-1,0.5-1.5,0.7-2.5,1,1-,1.5,1.5-2.5,1/4,1/4-1/2,2-2.5,2-3,2.1-3.5,2.3-4,2/3,3,3.5-17,5-10-merous,8-10,abaxial,acut,adaxial,almost,alyx,apar,articulated,berry,black,brow,chartaceous,concolorous,cream,cultivar,curved,discolorous,distance,drying,eaf,eed,elongating,equal,extending,fruit,fruiting,geminat,gently,green,hair,infructescence,lengt,longer,lower,marking,mature,maturity,membranous,midpoint,midvein,minute,nflorescence,often,one,open,orolla,oung,pale,peduncle,pendulous,per,perfec,pericarp,poricidal,portion,ray,red-brown,reflexe,ruit,shorter,side,simple,smooth,spherical,stalk,stellate-pubescen,tamen,tertiary,time,unarme,usually,various,vary,venation,visible,woody,yellow-green,ympodial	anthesi,apart,appearance,brown,bud,color,corolla,count,growth,habitat,inflorescence,major,minor,new,null,ovary,position,seed,size,stigma,structure,sympodial,texture,width,wing
11	wfo-0001025782	success	200	168	143	57	25	0.715	-2,.5,0-10,0.1-0.15,0.1-0.2,0.1-0.25,0.3-1,0.4-0.6,0.5-1,0.55-0.75,0.9-1.3,1,1-2,1-2.5,1-4,1.2-6,1.3-1.6,1.5-3,1/4-1/2,2-3,2-5,2-7,2.5-3.5,2/3-3/4,20,3-4,3-5,4,4.5-9,5-6.5,5-8,6-14,6-8,abaxial,abaxially,acuminate,adaxial,also,anther,apart,apex,apically,apparently,articulated,bark,base,blade,brown,calyx,chartaceous,climbing,cm,concolorous,conical,connivent,cuneate,curved,deltate,densely,diameter,difoliate,discolorous,drying,dull,eaf,elliptic,elongated,filament,flattened,flattened-reniform,flower,free,geminate,gently,glabrescent,glabrous,green-brown,hair,lateral,leaf,length,lobe,lobed,long,long-styled,longer,margin,membranous,midpoint,minute,mm,moderately,occasionally,older,one,open,orange-brown,pair,pedicel,petiole,poricidal,porrect,prickle,prickly,primary,ray,red-brow,reduced,scar,sessile,shorter,shrub,simple,spaced,sparsely,spreading,stellate,stellate-pubescent,stem,stout,straight,style,surface,tapering,terete,tertiary,time,tip,toward,trichome,tube,unbranched,unit,vein,venation,visible,way,weakly,white,wide,yellow,yellow-green,young	0-5,1-1.7,1/4-1/3,1/6,10-13,2-10,2-2.5,4-4.5,5-20,5-merous,5.5-6,acuminat,alyx,andromonoecious,apar,berry,distal,distance,eed,elongating,equal,evenly,extending,fruit,fruiting,geminat,green,hermaphrodite,heterostylous,infructescence,lengt,less,lower,lowermost,mature,maturity,midvein,nflorescence,orolla,oung,peduncle,pendulous,per,pericarp,plant,portion,prickl,ruit,short-styled,side,smooth,spherical,staminat,tamen,vary,woody,ympodial	anthesi,appearance,bud,color,corolla,count,growth,habitat,inflorescence,major,mentioned,minor,new,ovary,position,red-brown,seed,shape,size,stigma,structure,sympodial,texture,width,wing
12	wfo-0001025783	success	179	150	122	57	28	0.682	.5,0.5,0.5-1,0.5-1.5,0.8-3.5,1-1.2,1-1.5,1-3,2,2-3+,2-5,2-6.5,3-4,5,7-10,<,abaxially,acute,adaxially,along,anther,anthesi,apart,apex,axil,base,branched,branching,brown,bud,c.,calyx,cell,cluster,cm,completely,confined,conical,corolla,dendritic,densely,diameter,ellipsoid,elliptic,exposed,flattened,flexuous,flower,free,glabrous,green,greyish,groove,growth,keeled,known,lateral,lax,lobe,lobed,long,long/tall,margin,mature,midrib,midvein,minutely,mm,narrowly,near,new,obscured,obtuse,occasionally,pair,pale,pedicel,pentagonal,petiole,pitted,point,possibly,primary,pubescent,reniform,sagittate,scar,scarious,shiny,shoot,short,shrub,simple,spaced,sparse,sparsely,stem,stigma,style,surface,terminal,testal,thin,time,transparent,triangular,trichome,truncate,tube,tuft,type,uniseriate,unit,upper,vein,vine,violet,way,weak,wide,woody,yellowish	1.8-2,5-merou,abaxiall,adaxiall,alyx,ape,ark,articulated,berry,coriaceous,eaf,eed,entire,erect,expanded,exserted,filiform,fleshy,fruiting,glabrou,globose,hromosome,ilament,inserted,less,lower,minute,mmm,nflorescence,nodding,number,older,orolla,outlin,peduncle,penden,perfect,pericarp,plurifoliat,portion,purple,revolute,ripe,ruit,see,sleeve,slightly,sometimes,somewhat,stellate,strongly,suture,twinin,ud,vary,within,ympodial	3,bark,color,count,filament,habitat,inflorescence,leaf,length,major,minor,null,outline,ovary,plurifoliate,position,seed,seen,shape,size,structure,sympodial,texture,tip,twining,width,wing,young
13	wfo-0001025788	success	158	108	72	86	36	0.456	0-6,0.5-2,1-4,1-5,10-24,14-48,15-30,2-3,4-5.5,4.5-12.5,5-8,8-38,abaxially,acuminate,acute,adaxially,apex,base,blue,branched,calyx,cell,cm,connate,corolla,covering,cuneate,cyme,diameter,dichasial,dichasially,distal,ebracteate,filament,finely,flower,forked,generally,half,herbaceous,lateral,leaf,lobe,long,long-attenuate,make,mm,monochasial,mucilaginous,oblique,odd-pinnate,ovoid,pedicel,perennial,petiole,plant,pubescent,purple,rounded,seed,size,stigma,style,testal,thick,tip,tuber-bearing,typically,unit,wall,wide,yellow	-8,1.8-2.7,1.8-3.9,2-10,2-13,2-5,2.8-9.5,2m,3-,3-6-foliat,4-3.,4.5-10.1,6-7,6.2-12.5,abaxiall,acumen,apical,apically,articulate,attenuate,conical,deep,dehiscent,digestion,diminishing,dorsally,eaf,edge,eed,elliptical,emoval,enzyme,exceeding,flat,folded,globo,gradually,green,green-white,hair-like,honeycomb,interjected,introrse,leaflet,living,lon,lower,lunat,maturing,medium,narrowly,nflorescence,nther,obtuse,often,orolla,ovate,pair,pattern,peduncle,perfect,petiolule,plan,poricidally,proximal,reveal,rotate,ruit,sessile,seudostipule,short,slit,specimen,stamen,straight,subequal,subsessile,tal,tem,terminal,throughou,throughout,toward,vary,ympodial,¼	'hair-like,3-6-foliate,anther,anthesi,appearance,bark,bud,color,count,free,globose,growth,habitat,inflorescence,length,major,margin,mentioned,minor,new,ovary,position,scar,shape,stem,structure,surface,sympodial,tall,texture,tube,vein,wet,width,wing,young
