	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025636	success	208	86	59	149	27	0.284	0.1-0.3,1-10,1-2,1-3.5,1-5,1-5.5,1.4-3.5,10-45,2.5-6,6.5-10,abaxially,adaxially,anther,apex,blue,broadly,cell,clavate,cm,corolla,covering,diameter,elliptic,filament,flower,fruit,glabrous,globose,green,greenish,hair-like,herb,lateral,minutely,mm,moderately,mottled,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,plant,puberulent,pubescent,purple,rotate,rotate-pentagonal,seed,slightly,stigma,style,subglabrous,testal,thick,wall,whitish,yellow	0-2,0-5,0.1,0.6-2.8,1,1-2.2,1-3,1-4,1.1-6.1,1.7-5.2,1.7-9.2,1.8,2,2-4,2.6-8.3,3-5,3-6,5-merou,9.5-29.5,absent,acumen,acuminate,acute,ag,along,alyx,apart,apparently,articulated,axe,base,berry,blade,brownish,capitat,chartaceous,ciliate,clearly,condition,connivent,contracted,cuneate,decurrent,digestion,distal,dorsally,drying,eaf,edge,eed,end,enzyme,especially,exceeding,except,flat,folded,fresh,geminat,generally,glabrou,greatly,green-white,hair,hal,half,high,highly,homostylous,honeycomb-shaped,interjected,lanceolate,larger,leaflet,lengthening,like,living,lobe,long,longer,lower,make,margin,membranous,midrib,minute,mucilaginous,multicellular,near,nflorescence,oblique,obovate,obtuse,often,orbicular,orne,orolla,pair,perfect,petiolulate,petiolule,plurifoliate,pore,poricidal,proximal,reduced,removed,ripe,rosette-forming,rounded,ruit,scale-like,semierec,sessile,seudostipule,short,singly,size,slit,sometimes,spaced,specimen,stamen,ste,stem,stolo,straight,subequal,tall,tamen,tem,terminal,throughout,tip,tri-,truncate,tube,tuber,typically,unequal,unforked,unit,unwinged,uppermost,vary,wet,wide,x,ympodial	0.1-1.8,abaxial,adaxial,arrangement,capitate,colour,form,growth,height,history,inflorescence,leaf,length,life,na,number,ovary,perennial,position,rachi,reproduction,shape,spacing,staman,surface,texture,width
1	wfo-0001025637	success	193	98	74	119	24	0.383	0-0.3,0.2-0.9,1-12,1-2,14-38,2-20,2.5-8,2.8-4.2,3-10,3-5,5-7,abaxially,acuminate,acute,adaxially,anther,apex,axillary,blue,brownish,bud,cell,clavate,cm,condition,coriaceous,corolla,covering,dark,deep,diameter,dot,drying,elliptic,filament,flower,forked,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair-like,herb,lateral,leaf,light,lilac,medium,mm,odd-pinnate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,rachi,rotate,seed,stigma,stripe,style,subtending,terminal,testal,thick,tiny,wall,white,whitish,yellow	0-27,0.2-0.5,0.3-0.5,0.8-2.6,1-2.5,1-5,1.2-3.5,1.5-5,1.6-2.5,2-3,2-7,3-4,3-9,4-6,5-merou,acumen,adaxiall,ag,along,alyx,apart,apparently,arranged,articulated,attenuate,axe,base,bead,berry,blade,capitat,connivent,cuneate,decreasing,decurrent,digestion,distal,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,folded,geminat,generally,glabrou,green-white,hair,hal,half,high,homostylous,honeycomb-shaped,interjected,lanceolate,leaflet,lengthening,like,linear,living,lobe,long,lower,make,moniliform,mottled,mucilaginous,multiple,necklace,nflorescence,onto,orolla,ovate,pair,perfect,petiolulate,petiolule,plurifoliate,pore,poricidal,purple,removed,ripe,rounded,ruit,secondary,seudostipule,short,size,slit,sometimes,spaced,specimen,stamen,stolon,straight,subequal,symmetric,tall,tamen,tem,throughout,tip,toward,tri-,tube,tuber,typically,unit,unwinged,usually,vary,wet,wide,x,ympodial	abaxial,adaxial,arrangement,capitate,colour,form,growth,height,history,inflorescence,length,life,na,number,ovary,perennial,position,reproduction,shape,spacing,staman,surface,texture,width
2	wfo-0001025639	success	154	76	51	103	25	0.331	1-2,1-3,1-4,2.8-3.2,20-35,4-10,6-8,8-12,8-9,apex,branched,broadly,cm,corolla,cyme,dark,diameter,dichasial,dichasially,distal,ebracteate,elliptic,filament,flower,globose,green,green-white,half,herbaceous,leaf,medium,mm,monochasial,obovate,odd-pinnate,ovate,ovoid,pedicel,peduncle,perennial,petiole,plant,puberulent,pubescent,rotate,seed,stigma,style,violet,white,yellow	10-21,2-3,2-3.5,3-4,3-5,3-6,3-6-foliat,3.5-7,4.5-8.5,5-1.,5-10,5-8,6-12,abaxially,acumen,acuminate,acute,adaxially,apical,apically,articulate,base,belo,calyx,cell,connate,covering,cuneate,dehiscent,digestion,diminishing,dorsally,eaf,edge,eed,elliptical,emoval,enzyme,exceeding,flat,folded,forked,frequently,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,lateral,leaflet,lobe,lon,long,long-attenuate,lower,lunat,make,maturing,mucilaginous,nflorescence,nther,oblique,often,orolla,pair,pattern,perfect,petiolule,plan,poricidally,present,produced,proximal,rare,reveal,ruit,seudostipule,short,size,slit,sometimes,stamen,straight,tal,tem,terminal,testal,thick,throughou,throughout,top,toward,truncate,tuber-bearing,typically,unit,vary,wall,wide,ympodial,¼	abaxial,adaxial,anther,arrangement,colour,form,fruit,growth,height,history,inflorescence,length,life,na,number,ovary,position,rachi,reproduction,shape,spacing,staman,surface,texture,width
3	wfo-0001025642	success	149	83	62	87	21	0.416	0.3-0.4,1-2.7,1-3.2,1.5-2.5,10-20,2-10,2-3,3-5,5-6,9-12,acuminate,acute,apex,articulate,base,branched,cm,corolla,cyme,diameter,dichasial,dichasially,diminishing,distal,ebracteate,flower,forked,globose,gradually,green,green-white,half,herbaceous,lanceolate,lateral,leaf,leaflet,lunate,mm,monochasial,mucilaginous,oblique,obtuse,odd-pinnate,ovoid,pedicel,peduncle,perennial,petiole,plant,proximal,puberulent,seed,sessile,size,stellate,stigma,style,terminal,throughout,yellow,¼	1,1-2,1-2.5,1-3,1-4,3,3-6-foliat,3.5-6,4-7.5,4.5-8,5.5-7,7-11.5,8-13,abaxially,absen,absent,acumen,adaxially,apical,apically,apiculate,attenuate,calyx,cell,connate,covering,dehiscent,digestion,dorsally,eaf,edge,eed,elliptic,elliptic-lanceolate,emoval,enzyme,exceeding,filament,flat,folded,generally,globo,hair-like,honeycomb,interjected,introrse,lanceolat,living,lobe,lon,long,lower,make,maturing,nflorescence,nther,often,orolla,pair,pattern,perfect,plan,poricidally,present,reveal,ruit,seudostipule,short,slit,specimen,stamen,straight,tal,tem,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,wide,without,ympodial	anther,arrangement,color,form,fruit,growth,height,history,inflorescence,length,life,number,ovary,position,reproduction,shape,spacing,stem,surface,texture,white
4	wfo-0001025644	success	204	79	53	151	26	0.26	1-10,1-2,1.3-2.1,10-11,13-21,2-3,2.5-6,25-50,3-10,4-19,4-6,abaxially,adaxially,anther,apex,blue,broadly,clavate,cm,corolla,diameter,elliptic,filament,flower,forked,fruit,glabrous,globose,green,greenish,herb,minutely,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,puberulent,pubescent,seed,stigma,style,terminal,tinged,wet,white,whitish,yellow	.3,0-5,0.8-1.5,10,12-28,2,2-4,2.4-4,2.5-11,3-4,3-5,3.3-8.2,4.5-9.5,5-merou,6-7,6.5-13,absent,acumen,acuminate,acute,ag,almost,along,always,alyx,apart,apparently,articulated,attenuate,axe,axillary,base,berry,blade,brownish,bud,c.,capitat,cell,chartaceous,ciliate,condition,connivent,cordate,covering,cuneate,denticulate,digestion,distal,dorsally,drying,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,finely,flat,folded,fresh,geminat,generally,glabrou,greatly,green-white,hair,hair-like,half,homostylous,honeycomb-shaped,interjected,invested,lanceolate,lateral,leaflet,lengthening,like,living,lobe,long,lower,make,margin,membranous,middl,midrib,mottled,multicellular,nflorescence,non-glandular,oblique,often,one,orbicular,orolla,pair,perfect,petiolule,placed,plurifoliate,pore,poricidal,proximal,purple,rarely,reduced,removed,rounded,ruit,sessile,seudostipule,shallowly,short,size,slit,spaced,specimen,stamen,ste,stem,stolo,straight,subequal,subtending,tall,tamen,tem,testal,thick,throughout,tip,tri-,trichome,truncate,tube,tuber,typically,uniseriate,unit,usually,vary,wall,well-developed,wing,winged,x,ympodial	abaxial,adaxial,arrangement,capitate,colour,form,growth,height,history,inflorescence,leaf,length,life,na,number,ovary,perennial,position,rachi,reproduction,shape,spacing,staman,surface,texture,width
5	wfo-0001025645	success	150	72	47	103	25	0.313	0.3-0.8,1-3.5,1-4,10-11,12-17,15-25,2-4.5,2.5,5-5.5,apex,branched,cm,corolla,cyme,diameter,dichasial,dichasially,distal,ebracteate,elliptic-lanceolate,filament,flower,glabrous,globose,green,green-white,half,herbaceous,lanceolate,leaf,mm,monochasial,odd-pinnate,ovoid,pedicel,peduncle,perennial,petiole,plant,puberulent,rachi,seed,stellate,stigma,style,throughout,yellow	0.5-1,0.8,1-2,10-16,2-3,3-5.5,3-6-foliat,4-12,4-5,4-6,4-7,5,8-10,abaxially,absen,acumen,acuminate,acute,adaxially,apical,apically,articulate,base,calyx,cell,connate,covering,cuneate,decurrent,dehiscent,digestion,diminishing,dorsally,eaf,edge,eed,elliptic,emoval,enzyme,exceeding,flat,folded,forked,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,larger,lateral,leaflet,living,lobe,lon,long,lower,lunat,make,maturing,mucilaginous,mucronate,nflorescence,nther,oblique,oblong,often,orolla,pair,pattern,perfect,plan,poricidally,proximal,reveal,ruit,second,sessile,seudostipule,short,size,slit,specimen,stamen,straight,tal,tem,terminal,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,wide,without,ympodial,¼	abaxial,adaxial,anther,arrangement,colour,form,fruit,growth,height,history,inflorescence,length,life,na,number,ovary,position,reproduction,shape,spacing,staman,surface,texture,white,width
6	wfo-0001025646	success	136	69	44	92	25	0.324	0.25-0.4,0.6-3,0.7-3.5,1-4,1.1-1.4,3.2-6,4-10,4-5,7-8,apex,branched,cm,corolla,cyme,diameter,dichasial,dichasially,distal,ebracteate,elliptic,filament,flower,fruit,globose,half,herbaceous,leaf,mm,monochasial,odd-pinnate,ovary,ovate,pedicel,peduncle,pentagonal,perennial,petiole,plant,probably,puberulent,stigma,strigose,style,yellow	0-.,0.5-2.1,0.6-2.3,1-7,1.1-4.5,1.2,1.2-7.0,1.5-3,2-3,2-4,2.3-9.0,2.5-3,3,3-6-foliat,3.5-7,4-15.5,abaxially,abruptly,acumen,acuminate,acute,adaxially,apical,apically,apiculate,articulate,attenuate,ature,base,calyx,caudate,connate,cuneate,decurrent,dehiscent,diminishing,dorsally,eaf,edge,eed,exceeding,flat,folded,forked,generally,globo,gradually,interjected,introrse,lateral,leaflet,like,lobe,lon,long,lower,lunat,maturing,nflorescence,nther,oblique,obovate,often,orolla,pair,perfect,petiolule,plan,poricidally,proximal,seen,sessile,seudostipule,short,size,slightly,slit,sometimes,stamen,straight,tal,tem,terminal,toward,tuber-bearing,typically,unit,vary,whit,wide,ympodial,¼	abaxial,adaxial,anther,arrangement,colour,form,growth,height,history,inflorescence,length,life,na,number,position,rachi,reproduction,seed,shape,spacing,staman,surface,texture,white,width
7	wfo-0001025647	success	194	86	60	134	26	0.309	0.06-0.24,0.8-3,1-10,1-2,1.2-3,1.4-5,2-4,2-5,2.5-3,4-10,5-6,abaxially,adaxially,anther,apex,articulated,axillary,blue,cell,clavate,cm,corolla,covering,densely,diameter,elliptic,filament,flower,fruit,glabrous,globose,green,greenish,hair-like,herb,lateral,light,linear,minutely,mm,moderately,narrowly,odd-pinnate,ovoid,pedicel,peduncle,petiole,plant,puberulent,pubescent,rotate,seed,stigma,style,testal,thick,unbranched,wall,whitish,yellow	0-4,0.4-1.5,0.6-3,1,1-3,1-5,1.3-2.9,1.5-5,1.5-5.5,2,2-3,3-6,4-6,5-merou,6.2-11,absent,acumen,acute,ag,along,alyx,apart,apparently,attenuate,axe,base,berry,blade,borne,broadly,brownish,bud,capitat,chartaceous,ciliate,condition,connivent,decurrent,digestion,distal,dorsally,drying,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,flat,folded,forming,frequently,fresh,geminat,glabrou,greatly,green-white,hair,hal,half,high,homostylous,honeycomb-shaped,interjected,lanceolate,leaflet,lengthening,like,living,lobe,long,lower,make,margin,membranous,midrib,mucilaginous,multicellular,near,nflorescence,oblique,obtuse,often,orbicular,orolla,ovate,pair,perfect,petiolulate,plurifoliate,pore,poricidal,proximal,reduced,removed,ripe,rosette,ruit,scale-like,sessile,seudostipule,short,singly,size,slit,sometimes,spaced,specimen,stamen,ste,stem,stolo,straight,subequal,subtending,tall,tamen,tem,terminal,throughout,tip,tri-,tube,tuber,typically,unit,unwinged,vary,wet,x,ympodial	abaxial,adaxial,arrangement,capitate,colour,form,growth,height,history,inflorescence,leaf,length,life,na,number,ovary,perennial,position,rachi,reproduction,shape,spacing,staman,surface,texture,width
8	wfo-0001025652	success	156	81	57	99	24	0.365	.3,0.5-1,1-1.5,1.5-2,2-3,2-6,3-5,4-6,4-7,acute,anther,anthesi,apex,base,bilobed,closely,cm,corolla,elliptic,filament,fleshy,flower,fruit,furcate,glabrous,growth,leaf,lobed,minutely,mm,nearly,occasionally,opposite,ovary,ovoid-reniform,pale,paler,pedicel,petiole,pitted,planar,plant,shape,shiny,shrub,simple,small,spaced,stigma,strongly,style,surface,tan,tree,white,winged,x	.5,1,10-20,15-17,15-19,2-5,20-50,3-3.5,3-5-flowered,4,9-11,abruptly,acuminate,appearing,bark,blade,broad,calyx,campanulate,closed,completely,connate,decurrent,densely,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,free,geminat,glabrate,green,greyi,greyish,growing,irregular,lateral,like,live,lobe,lon,long,lower,main,major,margin,matte,middle,minor,minute,narrowing,new,nflorescence,older,one,onto,overlappin,ovoid,pair,papillae,papillo,papillose,parallel,pinkish-grey,pore,poricidal,portion,rather,red-papillose,ry,scar,shaped,size,soon,specimen,stem,straight,tall,tapering,tear,tear-drop,thick,thicker,tightly,tip,tube,ud,unit,vein,wider,widest,wing,ympodial,young	abaxial,adaxial,arrangement,colour,diameter,form,height,history,inflorescence,length,life,na,number,overlapping,peduncle,perennial,position,rachi,reproduction,seed,spacing,staman,texture,width
9	wfo-0001025653	success	218	72	45	173	27	0.206	.0,.3,.5,.6,.7,.8,.9,1.3,20,anther,apart,apex,chartaceous,cm,corolla,densely,diameter,extra-axillary,filament,flower,fruit,glabrous,globose,lateral,leaf,least,long,mm,obtuse,ovate,pedicel,peduncle,petiole,pubescent,rhizomatous,short,shrub,simple,stellate,stigma,straight,style,surface,truncate,unbranched	.1,.2,0.1,0.13,0.15,0.2–0.4,0.3–0.5,0.3–0.8,0.6–1.6,0.7–1.1,0.8,1.0–1.6,1.1–1.3,1.3–1.8,1.6,1.9–3.3,1–1.5,2.3–3.2,2.5–4.0,2.6,4–6,5-merou,6–8,6–9,7–12,8–11,90°,abaxially,absent,acuminate,adaxiall,adaxially,adnate,aequilateral,ag,alyx,among,anthesi,apical,apparently,appearing,around,articulate,attenuate,axe,ba,bark,base,blade,broad,brown,bud,calyx,channeled,clinate,congested,craspedodromous,cylindrical,deltoid,developed,directed,distinct,dry,eaf,edge,eed,either,emerging,entire,erect,extending,ferruginous,fertile,filiform,free,glandular,globolunate,hair,heterostylous,increasing,intact,internode,interpetalar,intersepalar,know,known,lanceolate,layer,less,lobe,lobed,lon,longer,low,lower,margin,mature,midpoint,midrib,midvein,minute,much,nflorescence,noticeably,oblique,occasionally,opaque,opposed,orolla,persistent,plurifoliat,pore,porrect,porrect-stellate,portion,potentially,prickl,prickle,primary,raised,ray,reddish,reduced,remaining,restricted,rigid,rounded,row,ruit,scarcely,secondary,see,seen,sessile,short-stipitate,shorter,shot-stipitate,side,sinuate,sloughing,sparsely,splitting,spread,stamen,stellae,stellate-pubescent,stem,stipe,stipitate,subcordate,suture,tamen,tem,time,tip,tissue,transparent,truncat,tube,two,ud,unarme,unarmed,vary,vein,well,wide,yellow-ferruginous,ympodia,young,±equal,±erect,×	0.6-1.6,5-merous,6-8,abaxial,adaxial,arrangement,colour,form,growth,height,history,inflorescence,length,life,na,number,ovary,plant,position,rachi,reproduction,seed,shape,spacing,staman,texture,width
