	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025652	success	156	93	66	90	27	0.423	0.5-1,1,1-1.5,1.5-2,15-17,2-3,2-6,3-3.5,3-5,4,4-6,4-7,acuminate,acute,anther,apex,base,calyx,cm,corolla,decurrent,densely,elliptic,filament,fleshy,fruit,furcate,glabrous,green,growth,irregular,leaf,lobe,margin,minutely,mm,occasionally,ovary,ovoid-reniform,pair,pale,paler,papillose,parallel,pedicel,petiole,pinkish-grey,pitted,plant,red-papillose,shape,shiny,shrub,simple,small,stem,straight,strongly,style,surface,tan,tree,vein,white,winged,x	.3,.5,10-20,15-19,2-5,20-50,3-5-flowered,9-11,abruptly,anthesi,appearing,bark,bilobed,blade,broad,campanulate,closed,closely,completely,connate,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,flower,free,geminat,glabrate,greyi,greyish,growing,lateral,like,live,lobed,lon,long,lower,main,major,matte,middle,minor,minute,narrowing,nearly,new,nflorescence,older,one,onto,opposite,overlappin,ovoid,papillae,papillo,planar,pore,poricidal,portion,rather,ry,scar,shaped,size,soon,spaced,specimen,stigma,tall,tapering,tear,tear-drop,thick,thicker,tightly,tip,tube,ud,unit,wider,widest,wing,ympodial,young	1.3,abaxial,adaxial,alternate,arrangement,branching,characteristic,colour,diameter,form,height,history,inflorescence,length,life,midvein,na,peduncle,primary,pseudostipule,rachi,seed,staman,tertiary,texture,unarmed,venation
1	wfo-0001025657	success	239	116	93	146	23	0.389	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.3-2,1.5-1.8,2-10,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,3-6,4-4.4,5-16,6-8,7-9.5,8-10.5,8.3-12,acute,anther,apart,apex,articulated,base,berry,bluish,branched,brown,calyx,chartaceous,closely,cm,cordate,corolla,dark,deltoid,densely,diameter,dried,entire,expanded,filament,fleshy,flower,fruit,glabrous,granular,green,hair,half,lanate-pubescent,lanceolate,leaf,length,lobe,lower,margin,mm,narrowly,ovate,pale,pedicel,peduncle,petiole,porrect-stellate,rachi,reticulate-punctate,ripe,semi-ovate,shrub,simple,slightly,soft,spaced,stellate-pubescent,stem,style,suborbicular,surface,tan,tomentose,tomentose-pubescent,tree,unarmed,vein,white,x,yellow,yellowish	-2,/3,1.7-1.9,12x,2/3,25-60,3-4,3-4.8,3.2-6,4-4.5,4-7,5-14,6-12,6.5-10,7-27,7-9,abaxially,accrescent,adaxially,ag,also,anthesi,apparently,appearing,ark,around,ascending,axe,axillary,ba,blade,blunt-tipped,branch,broadly,bud,capitat,central,conical,cylindrical,dendritic-multangulat,dendritic-multangulate,dense,directed,distally,due,eaf,earl,edge,eed,elliptic,especially,evident,exerted,exserted,farinose,few-rayed,free,fruiting,glandula,glandular,inserted,lateral,lengthening,light,lobed,long,long-stalked,longitudinal,m.,magnification,main,midrib,minutely,mixed,multangulate,nearly,nflorescence,oblong,obtuse,occasional,often,older,open,orbicular,orolla,ovat,ovate-lanceolate,overlapping,part,parted,partly,perfect,persistent,persistently,plurifoliate,pore,poricidal,present,pseudo-terminal,pubescence,pubescent,ray,reportedly,ruit,scented,sessile,short,short-,short-stalked,side,slit,somewhat,splitting,stamen,stellate,stigma,stipitate-glandular,stipitate-multangulate,strongly,subcampanulate,subcoriaceous,suture,tall,tamen,terete,thick-stalked,thickened,thin-stalked,time,tip,tomentum,transparent,tube,two-third,ud,unarme,unit,upper,usually,vary,velutinous-pubescent,way,weakly,wide,ympodial,young	abaxial,adaxial,arrangement,branching,characteristic,colour,form,growth,height,history,inflorescence,life,midvein,na,ovary,perennial,plant,primary,seed,shape,staman,texture,true
2	wfo-0001025669	invalid_json	216	129	92	124	37	0.426	'',.5,0.1-0.3,1,1-2,1-2.2,1-4,1.4-2.5,13-35,2,2-3,2-4,2.2-6.5,3-5,``,absent,acuminate,acute,anther,apex,articulation,base,berry,blue,broadly,brownish,cell,chartaceous,cm,condition,contracted,corolla,covering,cuneate,diameter,distinct,drying,elliptic,filament,flower,flowered,fresh,fruit,glabrous,globose,green,greenish,hair,herb,highly,lateral,like,lobe,long,margin,membranous,minute,mm,moderately,monochasium,mottled,oblique,obtuse,odd-pinnate,often,ovate,ovoid,pedicel,peduncle,petiole,plant,pubescent,purple,rarely,ripe,scale-like,seed,single,slightly,sometimes,species,stem,streaked,style,subglabrous,testal,thick,tinged,typically,wall,white,whitish	0-1,0-5,0-7,0.8-2.4,1-10,1-3,1.3-4.2,1.6-4.4,2.2-6,2.4-7,3-7,4-6,5-merou,9-24.5,abaxially,absen,acumen,adaxially,ag,along,alyx,apart,apparently,axe,blade,capitat,ciliate,clavate,clearly,connivent,decurrent,digestion,discussion,distal,dorsally,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,extra,flat,folded,forming,geminat,glabrou,greatly,green-white,hair-like,half,homostylous,honeycomb-shaped,interjected,lanceolate,larger,leaflet,lengthening,living,lower,make,midrib,minutely,mucilaginous,multicellular,near,nflorescence,obovate,one,orbicular,orolla,pair,perfect,petiolulate,petiolule,placed,plurifoliate,pore,poricidal,proximal,puberulent,reduced,removed,rosette,rotate,rounded,ruit,see,sessile,seudostipule,short,size,slit,spaced,specimen,stamen,ste,stigma,stolo,straight,subequal,tall,tamen,tem,terminal,throughout,tip,tri-,truncate,tube,tuber,unbranched,unequal,unit,unwinged,vary,wet,wide,x,yellow,ympodial	'extra,'hair-like,[,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,history,inflorescence,leaf,length,life,midvein,na,ovary,perennial,primary,pseudostipule,rachi,shape,staman,surface,tertiary,texture,true,unarmed,value,vein,venation,{,}
3	wfo-0001025697	success	181	130	98	83	32	0.541	-9,0.15-0.75,1-1.7,1-2,1.7-8.6,10-26,2-6,25-35,3-10,3-4,3-5,3-6,abaxially,acuminate,acute,adaxially,anther,apart,apex,articulated,asymmetric,attenuate,axillary,base,basiscopic,berry,blue,brownish,bud,cell,cm,condition,coriaceous,corolla,covering,dark,deep,diameter,distal,drying,elliptic,filament,flower,forked,fresh,fruit,generally,glabrescent,glabrous,globose,green,green-white,greenish,hair,hair-like,half,herb,high,lanceolate,lateral,leaf,light,lilac,lobe,long,make,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,plant,purple,rachi,ripe,rounded,seed,sessile,short,side,spaced,stripe,style,subtending,terminal,testal,thick,throughout,tissue,typically,usually,wall,wet,whitish	0-14,0.6-3.5,0.8-2,1-3,1.5-1.8,2-10.5,2-2.6,2-4,3.3-11,4-7.5,5-merou,5.5-11.5,6.5-13.5,acumen,adaxiall,ag,alyx,apparently,axe,blade,capitat,clavate,connivent,decreasing,decurrent,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,folded,geminat,glabrou,hal,homostylous,honeycomb-shaped,interjected,leaflet,lengthening,linear,living,lower,nflorescence,orbicular,orolla,pair,pentagonal,perfect,petiolulate,plurifoliate,pore,poricidal,removed,rotate,ruit,seudostipule,size,slightly,slit,specimen,stamen,stigma,straight,subequal,subglabrou,tall,tamen,tem,tip,toward,tri-,tube,unit,unwinged,vary,wood,x,yellow,ympodial	2,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,history,inflorescence,length,life,margin,midvein,na,ovary,primary,pseudostipule,shape,staman,stem,subglabrous,surface,tertiary,texture,unarmed,vein,venation,woody
4	wfo-0001025699	success	181	125	101	80	24	0.558	.2,1,1-1.5,1-2.5,1-3,1.5-2,10,15-20,2,2-2.5,2cm,3-3.5,3-8,4-5,5-8,5-winged,8-9,abaxially,absent,acute,almost,anther,anthesi,apex,attenuate,base,becoming,berry,branching,brown,c.,calyx,cm,completely,conical,conspicuously,corolla,crystal,dark,darker,diameter,ellipsoid,elliptic,entire,exerted,filament,glabrous,globose,green,grey-brown,growth,immature,inclusion,inflorescence,lanceolate,leaf,leaf-opposed,leafy,lobe,margin,markedly,midrib,minutely,mm,narrowly,nodding,older,ovary,oxalate,pair,pale,pedicel,peduncle,petiole,primary,red,reniform,reticulate-pitted,rounded,sand,shoot,short,simple,small,somewhat,stem,strongly,style,surface,time,tip,tree,triangular,tube,vein,way,white,white-spotted,winged,x,young	.5,0.5,1-2,1.5,1/3,2-6,3-15,3-5.5,499,5.5-14,adaxially,age,apart,apparently,appearing,articulating,bark,campanulate,capitate,continuing,corrugate,cup-shaped,deltate,densely,difoliate,dorsal,dry,drying,eaf,eed,erect,face,fide,flower,free,fruiting,glabrou,included,inflorescenc,irregularly,leaving,lengthening,less,lobed,lower,new,nflorescence,one,onto,papillat,papillose,peg,penden,per,perfect,plurifoliate,pore,poricidal,portion,reddish,rounded-sagittate,ruit,scar,slightly,slit,spaced,stearn,stigma,straight,tangled,thickened,trichome,ud,unit,wide,wing,woody,yellow,ympodial,½	abaxial,adaxial,arrangement,characteristic,colour,corrugated,form,fruit,height,history,length,life,midvein,na,plant,pseudostipule,rachi,seed,shape,staman,tertiary,texture,unarmed,venation
5	wfo-0001025700	invalid_json	189	108	72	117	36	0.381	0.30-2.0,0.5-2,0.8-2.6,1-2,10.5-12,15-40,2-12,2-7,2.5-4,3-8,5-15,5-20,5.5-8,acuminate,acute,anther,apex,apiculate,articulated,attenuate,base,berry,brownish,cell,chartaceous,cm,condition,corolla,covering,diameter,distal,dot,drying,elliptic,filament,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair-like,half,herb,high,lateral,leaf,light,lilac,lobe,long,medium,mm,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,petiolulate,plant,purple,rounded,seed,sometimes,style,testal,thick,wall,white,whitish	0-16,0.7-2.7,0.8-4,1-3,1.1-2.3,1.5-2,10-40,3-4,3.5-10.5,3.7-8.6,4-5,5-merou,5.3-17.5,5.5-18,9-31,abaxially,acuman,acumen,adaxially,ag,alyx,apparently,asymmetric,axe,axillary,basal,basiscopic,blade,bud,capitat,clavate,connivent,considerably,decrease,decreasing,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,except,flat,flower,folded,forked,geminat,generally,glabrou,green-white,hair,hal,homostylous,honeycomb-shaped,interjected,lanceolate,larger,leaflet,lengthening,linear,living,lower,make,mucilaginous,narrowly,nflorescence,orbicular,orolla,pair,par,pentagonal,perfect,plurifoliate,pore,poricidal,proximal,removed,ripe,rotate-pentagonal,ruit,sessile,seudostipule,short,side,size,slightly,slit,specimen,stamen,stigma,straight,subequal,subglabrou,subtending,tall,tamen,tem,terminal,throughout,tip,tissue,toward,tri-,tube,typically,unit,unwinged,usually,vary,wet,whose,winged,x,yellow,ympodial	'',2,[,``,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,inflorescence,length,margin,midvein,na,ovary,primary,pseudostipule,rachi,shape,staman,stem,subglabrous,surface,tertiary,texture,unarmed,value,vein,venation,{,}
6	wfo-0001025704	success	248	135	115	133	20	0.464	0-100,0-2,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1/5,2-3,2-7,2.7-4,3-15,3-5,3-6,4-5,4.5-6.5,abaxial,acute,adaxial,almost,anther,apex,apically,apiculate,apparently,articulated,auriculate,base,berry,branched,calyx,cell,chartaceous,cm,cordate,deltate,densely,diameter,discolorous,drying,ellipsoid,elliptic,erect,evenly,filament,flattened-reniform,fruit,glabrous,green,green-yellow,lateral,leaf,length,lobe,lobed,long,margin,maturity,mauve,midvein,mm,near,orange,orange-brown,outline,ovate,pair,pale,pedicel,peduncle,per,petiole,pit,plant,prickle,prickly,primary,raised,rarely,red-green,round,shape,shrub,side,small,smooth,sometimes,sparsely,spherical,stellate-pubescent,stem,strongly,style,surface,terminal,tertiary,tree,truncate,unarmed,unbranched,unit,upper,vein,venation,visible,white,white-gray,yellow,yellow-green,yellowish,young,×	-10,-2,-3,-5,/6,0,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,1,1-4,1.5-2,1.5-4.5,1.8-3.5,1/2-4/5,1/4-3/4,2,2-10,2-4.5,2-5,2.5-4.5,3-10,4-12,5-20,5-merous,6-12,6-15,8-12,8-15,8-17,abaxially,age,alyx,andromonoecious,apar,apart,axe,ba,bark,blade,broad-deltate,brow,connivent,covering,curved,development,distal,distance,eaf,eed,elongating,end,equal,extending,flattened,flower,free,fruiting,glabrescent,gray,half,hermaphrodite,heterostylous,infructescence,irregular,less,lobing,long-styled,longer,lower,lowermost,mature,midpoint,moderately,multangulate,nflorescence,obtuse,occasionally,often,older,one,open,orolla,oung,pendulous,pericarp,plurifoliat,poricidal,porrect,portion,prickl,prominent,ray,recurved,red-brown,reflexed,retaining,rounded,ruit,scar,secondary,sessile,short-styled,shorter,slender,somewhat,spaced,spreading,stalk,stalked,staminat,stellate,stellate-pubescen,stout,straight,tamen,tapering,terete,throughout,time,tip,trichome,tube,variously,vary,warty,way,wide,widening,woody,ympodial	arrangement,branching,characteristic,colour,corolla,form,growth,height,history,inflorescence,life,na,ovary,perennial,plurifoliate,rachi,seed,staman,sympodial,texture
7	wfo-0001025729	success	177	132	104	73	28	0.588	.5,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.5-2,1.75,2,20,4-5,5-50-flowered,7-8,abaxial,abaxially,abrupt,acute,adaxially,anther,apex,apiculate,appearing,axil,basal,base,berry,black,bright,calyx,cm,corolla,covering,dark,deltoid,densely,dia,diam,dirty,drying,elliptic,f,filament,flattened-reniform,fleshy,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,growing,incrassate,lamina,lateral,leaf,like,live,lobe,long,main,margin,minute,minutely,mm,oblique,occasionally,often,opposite,ovary,overtopping,pair,pale,papillose,pedicel,petiole,pit,pitted,plant,pubescent,ripening,rounded,shiny,simple,sparsely,stem,straight,style,surface,tapering,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,usually,vein,white,widening,x,yellow	-20,/4,2-3.5,3-6,4-8,6-8,9-17,along,anthesi,apar,apical,bark,blackish,branched,bristly,bud,covered,cyathiform,deflexed,denser,differing,difoliate,eaf,edicel,eed,enclosed,expanded,free,fruiting,geminat,gently,glabrou,lat,lobed,lon,lower,m.,mainly,major,member,middle,minor,nflorescence,older,one,overlapping,papillo,partially,pore,poricidal,portion,prominent,quite,raised,reflexed,ruit,scar,shaped,short,size,stigma,stout,tall,tear-drop,touching,tub,ud,unit,way,widest,woody,ympodial,young	4-20,adaxial,arrangement,branching,characteristic,colour,diameter,form,fruit,growth,height,history,inflorescence,length,life,midvein,na,peduncle,primary,pseudostipule,rachi,seed,shape,staman,tertiary,texture,unarmed,venation
8	wfo-0001025749	success	217	129	106	111	23	0.488	0-10,0-3,0-5,0-6,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.8-0.9,1-10,1-13,1-2,1-3,1-6,1-9,1.5-2,1.5-2.5,2-2.5,2.5-6,3-5,5-20,abaxial,acute,adaxial,anther,apex,apically,apparently,articulated,base,berry,branched,calyx,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,filament,flattened-reniform,flower,fruit,gently,glabrous,green-brown,indistinct,infructescence,lateral,leaf,length,lobe,lobed,long,long-ovate,lower,magnification,margin,maturity,mauve,midvein,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pair,pale,pedicel,peduncle,per,petiole,prickle,prickly,primary,rarely,red-brown,rounded,shrub,sometimes,sparsely,spherical,stellate,stellate-pubescent,stem,straight,straw-yellow,style,surface,tertiary,toward,trichome,usually,vein,venation,visible,white,wide,without,yellow,yellow-green,yellow-orange	-1,-12,.5,/5,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.4-0.7,0.5,0.5-1.3,0.5-3,0.6-4.5,1,1-8.5,1.5,1/4-1/3,1/5-1/2,2-10,2/3,3-20,4-8,5-,5-10,5-merous,6-8,abaxially,acuminat,adaxially,adnate,almost,alyx,apar,apart,bark,blade,broad-deltate,concolorous,difoliate,discolorous,distance,drying,eaf,eed,elongating,equal,erect,extending,filiform,flattened,free,fruiting,geminat,glabrescent,gray,herbaceous,light,lon,longer,markedly,mature,midpoint,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pendulous,perfec,pericarp,poricidal,porrect,portion,prickl,procumbent,purple,ray,recurved,reduced,ruit,scar,sessile,shorter,side,smooth,spaced,spreading,stalk,stalked,strongly,tamen,tapering,terete,time,tip,tube,unit,variously,vary,way,yellowish,ympodial,½-2/	acuminate,arrangement,branching,characteristic,colour,corolla,form,growth,height,history,inflorescence,life,na,ovary,plant,pseudostipule,rachi,seed,shape,staman,texture,unarmed,½-2/3
9	wfo-0001025754	success	164	123	93	71	30	0.567	-celled,.5,0.5-1,0.5-1.5,1,1-2,1-3,1.5,1.5-3,10-20,10-35,2-7,3-10,3-5,4,4-6,5-12,5-15,absent,acuminate,acute,anther,apex,asymmetrical,base,berry,beyond,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,decurrent,densely,diameter,dm,drying,edge,eglandular,entire,equal,exserted,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,leaving,linear-lanceolate,lobe,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,often,palmately,parallel,pedicel,peduncle,per,petiole,pubescent,rachi,radiating,raised,ridge,running,semitransparent,shallow,slightly,solitary,sparsely,stamen,stem,style,surface,truncate,unbranched,vein,white,x,yellow	0.1-0.2,1-3.5,1.5-4,2-4,2-5-celled,2-foliate,3-6,abaxially,abundant,adaxiall,adaxially,along,axe,barely,blade,branch,connected,decumbent,dehiscing,denser,dried,eaf,eed,emarginat,erect,explosively,flat,geminat,glandular,held,interpetalar,like,long,lower,lying,main,material,maturit,mesocarp,mixed,nfloresence,notch,oblong,orolla,penden,placenta,pressure,probably,pubescen,rotate,ruit,short,small,sometimes,stigma,straight,swollen,tal,tamen,tem,tissue,triangular,tube,unit,upright,vary,visible,watery,wid,woody,ympodial	2.5,abaxial,adaxial,arrangement,branching,characteristic,colour,corolla,form,geminate,growth,height,history,inflorescence,length,life,midvein,na,ovary,pendent,plant,primary,pseudostipule,seed,shape,staman,tertiary,texture,unarmed,venation
