	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025652	success	156	125	88	68	37	0.564	0.5-1,1-1.5,1.5-2,10-20,15-17,15-19,2-5,2-6,20-50,3-3.5,3-5,4-6,4-7,9-11,abruptly,acuminate,acute,anther,anthesi,apex,bark,base,calyx,campanulate,closed,cm,completely,corolla,decurrent,densely,difoliate,elliptic,envelope,filament,fleshy,flower,fruit,furcate,glabrate,glabrous,green,greyish,growth,lateral,leaf,lobed,main,matte,minor,minutely,mm,narrowing,nearly,new,occasionally,opposite,ovoid,pair,paler,papillose,parallel,pedicel,petiole,planar,plant,pore,poricidal,red-papillose,shape,shaped,shiny,shrub,simple,size,small,stem,strongly,tear-drop,tip,tree,tube,unit,vein,white,wing,winged,x,young	.3,.5,1,2-3,3-5-flowered,4,appearing,bilobed,blade,broad,closely,connate,dia,differing,dry,eaf,edicel,eed,emerge,free,geminat,greyi,growing,irregular,like,live,lobe,lon,long,lower,major,margin,middle,minute,nflorescence,older,one,onto,ovary,overlappin,ovoid-reniform,pale,papillae,papillo,pinkish-grey,pitted,portion,rather,ry,scar,soon,spaced,specimen,stigma,straight,style,surface,tall,tan,tapering,tear,thick,thicker,tightly,ud,wider,widest,ympodial	abaxial,adaxial,breeding,cell,colour,connective,form,fruiting,geminate,hair,height,heteromorphism,inflorescence,length,marking,na,number,orientation,placement,position,prickle,pseudostipule,rhizome,seed,spot,staman,stone,structure,symmetry,sympodial,system,texture,tuber,type,venation,width,xylopodia
1	wfo-0001025657	success	239	116	66	173	50	0.276	1-1.6,1.3-2,2-10,2.7-4.3,accrescent,also,anther,apex,articulated,ascending,base,berry,bluish,blunt-tipped,branched,brown,calyx,chartaceous,cm,conical,cordate,corolla,dark,dried,entire,filament,fleshy,fruit,fruiting,hair,leaf,length,light,long,lower,margin,mm,multangulate,oblong,orbicular,pedicel,perfect,persistent,petiole,plurifoliate,pore,poricidal,pseudo-terminal,ray,reportedly,ripe,scented,shrub,simple,somewhat,stellate,stem,strongly,surface,tip,tree,unarmed,unit,white,x,yellow	-2,/3,0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-3,1.2-1.5,1.5-1.8,1.7-1.9,12x,2-3.5,2.2-5.5,2.5-9.3,2/3,25-60,3-4,3-4.8,3-6,3.2-6,4-4.4,4-4.5,4-7,5-14,5-16,6-12,6-8,6.5-10,7-27,7-9,7-9.5,8-10.5,8.3-12,abaxially,acute,adaxially,ag,anthesi,apart,apparently,appearing,ark,around,axe,axillary,ba,blade,branch,broadly,bud,capitat,central,closely,cylindrical,deltoid,dendritic-multangulat,dendritic-multangulate,dense,densely,diameter,directed,distally,due,eaf,earl,edge,eed,elliptic,especially,evident,exerted,expanded,exserted,farinose,few-rayed,flower,free,glabrous,glandula,glandular,granular,green,half,inserted,lanate-pubescent,lanceolate,lateral,lengthening,lobe,lobed,long-stalked,longitudinal,m.,magnification,main,midrib,minutely,mixed,narrowly,nearly,nflorescence,obtuse,occasional,often,older,open,orolla,ovat,ovate,ovate-lanceolate,overlapping,pale,part,parted,partly,peduncle,persistently,porrect-stellate,present,pubescence,pubescent,rachi,reticulate-punctate,ruit,semi-ovate,sessile,short,short-,short-stalked,side,slightly,slit,soft,spaced,splitting,stamen,stellate-pubescent,stigma,stipitate-glandular,stipitate-multangulate,style,subcampanulate,subcoriaceous,suborbicular,suture,tall,tamen,tan,terete,thick-stalked,thickened,thin-stalked,time,tomentose,tomentose-pubescent,tomentum,transparent,tube,two-third,ud,unarme,upper,usually,vary,vein,velutinous-pubescent,way,weakly,wide,yellowish,ympodial,young	appressed,articulation,bract,branching,breeding,broad-based,cell,colour,connective,form,growth,heteromorphism,inflated,inflorescence,insertion,interjected,interpetalar,leaflet,marking,mature,modification,na,needle-like,odour,orientation,paired,pattern,placement,position,prickle,pseudostipule,rhizome,scale,shape,smell,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,trichome,tuber,type,vegetative,xylopodia,zygomorphy
2	wfo-0001025669	invalid_json	216	124	98	118	26	0.454	'',.5,0-7,0.1-0.3,1,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,13-35,2-3,2-4,2.2-6,2.4-7,3-5,3-7,4-6,9-24.5,``,abaxially,absent,adaxially,anther,base,blade,blue,broadly,brownish,chartaceous,clavate,cm,condition,corolla,diameter,drying,end,filament,flower,fresh,fruit,glabrous,globose,green,greenish,hair,herb,homostylous,interjected,lanceolate,lateral,leaflet,lengthening,long,membranous,minute,minutely,mm,moderately,monochasium,mottled,obovate,odd-pinnate,one,orbicular,ovoid,pair,pedicel,peduncle,placed,plant,pore,poricidal,puberulent,pubescent,purple,rarely,ripe,scale-like,seed,size,slightly,slit,sometimes,stem,stigma,streaked,style,subglabrous,terminal,tinged,tip,tuber,typically,white,whitish,wide,x	0-1,0-5,0.8-2.4,1-10,1-3,1.6-4.4,2,2.2-6.5,5-merou,absen,acumen,acuminate,acute,ag,along,alyx,apart,apex,apparently,articulation,axe,berry,capitat,cell,ciliate,clearly,connivent,contracted,covering,cuneate,decurrent,digestion,discussion,distal,distinct,dorsally,eaf,edge,eed,elliptic,enzyme,erec,especially,exceeding,except,extra,flat,flowered,folded,forming,geminat,glabrou,greatly,green-white,hair-like,half,highly,honeycomb-shaped,larger,like,living,lobe,lower,make,margin,midrib,mucilaginous,multicellular,near,nflorescence,oblique,obtuse,often,orolla,ovate,perfect,petiole,petiolulate,petiolule,plurifoliate,proximal,reduced,removed,rosette,rotate,rounded,ruit,see,sessile,seudostipule,short,single,spaced,species,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,testal,thick,throughout,tri-,truncate,tube,unbranched,unequal,unit,unwinged,vary,wall,wet,yellow,ympodial	'extra,[,],age,arrangement,calyx,capitate,characteristic,colour,form,growth,height,inflorescence,leaf,length,ovary,placement,pseudostipule,shape,staman,stolon,texture,type,value,{,}
3	wfo-0001025697	invalid_json_followup	181	168	116	65	52	0.641	-9,0-14,0.15-0.75,0.8-2,1-1.7,1-2,1-3,1.7-8.6,10-26,2-4,2-6,25-35,3-10,3-4,3-5,3-6,5.5-11.5,abaxially,acumen,acuminate,acute,adaxially,anther,apex,asymmetric,attenuate,base,basiscopic,berry,blade,blue,brownish,cell,clavate,cm,condition,connivent,coriaceous,corolla,dark,decurrent,deep,diameter,digestion,distal,dorsally,drying,edge,elliptic,enzyme,filament,flat,flower,folded,forked,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,half,herb,high,homostylous,honeycomb-shaped,interjected,lanceolate,lateral,leaf,leaflet,lengthening,light,lilac,lobe,medium,mm,odd-pinnate,ovate,ovoid,pair,pedicel,peduncle,pentagonal,perfect,petiole,plant,pore,poricidal,purple,rachi,removed,ripe,rotate,rounded,seed,sessile,short,side,slightly,slit,stigma,straight,stripe,style,terminal,testal,tip,tissue,tube,typically,wall,whitish,yellow	0.6-3.5,1.5-1.8,2-10.5,2-2.6,3.3-11,4-7.5,5-merou,6.5-13.5,adaxiall,ag,alyx,apart,apparently,articulated,axe,axillary,bud,capitat,covering,decreasing,eaf,eed,erec,exceeding,geminat,generally,glabrou,green-white,hair-like,hal,linear,living,long,lower,make,mucilaginous,nflorescence,orbicular,orolla,petiolulate,plurifoliate,ruit,seudostipule,size,spaced,specimen,stamen,subequal,subglabrou,subtending,tall,tamen,tem,thick,throughout,toward,tri-,unit,unwinged,usually,vary,wet,wood,x,ympodial	'',[,``,abaxial,adaxial,age,appressed,arrangement,articulation,asymmetry,bract,branching,breeding,calyx,capitate,characteristic,colour,connective,connivence,decurrency,form,fruiting,growth,height,inflated,inflorescence,length,marking,mature,modification,na,number,ovary,pattern,position,pseudostipule,scale,shape,spacing,spot,staman,stem,subglabrous,symmetry,system,texture,trichome,type,value,woody,{,}
4	wfo-0001025699	success	181	120	70	111	50	0.387	1-1.5,1-2.5,1-3,1.5-2,1/3,4-5,5-winged,acute,age,anther,apex,appearing,attenuate,base,becoming,berry,branching,calyx,cm,corolla,cup-shaped,difoliate,ellipsoid,entire,filament,fruiting,glabrous,globose,green,growth,inflorescence,leaf,leaf-opposed,leafy,lengthening,lobe,lobed,lower,margin,markedly,midrib,minutely,mm,papillose,pedicel,perfect,petiole,plurifoliate,pore,poricidal,reticulate-pitted,rounded-sagittate,shoot,short,simple,slightly,slit,somewhat,stem,surface,tangled,time,tip,tree,trichome,unit,way,white,x,½	.2,.5,0.5,1,1-2,1.5,10,15-20,2,2-2.5,2-6,2cm,3-15,3-3.5,3-5.5,3-8,499,5-8,5.5-14,8-9,abaxially,absent,adaxially,almost,anthesi,apart,apparently,articulating,bark,brown,c.,campanulate,capitate,completely,conical,conspicuously,continuing,corrugate,crystal,dark,darker,deltate,densely,diameter,dorsal,dry,drying,eaf,eed,elliptic,erect,exerted,face,fide,flower,free,glabrou,grey-brown,immature,included,inclusion,inflorescenc,irregularly,lanceolate,leaving,less,narrowly,new,nflorescence,nodding,older,one,onto,ovary,oxalate,pair,pale,papillat,peduncle,peg,penden,per,portion,primary,red,reddish,reniform,rounded,ruit,sand,scar,small,spaced,stearn,stigma,straight,strongly,style,thickened,triangular,tube,ud,vein,white-spotted,wide,wing,winged,woody,yellow,ympodial,young	appressed,articulation,bract,breeding,broad-based,cell,colour,connective,corrugated,form,fruit,hair,heteromorphism,inflated,insertion,interjected,interpetalar,leaflet,length,marking,mature,modification,na,needle-like,odour,orientation,paired,pattern,placement,position,prickle,pseudostipule,rhizome,scale,shape,smell,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,tuber,type,vegetative,xylopodia,zygomorphy
5	wfo-0001025700	invalid_json_followup	189	161	101	88	60	0.534	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1-3,1.5-2,10-40,10.5-12,2-7,2.5-4,3-8,3.5-10.5,4-5,5-15,5-20,5.3-17.5,5.5-18,5.5-8,9-31,abaxially,acumen,adaxially,anther,apex,attenuate,base,berry,blade,brownish,cell,chartaceous,clavate,cm,condition,corolla,covering,diameter,distal,dot,drying,filament,flower,forked,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,hair-like,half,herb,high,homostylous,interjected,lanceolate,lateral,leaf,leaflet,lilac,lobe,long,lower,medium,mm,narrowly,odd-pinnate,ovoid,pair,pedicel,pentagonal,petiole,plant,pore,poricidal,purple,ripe,rotate-pentagonal,rounded,seed,short,size,sometimes,stigma,straight,style,terminal,testal,thick,tip,tissue,tube,unwinged,wall,white,whitish,winged,x	0.8-4,1-2,1.1-2.3,15-40,2-12,3-4,3.7-8.6,5-merou,acuman,acuminate,acute,ag,alyx,apiculate,apparently,articulated,asymmetric,axe,axillary,basal,basiscopic,bud,capitat,connivent,considerably,decrease,decreasing,digestion,dorsally,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,flat,folded,geminat,generally,glabrou,green-white,hal,honeycomb-shaped,larger,lengthening,light,linear,living,make,mucilaginous,nflorescence,orbicular,orolla,ovate,par,peduncle,perfect,petiolulate,plurifoliate,proximal,removed,ruit,sessile,seudostipule,side,slightly,slit,specimen,stamen,subequal,subglabrou,subtending,tall,tamen,tem,throughout,toward,tri-,typically,unit,usually,vary,wet,whose,yellow,ympodial	'',[,``,abaxial,adaxial,appressed,arrangement,articulation,bract,branching,breeding,broad-based,calyx,capitate,characteristic,colour,connective,form,fruiting,growth,hairines,height,inflated,inflorescence,insertion,interpetalar,length,margin,marking,mature,modification,na,needle-like,number,odour,orientation,ovary,paired,pattern,position,prickle,pseudostipule,scale,shape,smell,spot,staman,stem,subglabrous,surface,symmetry,system,texture,trichome,type,value,vegetative,winging,{,}
6	wfo-0001025704	success	248	105	61	187	44	0.246	0.5-1.5,1/2-4/5,4.5-6.5,anther,apex,articulated,auriculate,base,berry,branched,calyx,cell,chartaceous,connivent,cordate,discolorous,drying,ellipsoid,erect,evenly,filament,fruit,fruiting,green,green-yellow,lateral,leaf,length,lobed,lower,margin,mature,maturity,mauve,mm,pedicel,petiole,poricidal,prickle,rarely,shape,shrub,small,sometimes,spherical,stellate,stem,strongly,surface,tapering,terminal,tip,tree,trichome,truncate,unbranched,unit,way,white,yellow,young	-10,-2,-3,-5,/6,0,0-100,0-2,0-3.5,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,0.3-0.8,0.7-1,1,1-3.5,1-4,1-6,1.2-3,1.5-2,1.5-3.2,1.5-4.5,1.8-3.5,1/4-3/4,1/5,2,2-10,2-3,2-4.5,2-5,2-7,2.5-4.5,2.7-4,3-10,3-15,3-5,3-6,4-12,4-5,5-20,5-merous,6-12,6-15,8-12,8-15,8-17,abaxial,abaxially,acute,adaxial,age,almost,alyx,andromonoecious,apar,apart,apically,apiculate,apparently,axe,ba,bark,blade,broad-deltate,brow,cm,covering,curved,deltate,densely,development,diameter,distal,distance,eaf,eed,elliptic,elongating,end,equal,extending,flattened,flattened-reniform,flower,free,glabrescent,glabrous,gray,half,hermaphrodite,heterostylous,infructescence,irregular,less,lobe,lobing,long,long-styled,longer,lowermost,midpoint,midvein,moderately,multangulate,near,nflorescence,obtuse,occasionally,often,older,one,open,orange,orange-brown,orolla,oung,outline,ovate,pair,pale,peduncle,pendulous,per,pericarp,pit,plant,plurifoliat,porrect,portion,prickl,prickly,primary,prominent,raised,ray,recurved,red-brown,red-green,reflexed,retaining,round,rounded,ruit,scar,secondary,sessile,short-styled,shorter,side,slender,smooth,somewhat,spaced,sparsely,spreading,stalk,stalked,staminat,stellate-pubescen,stellate-pubescent,stout,straight,style,tamen,terete,tertiary,throughout,time,tube,unarmed,upper,variously,vary,vein,venation,visible,warty,white-gray,wide,widening,woody,yellow-green,yellowish,ympodial,×	appressed,articulation,bract,branching,broad-based,colour,corolla,form,growth,hair,heteromorphism,inflated,inflorescence,insertion,interjected,interpetalar,leaflet,marking,na,needle-like,odour,orientation,paired,placement,plurifoliate,position,present,pseudostipule,rhizome,scale,smell,spot,staman,stone,structure,symmetry,sympodial,texture,tissue,tuber,type,vegetative,xylopodia,zygomorphy
7	wfo-0001025729	success	177	136	85	92	51	0.48	/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,4-5,4-8,9-17,abaxially,acute,adaxially,anther,anthesi,apex,axil,bark,base,black,blackish,calyx,cm,corolla,cyathiform,deflexed,dia,difoliate,dirty,drying,elliptic,filament,flattened-reniform,fruiting,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,lateral,leaf,like,live,lobed,long,main,margin,mm,oblique,occasionally,opposite,ovary,pale,pedicel,petiole,pitted,plant,pore,ripening,rounded,shaped,shiny,short,simple,size,stem,stigma,stout,style,surface,tear-drop,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,way,white,woody,x,yellow	-20,.5,1.2-1.8,1.5-2,1.75,2,2-3.5,20,3-6,5-50-flowered,6-8,7-8,abaxial,abrupt,along,apar,apical,apiculate,appearing,basal,berry,branched,bright,bristly,bud,covered,covering,dark,deltoid,densely,denser,diam,differing,eaf,edicel,eed,enclosed,expanded,f,fleshy,free,geminat,gently,glabrou,growing,incrassate,lamina,lat,lobe,lon,lower,m.,mainly,major,member,middle,minor,minute,minutely,nflorescence,often,older,one,overlapping,overtopping,pair,papillo,papillose,partially,pit,poricidal,portion,prominent,pubescent,quite,raised,reflexed,ruit,scar,sparsely,straight,tall,tapering,terminal,tip,touching,tub,ud,widening,widest,ympodial,young	4-20,5-50,articulation,bract,branching,breeding,cell,colour,connective,flower,form,fruit,geminate,growth,hair,height,heteromorphism,inflorescence,insertion,interjected,interpetalar,leaflet,length,marking,mature,modification,na,number,odour,orientation,pattern,placement,position,prickle,pseudostipule,rhizome,scale,seed,shape,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,tuber,type,xylopodia
8	wfo-0001025749	success	217	114	63	154	51	0.29	0-5,0.1-0.4,0.2-1.5,0.5-0.8,2.5-6,6-8,anther,apex,apparently,articulated,base,berry,branched,calyx,chartaceous,cm,cuneate,curved,difoliate,elongating,equal,filament,flattened,fruit,fruiting,gently,lateral,leaf,length,lobed,long,lower,margin,markedly,mature,mauve,mm,moderately,narrow-deltate,orange-red,pedicel,petiole,poricidal,porrect,prickle,rarely,rounded,sessile,shrub,sparsely,spherical,spreading,stalked,stellate,stellate-pubescent,stem,straight,surface,tapering,tip,trichome,unit,white	-1,-12,.5,/5,0-10,0-3,0-6,0-8,0.1,0.1-0.2,0.1-0.3,0.2,0.3-1.5,0.4-0.7,0.5,0.5-0.9,0.5-1.3,0.5-3,0.6-4.5,0.8-0.9,1,1-10,1-13,1-2,1-3,1-6,1-8.5,1-9,1.5,1.5-2,1.5-2.5,1/4-1/3,1/5-1/2,2-10,2-2.5,2/3,3-20,3-5,4-8,5-,5-10,5-20,5-merous,abaxial,abaxially,acuminat,acute,adaxial,adaxially,adnate,almost,alyx,apar,apart,apically,bark,blade,broad-deltate,concolorous,dark,densely,diameter,discolorous,distance,drying,dull,eaf,eed,erect,extending,filiform,flattened-reniform,flower,free,geminat,glabrescent,glabrous,gray,green-brown,herbaceous,indistinct,infructescence,light,lobe,lon,long-ovate,longer,magnification,maturity,midpoint,midvein,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orange-brown,orbicular,orolla,oung,ovate,pair,pale,peduncle,pendulous,per,perfec,pericarp,portion,prickl,prickly,primary,procumbent,purple,ray,recurved,red-brown,reduced,ruit,scar,shorter,side,smooth,sometimes,spaced,stalk,straw-yellow,strongly,style,tamen,terete,tertiary,time,toward,tube,usually,variously,vary,vein,venation,visible,way,wide,without,yellow,yellow-green,yellow-orange,yellowish,ympodial,½-2/	appressed,articulation,bract,branching,breeding,broad-based,cell,colour,connective,corolla,form,geminate,growth,hair,heteromorphism,inflated,inflorescence,insertion,interjected,interpetalar,leaflet,marking,modification,na,needle-like,odour,orientation,paired,pattern,perfect,placement,position,pseudostipule,rhizome,scale,shape,smell,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,tuber,type,vegetative,xylopodia,zygomorphy
9	wfo-0001025754	invalid_json_followup	164	149	88	76	61	0.537	-celled,.5,0.5-1,0.5-1.5,1,1-2,1-3,1.5,1.5-3,10-20,10-35,3-6,4,5-15,abundant,acuminate,acute,anther,apex,asymmetrical,base,berry,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,decumbent,decurrent,densely,dm,drying,edge,eglandular,entire,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,interpetalar,leaf,lobe,long,lower,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,oblong,often,parallel,pedicel,per,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,slightly,solitary,sparsely,stem,surface,tissue,triangular,truncate,tube,unbranched,upright,white,woody,x,yellow	0.1-0.2,1-3.5,1.5-4,2-4,2-5-celled,2-7,2-foliate,3-10,3-5,4-6,5-12,abaxially,absent,adaxiall,adaxially,along,axe,barely,beyond,blade,branch,connected,dehiscing,denser,diameter,dried,eaf,eed,emarginat,equal,erect,explosively,exserted,flat,geminat,glandular,held,leaving,like,linear-lanceolate,lying,main,material,maturit,mesocarp,mixed,nfloresence,notch,orolla,palmately,peduncle,penden,placenta,pressure,probably,pubescen,rachi,ruit,short,small,sometimes,stamen,stigma,straight,style,swollen,tal,tamen,tem,unit,vary,vein,visible,watery,wid,ympodial	'',[,``,abaxial,adaxial,appressed,arrangement,articulation,bract,branching,breeding,broad-based,character,characteristic,colour,connective,corolla,emarginate,form,fruiting,geminate,growth,height,inflated,inflorescence,insertion,interjected,leaflet,length,marking,mature,modification,na,needle-like,number,odour,orientation,paired,pattern,pendent,placement,plant,pore,position,prickle,scale,seed,shape,smell,spot,stellate,symmetry,system,texture,trichome,type,value,vegetative,zygomorphy,{,}
