	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025652	exception_thrown	156	0	0	156	0	0.0		.3,.5,0.5-1,1,1-1.5,1.5-2,10-20,15-17,15-19,2-3,2-5,2-6,20-50,3-3.5,3-5,3-5-flowered,4,4-6,4-7,9-11,abruptly,acuminate,acute,anther,anthesi,apex,appearing,bark,base,bilobed,blade,broad,calyx,campanulate,closed,closely,cm,completely,connate,corolla,decurrent,densely,dia,differing,difoliate,dry,eaf,edicel,eed,elliptic,emerge,envelope,filament,fleshy,flower,free,fruit,furcate,geminat,glabrate,glabrous,green,greyi,greyish,growing,growth,irregular,lateral,leaf,like,live,lobe,lobed,lon,long,lower,main,major,margin,matte,middle,minor,minute,minutely,mm,narrowing,nearly,new,nflorescence,occasionally,older,one,onto,opposite,ovary,overlappin,ovoid,ovoid-reniform,pair,pale,paler,papillae,papillo,papillose,parallel,pedicel,petiole,pinkish-grey,pitted,planar,plant,pore,poricidal,portion,rather,red-papillose,ry,scar,shape,shaped,shiny,shrub,simple,size,small,soon,spaced,specimen,stem,stigma,straight,strongly,style,surface,tall,tan,tapering,tear,tear-drop,thick,thicker,tightly,tip,tree,tube,ud,unit,vein,white,wider,widest,wing,winged,x,ympodial,young	
1	wfo-0001025657	success	239	200	160	79	40	0.669	-2,0.1-0.4,0.5-2.5,1-1.1,1-1.3,1-3,1.2-1.5,1.3-2,1.5-1.8,1.7-1.9,12x,2-10,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,2/3,25-60,3-4,3-6,4-4.4,5-14,5-16,6-12,6-8,7-27,7-9,7-9.5,8.3-12,abaxially,acute,adaxially,anther,anthesi,apart,apex,articulated,axe,axillary,base,berry,blade,blunt-tipped,branch,branched,broadly,brown,bud,calyx,central,chartaceous,closely,cm,conical,cordate,corolla,dark,deltoid,dendritic-multangulate,diameter,dried,elliptic,entire,especially,expanded,exserted,filament,fleshy,flower,fruit,fruiting,glabrous,glandular,granular,green,hair,half,lanate-pubescent,lateral,leaf,length,lobe,lobed,long,long-stalked,lower,magnification,main,margin,midrib,minutely,mixed,mm,multangulate,narrowly,nearly,oblong,obtuse,often,orbicular,ovate,overlapping,pale,part,parted,partly,pedicel,peduncle,persistently,petiole,plurifoliate,porrect-stellate,present,pseudo-terminal,rachi,ray,reticulate-punctate,ripe,scented,sessile,short,short-,short-stalked,shrub,side,simple,slightly,soft,spaced,stellate,stem,stigma,stipitate-glandular,strongly,style,subcampanulate,suborbicular,surface,tall,tan,terete,thick-stalked,thin-stalked,time,tomentose,tomentose-pubescent,tree,tube,unarmed,unit,usually,vein,velutinous-pubescent,way,weakly,wide,x,yellow,yellowish,young	/3,0.2-0.4,1-1.6,3-4.8,3.2-6,4-4.5,4-7,6.5-10,8-10.5,accrescent,ag,also,apparently,appearing,ark,around,ascending,ba,bluish,capitat,cylindrical,dendritic-multangulat,dense,densely,directed,distally,due,eaf,earl,edge,eed,evident,exerted,farinose,few-rayed,free,glandula,inserted,lanceolate,lengthening,light,longitudinal,m.,nflorescence,occasional,older,open,orolla,ovat,ovate-lanceolate,perfect,persistent,pore,poricidal,pubescence,pubescent,reportedly,ruit,semi-ovate,slit,somewhat,splitting,stamen,stellate-pubescent,stipitate-multangulate,subcoriaceous,suture,tamen,thickened,tip,tomentum,transparent,two-third,ud,unarme,upper,vary,white,ympodial	appearance,arrangement,bark,border,capitate,characteristic,colour,corrugation,distal,drying,exertion,form,giving,glabrousnes,growth,history,inflorescence,interjected,leaflet,life,lobing,mentioned,midpoint,new,number,ovary,per,prickle,primary,pseudostipule,seed,shape,size,sympodial,terminal,texture,thicknes,type,variation,width
2	wfo-0001025669	success	216	187	142	74	45	0.657	.5,0-5,0-7,0.1-0.3,0.8-2.4,1,1-10,1-2,1-2.2,1-3,1-4,1.3-4.2,1.4-2.5,1.6-4.4,13-35,2,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,9-24.5,abaxially,absent,acumen,acuminate,acute,adaxially,anther,apart,apex,apparently,articulation,axe,base,berry,blade,blue,broadly,brownish,cell,ciliate,clavate,cm,condition,connivent,contracted,corolla,covering,cuneate,diameter,distal,drying,elliptic,especially,exceeding,filament,flower,flowered,forming,fresh,fruit,glabrous,globose,green,greenish,hair,half,herb,highly,interjected,lanceolate,lateral,leaflet,like,lobe,long,make,margin,minute,mm,moderately,monochasium,mottled,mucilaginous,multicellular,near,oblique,obovate,obtuse,odd-pinnate,often,orbicular,ovate,ovoid,pedicel,peduncle,perfect,petiole,petiolulate,petiolule,plant,pubescent,purple,rarely,ripe,rosette,rounded,scale-like,seed,sessile,short,single,size,slightly,sometimes,spaced,stamen,stem,stigma,straight,streaked,style,subglabrous,terminal,testal,thick,tinged,tip,truncate,tube,typically,unbranched,unwinged,wall,wet,white,whitish,wide,x	'',0-1,4-6,5-merou,``,absen,ag,along,alyx,capitat,chartaceous,clearly,decurrent,digestion,discussion,distinct,dorsally,eaf,edge,eed,end,enzyme,erec,except,extra,flat,folded,geminat,glabrou,greatly,green-white,hair-like,homostylous,honeycomb-shaped,larger,lengthening,living,lower,membranous,midrib,minutely,nflorescence,one,orolla,pair,placed,plurifoliate,pore,poricidal,proximal,puberulent,reduced,removed,rotate,ruit,see,seudostipule,slit,species,specimen,ste,stolo,subequal,tall,tamen,tem,throughout,tri-,tuber,unequal,unit,vary,yellow,ympodial	'extra,'hair-like,appearance,arrangement,bark,border,branch,bud,calyx,capitate,characteristic,colour,corrugation,erect,exertion,form,fruiting,giving,glabrousnes,growth,height,history,inflorescence,leaf,length,life,lobing,mentioned,midpoint,new,number,ovary,per,prickle,primary,pseudostipule,ray,shape,surface,texture,thicknes,type,variation,vein,width
3	wfo-0001025697	success	181	167	121	60	46	0.669	-9,0-14,0.15-0.75,0.6-3.5,1-1.7,1-2,1-3,1.5-1.8,1.7-8.6,10-26,2-10.5,2-2.6,2-6,25-35,3-10,3-4,3-5,3-6,3.3-11,4-7.5,6.5-13.5,abaxially,acumen,acuminate,acute,adaxially,anther,apart,apex,apparently,articulated,asymmetric,attenuate,axe,axillary,base,basiscopic,berry,blue,brownish,bud,cell,clavate,cm,condition,connivent,coriaceous,corolla,covering,dark,decurrent,deep,diameter,distal,drying,elliptic,exceeding,filament,flower,forked,fresh,fruit,generally,glabrescent,glabrous,globose,green,greenish,hair,half,herb,high,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,linear,lobe,long,make,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,perfect,petiole,plant,purple,rachi,ripe,rounded,seed,sessile,short,side,size,slightly,stamen,stigma,straight,stripe,style,subtending,terminal,testal,thick,tissue,tube,unwinged,usually,wall,wet,whitish,x	0.8-2,2-4,5-merou,5.5-11.5,adaxiall,ag,alyx,blade,capitat,decreasing,digestion,dorsally,eaf,edge,eed,enzyme,erec,flat,folded,geminat,glabrou,green-white,hair-like,hal,homostylous,honeycomb-shaped,lengthening,living,lower,nflorescence,orbicular,orolla,pair,pentagonal,petiolulate,plurifoliate,pore,poricidal,removed,rotate,ruit,seudostipule,slit,spaced,specimen,subequal,subglabrou,tall,tamen,tem,throughout,tip,toward,tri-,typically,unit,vary,wood,yellow,ympodial	'hair-like,appearance,arrangement,bark,border,branch,calyx,capitate,characteristic,colour,corrugation,erect,exertion,form,fruiting,geminate,giving,glabrousnes,growth,height,history,inflorescence,length,life,lobing,margin,mentioned,midpoint,new,number,ovary,per,prickle,primary,pseudostipule,ray,shape,stem,surface,texture,thicknes,type,variation,vein,width,woody
4	wfo-0001025699	exception_thrown	181	0	0	181	0	0.0		.2,.5,0.5,1,1-1.5,1-2,1-2.5,1-3,1.5,1.5-2,1/3,10,15-20,2,2-2.5,2-6,2cm,3-15,3-3.5,3-5.5,3-8,4-5,499,5-8,5-winged,5.5-14,8-9,abaxially,absent,acute,adaxially,age,almost,anther,anthesi,apart,apex,apparently,appearing,articulating,attenuate,bark,base,becoming,berry,branching,brown,c.,calyx,campanulate,capitate,cm,completely,conical,conspicuously,continuing,corolla,corrugate,crystal,cup-shaped,dark,darker,deltate,densely,diameter,difoliate,dorsal,dry,drying,eaf,eed,ellipsoid,elliptic,entire,erect,exerted,face,fide,filament,flower,free,fruiting,glabrou,glabrous,globose,green,grey-brown,growth,immature,included,inclusion,inflorescenc,inflorescence,irregularly,lanceolate,leaf,leaf-opposed,leafy,leaving,lengthening,less,lobe,lobed,lower,margin,markedly,midrib,minutely,mm,narrowly,new,nflorescence,nodding,older,one,onto,ovary,oxalate,pair,pale,papillat,papillose,pedicel,peduncle,peg,penden,per,perfect,petiole,plurifoliate,pore,poricidal,portion,primary,red,reddish,reniform,reticulate-pitted,rounded,rounded-sagittate,ruit,sand,scar,shoot,short,simple,slightly,slit,small,somewhat,spaced,stearn,stem,stigma,straight,strongly,style,surface,tangled,thickened,time,tip,tree,triangular,trichome,tube,ud,unit,vein,way,white,white-spotted,wide,wing,winged,woody,x,yellow,ympodial,young,½	
5	wfo-0001025700	success	189	168	123	66	45	0.651	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1-3,1.1-2.3,1.5-2,10-40,10.5-12,15-40,2-12,2-7,2.5-4,3-4,3-8,3.5-10.5,3.7-8.6,5-15,5-20,5.5-18,5.5-8,9-31,abaxially,acumen,acuminate,acute,adaxially,anther,apex,apiculate,apparently,articulated,asymmetric,attenuate,axe,axillary,basal,base,basiscopic,berry,blade,brownish,bud,cell,clavate,cm,condition,connivent,corolla,covering,diameter,distal,dot,drying,elliptic,exceeding,filament,flower,forked,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,half,herb,high,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,linear,lobe,long,make,medium,mm,mucilaginous,narrowly,odd-pinnate,orbicular,ovate,ovoid,pedicel,peduncle,perfect,petiole,petiolulate,plant,purple,ripe,rounded,seed,sessile,short,side,size,sometimes,stamen,stigma,straight,style,subtending,terminal,testal,thick,tissue,tube,unwinged,usually,wall,wet,white,whitish,winged,x	0.8-4,1-2,4-5,5-merou,5.3-17.5,acuman,ag,alyx,capitat,chartaceous,considerably,decrease,decreasing,digestion,dorsally,eaf,edge,eed,enzyme,erec,except,flat,folded,geminat,generally,glabrou,green-white,hair-like,hal,homostylous,honeycomb-shaped,larger,lengthening,living,lower,nflorescence,orolla,pair,par,pentagonal,plurifoliate,pore,poricidal,proximal,removed,rotate-pentagonal,ruit,seudostipule,slightly,slit,specimen,subequal,subglabrou,tall,tamen,tem,throughout,tip,toward,tri-,typically,unit,vary,whose,yellow,ympodial	'hair-like,appearance,arrangement,bark,border,branch,calyx,capitate,characteristic,colour,corrugation,erect,exertion,form,fruiting,giving,glabrousnes,growth,height,history,inflorescence,length,life,lobing,margin,mentioned,midpoint,new,number,ovary,part,per,prickle,primary,pseudostipule,ray,shape,stem,surface,texture,thicknes,type,variation,vein,width
6	wfo-0001025704	success	248	190	154	94	36	0.621	-10,-2,/6,0,0-2,0-5,0.1,0.1-0.5,0.15-0.8,1,1-4,1-6,1.2-3,1.5-2,1.8-3.5,1/4-3/4,2,2-10,2-3,2-7,2.5-4.5,3-10,3-15,3-6,5-20,5-merous,6-12,8-12,8-15,8-17,abaxial,acute,adaxial,andromonoecious,anther,apart,apex,apically,apiculate,auriculate,bark,base,blade,broad-deltate,calyx,chartaceous,cm,cordate,covering,curved,deltate,densely,diameter,discolorous,distal,distance,drying,elliptic,elongating,erect,extending,filament,flattened,flower,fruit,fruiting,glabrescent,glabrous,gray,half,hermaphrodite,heterostylous,lateral,leaf,length,less,lobe,lobed,lobing,long,long-styled,longer,lower,lowermost,margin,mature,midpoint,midvein,mm,moderately,multangulate,obtuse,occasionally,often,older,orange,orange-brown,ovate,pair,pedicel,peduncle,pendulous,per,petiole,plant,porrect,prickle,prickly,primary,prominent,ray,red-brown,red-green,reflexed,rounded,scar,secondary,sessile,shape,short-styled,shorter,shrub,side,small,sometimes,spaced,sparsely,stalk,stalked,stellate-pubescent,stem,straight,strongly,style,surface,terete,terminal,tertiary,time,tree,trichome,truncate,tube,unarmed,unit,variously,vein,venation,visible,white-gray,wide,woody,yellow-green,young	-3,-5,0-100,0-3.5,0.1-0.3,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1.5-3.2,1.5-4.5,1/2-4/5,1/5,2-4.5,2-5,2.7-4,3-5,4-12,4-5,4.5-6.5,6-15,abaxially,age,almost,alyx,apar,apparently,articulated,axe,ba,berry,branched,brow,cell,connivent,development,eaf,eed,ellipsoid,end,equal,evenly,flattened-reniform,free,green,green-yellow,infructescence,irregular,maturity,mauve,near,nflorescence,one,open,orolla,oung,outline,pale,pericarp,pit,plurifoliat,poricidal,portion,prickl,raised,rarely,recurved,retaining,round,ruit,slender,smooth,somewhat,spherical,spreading,staminat,stellate,stellate-pubescen,stout,tamen,tapering,throughout,tip,unbranched,upper,vary,warty,way,white,widening,yellow,yellowish,ympodial,×	appearance,arrangement,border,branch,brown,bud,characteristic,colour,corolla,corrugation,exertion,form,giving,glabrousnes,growth,height,history,inflorescence,interjected,leaflet,life,new,number,ovary,plurifoliate,pseudostipule,seed,size,staminate,stigma,sympodial,texture,thicknes,type,variation,width
7	wfo-0001025729	success	177	198	152	25	46	0.859	-20,.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.5-2,1.75,2,2-3.5,20,3-6,4-5,4-8,5-50-flowered,6-8,7-8,9-17,abaxial,abaxially,abrupt,acute,adaxially,along,anther,anthesi,apex,apical,apiculate,axil,bark,basal,base,berry,black,blackish,branched,bright,bristly,bud,calyx,cm,corolla,covered,covering,cyathiform,dark,deflexed,deltoid,densely,denser,dia,differing,difoliate,dirty,drying,elliptic,enclosed,expanded,f,filament,flattened-reniform,fleshy,free,fruiting,furcate,gently,glabrous,globose,green,greenish-yellow,greyish-brown,incrassate,lamina,lateral,leaf,like,live,lobe,lobed,long,main,mainly,major,margin,member,middle,minor,minute,minutely,mm,oblique,occasionally,older,one,opposite,ovary,overlapping,pair,pale,papillose,partially,pedicel,petiole,pit,pitted,plant,portion,prominent,pubescent,quite,raised,reflexed,ripening,rounded,scar,shiny,short,simple,size,sparsely,stem,stigma,stout,straight,style,surface,tall,tapering,terminal,tip,touching,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,way,white,widening,widest,woody,x,yellow,young	apar,appearing,diam,eaf,edicel,eed,geminat,glabrou,growing,lat,lon,lower,m.,nflorescence,often,overtopping,papillo,pore,poricidal,ruit,shaped,tear-drop,tub,ud,ympodial	..,4-20,apart,appearance,arrangement,border,branch,characteristic,colour,corrugation,diameter,distal,exertion,form,fruit,geminate,giving,glabrousnes,growth,height,history,inflorescence,interjected,late,leaflet,length,life,lobing,midpoint,new,null,number,peduncle,per,prickle,primary,pseudostipule,ray,seed,shape,sympodial,texture,thicknes,type,variation,width
8	wfo-0001025749	success	217	194	154	63	40	0.71	-12,.5,/5,0-10,0-5,0.1-0.3,0.2,0.2-1.5,0.3-1.5,0.4-0.7,0.5-0.8,0.5-0.9,0.5-1.3,0.5-3,0.6-4.5,0.8-0.9,1,1-10,1-13,1-2,1-3,1-6,1-8.5,1-9,1.5,1.5-2,1.5-2.5,2-2.5,2.5-6,2/3,3-20,3-5,4-8,5-10,5-20,6-8,abaxially,acute,adaxially,anther,apart,apex,apically,apparently,bark,base,berry,branched,broad-deltate,calyx,cm,cuneate,curved,dark,densely,diameter,distance,drying,dull,erect,extending,filament,filiform,flattened,flattened-reniform,flower,free,fruit,fruiting,gently,glabrescent,glabrous,gray,green-brown,infructescence,lateral,leaf,length,light,lobe,lobed,long,long-ovate,lower,margin,maturity,mauve,midpoint,midvein,mm,moderately,narrow-deltate,narrow-ovate,oblong,obtuse,occasionally,older,one,open,orange-brown,orange-red,orbicular,ovate,pair,pale,pedicel,peduncle,per,petiole,poricidal,porrect,portion,prickle,prickly,primary,procumbent,purple,rarely,ray,recurved,red-brown,reduced,rounded,sessile,shrub,side,sometimes,spaced,sparsely,spherical,spreading,stalk,stalked,stellate-pubescent,stem,straight,straw-yellow,style,surface,tapering,terete,time,tip,trichome,tube,variously,vein,way,white,wide,yellow,yellow-green,yellow-orange,yellowish	-1,0-3,0-6,0-8,0.1,0.1-0.2,0.1-0.4,0.5,1/4-1/3,1/5-1/2,2-10,5-,5-merous,abaxial,acuminat,adaxial,adnate,almost,alyx,apar,articulated,blade,chartaceous,concolorous,difoliate,discolorous,eaf,eed,elongating,equal,geminat,herbaceous,indistinct,lon,longer,magnification,markedly,mature,nflorescence,orange-brow,orolla,oung,pendulous,perfec,pericarp,prickl,ruit,scar,shorter,smooth,stellate,strongly,tamen,tertiary,toward,unit,usually,vary,venation,visible,without,ympodial,½-2/	acuminate,appearance,arrangement,border,branch,bud,characteristic,colour,corolla,corrugation,distal,exertion,form,giving,glabrousnes,growth,height,history,inflorescence,interjected,leaflet,life,lobing,mentioned,new,number,ovary,plant,pseudostipule,seed,shape,size,stigma,terminal,texture,thicknes,type,variation,width,½-2/3
9	wfo-0001025754	success	164	173	122	42	51	0.744	-celled,.5,0.5-1,0.5-1.5,1,1-2,1-3,1-3.5,1.5,1.5-3,1.5-4,10-20,10-35,2-4,2-5-celled,2-7,2-foliate,3-10,3-5,4,4-6,5-12,5-15,abaxially,absent,acuminate,acute,adaxially,anther,apex,asymmetrical,axe,base,berry,beyond,blade,branch,brown,calyx,center,chartaceous,ciliate,cm,connected,cordate,cordiform,decumbent,decurrent,densely,diameter,dm,drying,edge,eglandular,entire,equal,exserted,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,leaving,like,linear-lanceolate,lobe,long,main,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,notch,oblong,often,palmately,parallel,pedicel,peduncle,per,petiole,placenta,pubescent,rachi,radiating,raised,ridge,running,semitransparent,shallow,short,slightly,small,solitary,sometimes,sparsely,stamen,stem,stigma,straight,style,surface,swollen,triangular,truncate,tube,unbranched,unit,upright,vein,white,woody,x,yellow	0.1-0.2,3-6,abundant,adaxiall,along,barely,dehiscing,denser,dried,eaf,eed,emarginat,erect,explosively,flat,geminat,glandular,held,interpetalar,lower,lying,material,maturit,mesocarp,mixed,nfloresence,orolla,penden,pressure,probably,pubescen,rotate,ruit,tal,tamen,tem,tissue,vary,visible,watery,wid,ympodial	appearance,arrangement,bark,border,bud,characteristic,colour,corolla,corrugation,distal,emarginate,exertion,form,fruiting,geminate,giving,glabrousnes,growth,height,history,inflorescence,infloresence,interjected,lateral,leaflet,length,life,lobing,midpoint,new,null,number,ovary,pendent,plant,prickle,primary,pseudostipule,ray,seed,shape,size,sympodial,tall,terminal,texture,thicknes,type,variation,wide,width
