	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025652	success	156	76	24	132	52	0.154	anther,apex,base,calyx,corolla,filament,fruit,growth,leaf,lower,margin,pale,pedicel,petiole,pore,shape,shrub,small,stem,surface,tan,tree,unit,white	.3,.5,0.5-1,1,1-1.5,1.5-2,10-20,15-17,15-19,2-3,2-5,2-6,20-50,3-3.5,3-5,3-5-flowered,4,4-6,4-7,9-11,abruptly,acuminate,acute,anthesi,appearing,bark,bilobed,blade,broad,campanulate,closed,closely,cm,completely,connate,decurrent,densely,dia,differing,difoliate,dry,eaf,edicel,eed,elliptic,emerge,envelope,fleshy,flower,free,furcate,geminat,glabrate,glabrous,green,greyi,greyish,growing,irregular,lateral,like,live,lobe,lobed,lon,long,main,major,matte,middle,minor,minute,minutely,mm,narrowing,nearly,new,nflorescence,occasionally,older,one,onto,opposite,ovary,overlappin,ovoid,ovoid-reniform,pair,paler,papillae,papillo,papillose,parallel,pinkish-grey,pitted,planar,plant,poricidal,portion,rather,red-papillose,ry,scar,shaped,shiny,simple,size,soon,spaced,specimen,stigma,straight,strongly,style,tall,tapering,tear,tear-drop,thick,thicker,tightly,tip,tube,ud,vein,wider,widest,wing,winged,x,ympodial,young	appressed,articulation,bract,branching,breeding,broad-based,cell,colour,connective,form,fruiting,hair,heteromorphism,inflated,inflorescence,insertion,interjected,interpetalar,leaflet,length,marking,mature,modification,needle-like,none,odour,orientation,paired,pattern,placement,position,prickle,pseudostipule,rhizome,scale,smell,spot,staman,stellate,stone,structure,symmetry,sympodial,system,texture,tissue,trichome,tuber,type,vegetative,xylopodia,zygomorphy
1	wfo-0001025657	exception_thrown	239	0	0	239	0	0.0		-2,/3,0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.3-2,1.5-1.8,1.7-1.9,12x,2-10,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,2/3,25-60,3-4,3-4.8,3-6,3.2-6,4-4.4,4-4.5,4-7,5-14,5-16,6-12,6-8,6.5-10,7-27,7-9,7-9.5,8-10.5,8.3-12,abaxially,accrescent,acute,adaxially,ag,also,anther,anthesi,apart,apex,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,base,berry,blade,bluish,blunt-tipped,branch,branched,broadly,brown,bud,calyx,capitat,central,chartaceous,closely,cm,conical,cordate,corolla,cylindrical,dark,deltoid,dendritic-multangulat,dendritic-multangulate,dense,densely,diameter,directed,distally,dried,due,eaf,earl,edge,eed,elliptic,entire,especially,evident,exerted,expanded,exserted,farinose,few-rayed,filament,fleshy,flower,free,fruit,fruiting,glabrous,glandula,glandular,granular,green,hair,half,inserted,lanate-pubescent,lanceolate,lateral,leaf,length,lengthening,light,lobe,lobed,long,long-stalked,longitudinal,lower,m.,magnification,main,margin,midrib,minutely,mixed,mm,multangulate,narrowly,nearly,nflorescence,oblong,obtuse,occasional,often,older,open,orbicular,orolla,ovat,ovate,ovate-lanceolate,overlapping,pale,part,parted,partly,pedicel,peduncle,perfect,persistent,persistently,petiole,plurifoliate,pore,poricidal,porrect-stellate,present,pseudo-terminal,pubescence,pubescent,rachi,ray,reportedly,reticulate-punctate,ripe,ruit,scented,semi-ovate,sessile,short,short-,short-stalked,shrub,side,simple,slightly,slit,soft,somewhat,spaced,splitting,stamen,stellate,stellate-pubescent,stem,stigma,stipitate-glandular,stipitate-multangulate,strongly,style,subcampanulate,subcoriaceous,suborbicular,surface,suture,tall,tamen,tan,terete,thick-stalked,thickened,thin-stalked,time,tip,tomentose,tomentose-pubescent,tomentum,transparent,tree,tube,two-third,ud,unarme,unarmed,unit,upper,usually,vary,vein,velutinous-pubescent,way,weakly,white,wide,x,yellow,yellowish,ympodial,young	
2	wfo-0001025669	success	216	131	77	139	54	0.356	0-7,0.1-0.3,1,1-2,2-3,2.2-6.5,absent,anther,apex,articulation,base,berry,blue,cell,chartaceous,cm,corolla,cuneate,distal,end,filament,forming,fruit,glabrous,globose,green,hair,half,herb,homostylous,interjected,lanceolate,leaflet,lengthening,long,lower,margin,membranous,minute,mm,moderately,monochasium,multicellular,near,oblique,odd-pinnate,one,ovoid,pedicel,petiole,placed,plant,plurifoliate,pore,poricidal,pubescent,purple,rarely,rosette,rotate,scale-like,short,slightly,slit,sometimes,stem,streaked,subglabrous,tall,tinged,tip,tri-,tuber,typically,unbranched,unit,white	'',.5,0-1,0-5,0.8-2.4,1-10,1-2.2,1-3,1-4,1.3-4.2,1.4-2.5,1.6-4.4,13-35,2,2-4,2.2-6,2.4-7,3-5,3-7,4-6,5-merou,9-24.5,``,abaxially,absen,acumen,acuminate,acute,adaxially,ag,along,alyx,apart,apparently,axe,blade,broadly,brownish,capitat,ciliate,clavate,clearly,condition,connivent,contracted,covering,decurrent,diameter,digestion,discussion,distinct,dorsally,drying,eaf,edge,eed,elliptic,enzyme,erec,especially,exceeding,except,extra,flat,flower,flowered,folded,fresh,geminat,glabrou,greatly,green-white,greenish,hair-like,highly,honeycomb-shaped,larger,lateral,like,living,lobe,make,midrib,minutely,mottled,mucilaginous,nflorescence,obovate,obtuse,often,orbicular,orolla,ovate,pair,peduncle,perfect,petiolulate,petiolule,proximal,puberulent,reduced,removed,ripe,rounded,ruit,see,seed,sessile,seudostipule,single,size,spaced,species,specimen,stamen,ste,stigma,stolo,straight,style,subequal,tamen,tem,terminal,testal,thick,throughout,truncate,tube,unequal,unwinged,vary,wall,wet,whitish,wide,x,yellow,ympodial	age,appressed,bract,branching,breeding,broad-based,calyx,colour,connective,erect,form,fruiting,geminate,growth,heteromorphism,inflated,inflorescence,insertion,interpetalar,leaf,length,marking,mature,modification,needle-like,null,odour,orientation,paired,pattern,placement,position,prickle,pseudostipule,rhizome,scale,shape,smell,spot,staman,stolon,stone,structure,surface,symmetry,sympodial,system,texture,tissue,trichome,type,vegetative,xylopodia,zygomorphy
3	wfo-0001025697	success	181	114	60	121	54	0.331	0-14,1-1.7,1-2,3-6,anther,apex,asymmetric,attenuate,axillary,base,basiscopic,berry,blue,bud,cell,cm,coriaceous,corolla,deep,distal,filament,forked,fruit,glabrous,globose,green,hair,half,herb,high,homostylous,interjected,lanceolate,leaf,leaflet,lilac,long,lower,medium,mm,odd-pinnate,pedicel,pentagonal,petiole,plurifoliate,pore,poricidal,purple,ripe,rotate,rounded,sessile,side,stripe,subtending,terminal,tip,tissue,tri-,unit	-9,0.15-0.75,0.6-3.5,0.8-2,1-3,1.5-1.8,1.7-8.6,10-26,2-10.5,2-2.6,2-4,2-6,25-35,3-10,3-4,3-5,3.3-11,4-7.5,5-merou,5.5-11.5,6.5-13.5,abaxially,acumen,acuminate,acute,adaxiall,adaxially,ag,alyx,apart,apparently,articulated,axe,blade,brownish,capitat,clavate,condition,connivent,covering,dark,decreasing,decurrent,diameter,digestion,dorsally,drying,eaf,edge,eed,elliptic,enzyme,erec,exceeding,flat,flower,folded,fresh,geminat,generally,glabrescent,glabrou,green-white,greenish,hair-like,hal,honeycomb-shaped,lateral,lengthening,light,linear,living,lobe,make,mucilaginous,nflorescence,orbicular,orolla,ovate,ovoid,pair,peduncle,perfect,petiolulate,plant,rachi,removed,ruit,seed,seudostipule,short,size,slightly,slit,spaced,specimen,stamen,stigma,straight,style,subequal,subglabrou,tall,tamen,tem,testal,thick,throughout,toward,tube,typically,unwinged,usually,vary,wall,wet,whitish,wood,x,yellow,ympodial	appressed,articulation,bract,branching,breeding,broad-based,calyx,colour,connective,form,fruiting,geminate,growth,heteromorphism,inflated,inflorescence,insertion,interpetalar,length,margin,marking,mature,modification,needle-like,null,odour,orientation,paired,pattern,placement,position,prickle,pseudostipule,rhizome,scale,shape,smell,spot,staman,stem,stone,structure,subglabrous,surface,symmetry,sympodial,system,texture,trichome,tuber,type,vegetative,xylopodia,zygomorphy
4	wfo-0001025699	exception_thrown	181	0	0	181	0	0.0		.2,.5,0.5,1,1-1.5,1-2,1-2.5,1-3,1.5,1.5-2,1/3,10,15-20,2,2-2.5,2-6,2cm,3-15,3-3.5,3-5.5,3-8,4-5,499,5-8,5-winged,5.5-14,8-9,abaxially,absent,acute,adaxially,age,almost,anther,anthesi,apart,apex,apparently,appearing,articulating,attenuate,bark,base,becoming,berry,branching,brown,c.,calyx,campanulate,capitate,cm,completely,conical,conspicuously,continuing,corolla,corrugate,crystal,cup-shaped,dark,darker,deltate,densely,diameter,difoliate,dorsal,dry,drying,eaf,eed,ellipsoid,elliptic,entire,erect,exerted,face,fide,filament,flower,free,fruiting,glabrou,glabrous,globose,green,grey-brown,growth,immature,included,inclusion,inflorescenc,inflorescence,irregularly,lanceolate,leaf,leaf-opposed,leafy,leaving,lengthening,less,lobe,lobed,lower,margin,markedly,midrib,minutely,mm,narrowly,new,nflorescence,nodding,older,one,onto,ovary,oxalate,pair,pale,papillat,papillose,pedicel,peduncle,peg,penden,per,perfect,petiole,plurifoliate,pore,poricidal,portion,primary,red,reddish,reniform,reticulate-pitted,rounded,rounded-sagittate,ruit,sand,scar,shoot,short,simple,slightly,slit,small,somewhat,spaced,stearn,stem,stigma,straight,strongly,style,surface,tangled,thickened,time,tip,tree,triangular,trichome,tube,ud,unit,vein,way,white,white-spotted,wide,wing,winged,woody,x,yellow,ympodial,young,½	
5	wfo-0001025700	success	189	123	68	121	55	0.36	0-16,0.30-2.0,0.5-2,0.8-2.6,5-15,5.5-18,9-31,abaxially,adaxially,anther,apex,asymmetric,attenuate,base,basiscopic,berry,blade,cell,chartaceous,cm,corolla,distal,dot,filament,forked,fruit,glabrescent,glabrous,globose,green,hair,half,herb,high,homostylous,interjected,lanceolate,lateral,leaf,leaflet,lilac,long,lower,medium,mm,odd-pinnate,pedicel,pentagonal,petiole,petiolulate,plurifoliate,pore,poricidal,purple,ripe,rotate-pentagonal,rounded,short,side,sometimes,tall,terminal,tip,tissue,tri-,unit,white,x	0.7-2.7,0.8-4,1-2,1-3,1.1-2.3,1.5-2,10-40,10.5-12,15-40,2-12,2-7,2.5-4,3-4,3-8,3.5-10.5,3.7-8.6,4-5,5-20,5-merou,5.3-17.5,5.5-8,acuman,acumen,acuminate,acute,ag,alyx,apiculate,apparently,articulated,axe,axillary,basal,brownish,bud,capitat,clavate,condition,connivent,considerably,covering,decrease,decreasing,diameter,digestion,dorsally,drying,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,flat,flower,folded,fresh,geminat,generally,glabrou,green-white,greenish,hair-like,hal,honeycomb-shaped,larger,lengthening,light,linear,living,lobe,make,mucilaginous,narrowly,nflorescence,orbicular,orolla,ovate,ovoid,pair,par,peduncle,perfect,plant,proximal,removed,ruit,seed,sessile,seudostipule,size,slightly,slit,specimen,stamen,stigma,straight,style,subequal,subglabrou,subtending,tamen,tem,testal,thick,throughout,toward,tube,typically,unwinged,usually,vary,wall,wet,whitish,whose,winged,yellow,ympodial	appressed,articulation,bract,branching,breeding,broad-based,calyx,colour,connective,erect,form,fruiting,geminate,growth,heteromorphism,inflated,inflorescence,insertion,interpetalar,length,margin,marking,mature,modification,needle-like,null,odour,orientation,paired,pattern,placement,position,prickle,pseudostipule,rhizome,scale,shape,smell,spot,staman,stem,stone,structure,subglabrous,surface,symmetry,sympodial,system,texture,trichome,tuber,type,vegetative,xylopodia,zygomorphy
6	wfo-0001025704	success	248	185	135	113	50	0.544	-10,/6,0,0-2,0.1,0.15-0.8,0.5-1.5,1,1.2-3,1.5-2,1.5-4.5,1/4-3/4,2-3,3-10,3-6,5-20,6-12,8-12,8-15,8-17,abaxial,adaxial,andromonoecious,anther,apart,apex,apically,apparently,auriculate,base,berry,blade,branched,broad-deltate,calyx,cell,chartaceous,cm,cordate,covering,curved,densely,discolorous,distance,drying,ellipsoid,elliptic,elongating,erect,extending,filament,flattened,free,fruit,fruiting,glabrescent,glabrous,green-yellow,half,heterostylous,lateral,leaf,length,less,lobe,lobed,lobing,long,longer,lower,margin,mature,maturity,mauve,midpoint,midvein,mm,moderately,multangulate,obtuse,occasionally,often,orange,orange-brown,ovate,pair,pedicel,petiole,poricidal,porrect,portion,prickle,primary,prominent,rarely,ray,red-green,reflexed,rounded,secondary,sessile,shape,shrub,side,small,sometimes,spaced,sparsely,spherical,stalk,stalked,stellate,stellate-pubescent,stem,straight,strongly,surface,terminal,tertiary,time,tip,tree,trichome,truncate,tube,unbranched,unit,vein,venation,visible,white,white-gray,wide,yellow,yellow-green	-2,-3,-5,0-100,0-3.5,0-5,0.1-0.3,0.1-0.5,0.3-0.8,0.7-1,1-3.5,1-4,1-6,1.5-3.2,1.8-3.5,1/2-4/5,1/5,2,2-10,2-4.5,2-5,2-7,2.5-4.5,2.7-4,3-15,3-5,4-12,4-5,4.5-6.5,5-merous,6-15,abaxially,acute,age,almost,alyx,apar,apiculate,articulated,axe,ba,bark,brow,connivent,deltate,development,diameter,distal,eaf,eed,end,equal,evenly,flattened-reniform,flower,gray,green,hermaphrodite,infructescence,irregular,long-styled,lowermost,near,nflorescence,older,one,open,orolla,oung,outline,pale,peduncle,pendulous,per,pericarp,pit,plant,plurifoliat,prickl,prickly,raised,recurved,red-brown,retaining,round,ruit,scar,short-styled,shorter,slender,smooth,somewhat,spreading,staminat,stellate-pubescen,stout,style,tamen,tapering,terete,throughout,unarmed,upper,variously,vary,warty,way,widening,woody,yellowish,ympodial,young,×	appressed,articulation,bract,branching,breeding,broad-based,colour,connective,corolla,form,growth,hair,heteromorphism,inflated,inflorescence,insertion,interjected,interpetalar,leaflet,marking,mentioned,modification,needle-like,odour,orientation,paired,pattern,placement,plurifoliate,pore,position,present,pseudostipule,rhizome,scale,smell,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,tuber,type,vegetative,xylopodia,zygomorphy
7	wfo-0001025729	exception_thrown	177	0	0	177	0	0.0		-20,.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.5-2,1.75,2,2-3.5,20,3-6,4-5,4-8,5-50-flowered,6-8,7-8,9-17,abaxial,abaxially,abrupt,acute,adaxially,along,anther,anthesi,apar,apex,apical,apiculate,appearing,axil,bark,basal,base,berry,black,blackish,branched,bright,bristly,bud,calyx,cm,corolla,covered,covering,cyathiform,dark,deflexed,deltoid,densely,denser,dia,diam,differing,difoliate,dirty,drying,eaf,edicel,eed,elliptic,enclosed,expanded,f,filament,flattened-reniform,fleshy,free,fruiting,furcate,geminat,gently,glabrou,glabrous,globose,green,greenish-yellow,greyish-brown,growing,incrassate,lamina,lat,lateral,leaf,like,live,lobe,lobed,lon,long,lower,m.,main,mainly,major,margin,member,middle,minor,minute,minutely,mm,nflorescence,oblique,occasionally,often,older,one,opposite,ovary,overlapping,overtopping,pair,pale,papillo,papillose,partially,pedicel,petiole,pit,pitted,plant,pore,poricidal,portion,prominent,pubescent,quite,raised,reflexed,ripening,rounded,ruit,scar,shaped,shiny,short,simple,size,sparsely,stem,stigma,stout,straight,style,surface,tall,tapering,tear-drop,terminal,tip,touching,tree,treelet,trichome,tub,tube,tuft,ud,uniseriate,unit,usually,vein,way,white,widening,widest,woody,x,yellow,ympodial,young	
8	wfo-0001025749	success	217	131	78	139	53	0.359	-12,/5,0-10,0.2-1.5,0.5-0.8,0.5-3,1-3,1/4-1/3,2.5-6,3-20,5-10,adnate,anther,apart,apex,apparently,base,berry,blade,calyx,chartaceous,cm,cuneate,difoliate,elongating,erect,filament,flattened,fruit,fruiting,glabrous,lateral,leaf,length,lobe,lobed,long,lower,margin,markedly,mature,maturity,mauve,midvein,mm,moderately,narrow-deltate,orange-red,pedicel,petiole,poricidal,prickle,prickly,procumbent,purple,rounded,shrub,side,sometimes,spaced,sparsely,spherical,spreading,stellate,stellate-pubescent,stem,straight,straw-yellow,surface,tapering,tip,trichome,unit,usually,way,white,wide,yellow-orange	-1,.5,0-3,0-5,0-6,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.3-1.5,0.4-0.7,0.5,0.5-0.9,0.5-1.3,0.6-4.5,0.8-0.9,1,1-10,1-13,1-2,1-6,1-8.5,1-9,1.5,1.5-2,1.5-2.5,1/5-1/2,2-10,2-2.5,2/3,3-5,4-8,5-,5-20,5-merous,6-8,abaxial,abaxially,acuminat,acute,adaxial,adaxially,almost,alyx,apar,apically,articulated,bark,branched,broad-deltate,concolorous,curved,dark,densely,diameter,discolorous,distance,drying,dull,eaf,eed,equal,extending,filiform,flattened-reniform,flower,free,geminat,gently,glabrescent,gray,green-brown,herbaceous,indistinct,infructescence,light,lon,long-ovate,longer,magnification,midpoint,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orange-brown,orbicular,orolla,oung,ovate,pair,pale,peduncle,pendulous,per,perfec,pericarp,porrect,portion,prickl,primary,rarely,ray,recurved,red-brown,reduced,ruit,scar,sessile,shorter,smooth,stalk,stalked,strongly,style,tamen,terete,tertiary,time,toward,tube,variously,vary,vein,venation,visible,without,yellow,yellow-green,yellowish,ympodial,½-2/	appressed,articulation,bract,branching,breeding,broad-based,cell,colour,connective,corolla,form,geminate,growth,hair,heteromorphism,inflated,inflorescence,insertion,interjected,interpetalar,leaflet,marking,mentioned,modification,needle-like,odour,orientation,paired,pattern,perfect,placement,pore,position,present,pseudostipule,rhizome,scale,shape,smell,spot,staman,stone,structure,symmetry,sympodial,system,texture,tissue,tuber,type,vegetative,xylopodia,zygomorphy
9	wfo-0001025754	exception_thrown	164	0	0	164	0	0.0		-celled,.5,0.1-0.2,0.5-1,0.5-1.5,1,1-2,1-3,1-3.5,1.5,1.5-3,1.5-4,10-20,10-35,2-4,2-5-celled,2-7,2-foliate,3-10,3-5,3-6,4,4-6,5-12,5-15,abaxially,absent,abundant,acuminate,acute,adaxiall,adaxially,along,anther,apex,asymmetrical,axe,barely,base,berry,beyond,blade,branch,brown,calyx,center,chartaceous,ciliate,cm,connected,cordate,cordiform,decumbent,decurrent,dehiscing,densely,denser,diameter,dm,dried,drying,eaf,edge,eed,eglandular,emarginat,entire,equal,erect,explosively,exserted,filament,fine,flat,flower,fruit,geminat,glabrous,glandular,globose,hair,held,herb,immature,interpetalar,leaf,leaving,like,linear-lanceolate,lobe,long,lower,lying,main,margin,material,maturing,maturit,membranaceous,mesocarp,mixed,mm,moderately,much-branched,nearly,nfloresence,notch,oblong,often,orolla,palmately,parallel,pedicel,peduncle,penden,per,petiole,placenta,pressure,probably,pubescen,pubescent,rachi,radiating,raised,ridge,rotate,ruit,running,semitransparent,shallow,short,slightly,small,solitary,sometimes,sparsely,stamen,stem,stigma,straight,style,surface,swollen,tal,tamen,tem,tissue,triangular,truncate,tube,unbranched,unit,upright,vary,vein,visible,watery,white,wid,woody,x,yellow,ympodial	
