	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025636	success	208	123	91	117	32	0.438	0.1,0.1-0.3,1-2,1-2.2,1-3.5,1-4,1-5.5,1.4-3.5,1.7-9.2,1.8,10-45,2-4,2.5-6,6.5-10,9.5-29.5,abaxially,acuminate,acute,adaxially,along,anther,apex,base,blade,blue,broadly,brownish,chartaceous,clavate,cm,condition,contracted,corolla,cuneate,diameter,distal,drying,elliptic,especially,fresh,fruit,glabrous,globose,green,greenish,hair,half,herb,highly,lanceolate,like,lobe,long,longer,margin,membranous,midrib,minutely,mm,moderately,mottled,near,oblique,obtuse,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,plant,puberulent,pubescent,purple,ripe,rotate,rotate-pentagonal,seed,sessile,size,slightly,sometimes,stem,stigma,style,subglabrous,tube,whitish,wide,x,yellow	0-2,0-5,0.6-2.8,1,1-10,1-3,1-5,1.1-6.1,1.7-5.2,2,2.6-8.3,3-5,3-6,5-merou,absent,acumen,ag,alyx,apart,apparently,articulated,axe,berry,capitat,cell,ciliate,clearly,connivent,covering,decurrent,digestion,dorsally,eaf,edge,eed,end,enzyme,exceeding,except,filament,flat,flower,folded,geminat,generally,glabrou,greatly,green-white,hair-like,hal,high,homostylous,honeycomb-shaped,interjected,larger,lateral,leaflet,lengthening,living,lower,make,minute,mucilaginous,multicellular,nflorescence,obovate,often,orbicular,orne,orolla,pair,perfect,petiolulate,petiolule,plurifoliate,pore,poricidal,proximal,reduced,removed,rosette-forming,rounded,ruit,scale-like,semierec,seudostipule,short,singly,slit,spaced,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,terminal,testal,thick,throughout,tip,tri-,truncate,tuber,typically,unequal,unforked,unit,unwinged,uppermost,vary,wall,wet,ympodial	adhesion,arrangement,calyx,capitate,climate,colour,form,glandular,growth,height,history,inflorescence,leaf,length,life,midpoint,na,number,ovary,perennial,position,presence,pubescence,ray,reproduction,rugulose,shape,staman,stellate,stipe,surface,texture
1	wfo-0001025637	success	193	99	68	125	31	0.352	0-0.3,0.2-0.9,1-12,1-2,1-2.5,1.5-5,1.6-2.5,14-38,2-7,2.5-8,2.8-4.2,3-10,3-9,5-7,anther,blue,brownish,clavate,cm,condition,coriaceous,corolla,dark,deep,diameter,dot,drying,elliptic,fresh,fruit,glabrescent,glabrous,globose,green,greenish,herb,lanceolate,leaf,light,lilac,lobe,long,medium,mm,mottled,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,purple,rotate,seed,size,stigma,stripe,style,terminal,tiny,tube,white,whitish,wide,x,yellow	0-27,0.2-0.5,0.3-0.5,0.8-2.6,1-5,1.2-3.5,2-20,2-3,3-4,3-5,4-6,5-merou,abaxially,acumen,acuminate,acute,adaxiall,adaxially,ag,along,alyx,apart,apex,apparently,arranged,articulated,attenuate,axe,axillary,base,bead,berry,blade,bud,capitat,cell,connivent,covering,cuneate,decreasing,decurrent,digestion,distal,dorsally,eaf,edge,eed,enzyme,erec,exceeding,filament,flat,flower,folded,forked,geminat,generally,glabrou,green-white,hair,hair-like,hal,half,high,homostylous,honeycomb-shaped,interjected,lateral,leaflet,lengthening,like,linear,living,lower,make,moniliform,mucilaginous,multiple,necklace,nflorescence,onto,orolla,pair,perfect,petiolulate,petiolule,plurifoliate,pore,poricidal,rachi,removed,ripe,rounded,ruit,secondary,seudostipule,short,slit,sometimes,spaced,specimen,stamen,stolon,straight,subequal,subtending,symmetric,tall,tamen,tem,testal,thick,throughout,tip,toward,tri-,tuber,typically,unit,unwinged,usually,vary,wall,wet,ympodial	abaxial,adaxial,adhesion,arrangement,calyx,capitate,colour,form,growth,height,hermaphroditic,history,inflorescence,length,life,na,number,ovary,perennial,position,presence,pubescence,ray,reproduction,rugulose,shape,staman,stellate,stem,surface,texture
2	wfo-0001025639	success	154	72	54	100	18	0.351	1-2,1-3,10-21,2-3,2-3.5,2.8-3.2,20-35,3-6,3.5-7,4-10,4.5-8.5,5-8,6-12,6-8,broadly,calyx,cm,connate,corolla,dark,diameter,distal,elliptic,forked,globose,green,green-white,half,herbaceous,lateral,leaf,leaflet,long,medium,mm,obovate,odd-pinnate,ovate,ovoid,pedicel,peduncle,perennial,petiole,plant,puberulent,pubescent,rotate,seed,size,terminal,violet,white,wide,yellow	1-4,3-4,3-5,3-6-foliat,5-1.,5-10,8-12,8-9,abaxially,acumen,acuminate,acute,adaxially,apex,apical,apically,articulate,base,belo,branched,cell,covering,cuneate,cyme,dehiscent,dichasial,dichasially,digestion,diminishing,dorsally,eaf,ebracteate,edge,eed,elliptical,emoval,enzyme,exceeding,filament,flat,flower,folded,frequently,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,lobe,lon,long-attenuate,lower,lunat,make,maturing,monochasial,mucilaginous,nflorescence,nther,oblique,often,orolla,pair,pattern,perfect,petiolule,plan,poricidally,present,produced,proximal,rare,reveal,ruit,seudostipule,short,slit,sometimes,stamen,stigma,straight,style,tal,tem,testal,thick,throughou,throughout,top,toward,truncate,tuber-bearing,typically,unit,vary,wall,ympodial,¼	anther,arrangement,colour,form,fruit,growth,height,history,inflorescence,length,life,na,ovary,position,reproduction,shape,stem,texture
3	wfo-0001025642	success	149	66	47	102	19	0.315	0.3-0.4,1,1-2,1-2.5,1-2.7,1-3.2,1.5-2.5,10-20,3-5,3.5-6,4-7.5,4.5-8,5-6,5.5-7,7-11.5,calyx,cm,connate,corolla,diameter,distal,globose,green,green-white,half,herbaceous,lanceolate,lateral,leaf,leaflet,long,mm,odd-pinnate,ovoid,pedicel,peduncle,perennial,petiole,plant,puberulent,seed,size,stellate,terminal,throughout,wide,yellow	1-3,1-4,2-10,2-3,3,3-6-foliat,8-13,9-12,abaxially,absen,absent,acumen,acuminate,acute,adaxially,apex,apical,apically,apiculate,articulate,attenuate,base,branched,cell,covering,cyme,dehiscent,dichasial,dichasially,digestion,diminishing,dorsally,eaf,ebracteate,edge,eed,elliptic,elliptic-lanceolate,emoval,enzyme,exceeding,filament,flat,flower,folded,forked,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,lanceolat,living,lobe,lon,lower,lunate,make,maturing,monochasial,mucilaginous,nflorescence,nther,oblique,obtuse,often,orolla,pair,pattern,perfect,plan,poricidally,present,proximal,reveal,ruit,sessile,seudostipule,short,slit,specimen,stamen,stigma,straight,style,tal,tem,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,without,ympodial,¼	anther,arrangement,colour,form,fruit,growth,height,history,inflorescence,length,life,na,ovary,position,reproduction,shape,stem,texture,white
4	wfo-0001025644	success	204	114	91	113	23	0.446	0-5,0.8-1.5,1-2,1.3-2.1,10-11,12-28,2-3,2.5-11,2.5-6,25-50,3-10,3-5,3.3-8.2,4-19,4-6,6.5-13,abaxially,adaxially,almost,along,anther,attenuate,axillary,blue,broadly,brownish,bud,chartaceous,ciliate,clavate,cm,condition,corolla,denticulate,diameter,drying,elliptic,especially,finely,fresh,fruit,glabrous,globose,green,greenish,hair,herb,interjected,invested,lanceolate,leaflet,like,lobe,long,margin,membranous,midrib,minutely,mm,mottled,multicellular,non-glandular,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,puberulent,pubescent,purple,rounded,seed,short,size,stem,stigma,style,subtending,terminal,tinged,trichome,tube,uniseriate,usually,white,whitish,x,yellow	.3,1-10,10,13-21,2,2-4,2.4-4,3-4,4.5-9.5,5-merou,6-7,absent,acumen,acuminate,acute,ag,always,alyx,apart,apex,apparently,articulated,axe,base,berry,blade,c.,capitat,cell,connivent,cordate,covering,cuneate,digestion,distal,dorsally,eaf,edge,eed,end,enzyme,erec,exceeding,except,filament,flat,flower,folded,forked,geminat,generally,glabrou,greatly,green-white,hair-like,half,homostylous,honeycomb-shaped,lateral,lengthening,living,lower,make,middl,mucilaginous,nflorescence,oblique,often,one,orbicular,orolla,pair,perfect,petiolule,placed,plurifoliate,pore,poricidal,proximal,rarely,reduced,removed,ruit,sessile,seudostipule,shallowly,slit,spaced,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,testal,thick,throughout,tip,tri-,truncate,tuber,typically,unit,vary,wall,well-developed,wet,wing,winged,ympodial	adhesion,arrangement,calyx,capitate,colour,form,growth,height,history,inflorescence,leaf,length,life,na,ovary,perennial,position,presence,pubescence,reproduction,shape,staman,texture
5	wfo-0001025645	success	150	62	42	108	20	0.28	0.3-0.8,0.8,1-3.5,10-16,15-25,2-4.5,2.5,4-12,4-6,5,5-5.5,calyx,cm,connate,corolla,diameter,distal,elliptic-lanceolate,glabrous,globose,green,green-white,half,herbaceous,lanceolate,leaf,long,mm,odd-pinnate,ovoid,pedicel,peduncle,perennial,petiole,plant,puberulent,seed,size,stellate,throughout,wide,yellow	0.5-1,1-2,1-4,10-11,12-17,2-3,3-5.5,3-6-foliat,4-5,4-7,8-10,abaxially,absen,acumen,acuminate,acute,adaxially,apex,apical,apically,articulate,base,branched,cell,covering,cuneate,cyme,decurrent,dehiscent,dichasial,dichasially,digestion,diminishing,dorsally,eaf,ebracteate,edge,eed,elliptic,emoval,enzyme,exceeding,filament,flat,flower,folded,forked,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,larger,lateral,leaflet,living,lobe,lon,lower,lunat,make,maturing,monochasial,mucilaginous,mucronate,nflorescence,nther,oblique,oblong,often,orolla,pair,pattern,perfect,plan,poricidally,proximal,rachi,reveal,ruit,second,sessile,seudostipule,short,slit,specimen,stamen,stigma,straight,style,tal,tem,terminal,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,without,ympodial,¼	anther,arrangement,colour,form,fruit,growth,height,history,inflorescence,length,life,na,ovary,position,reproduction,shape,stem,texture,tube,white
6	wfo-0001025646	success	136	64	43	93	21	0.316	0.25-0.4,0.6-3,0.7-3.5,1.1-1.4,2-3,2-4,2.3-9.0,3.2-6,3.5-7,4-15.5,4-5,7-8,calyx,cm,connate,corolla,diameter,distal,elliptic,forked,fruit,globose,half,herbaceous,leaf,long,mm,odd-pinnate,ovary,ovate,pedicel,peduncle,pentagonal,perennial,petiole,plant,puberulent,size,stigma,strigose,style,wide,yellow	0-.,0.5-2.1,0.6-2.3,1-4,1-7,1.1-4.5,1.2,1.2-7.0,1.5-3,2.5-3,3,3-6-foliat,4-10,abaxially,abruptly,acumen,acuminate,acute,adaxially,apex,apical,apically,apiculate,articulate,attenuate,ature,base,branched,caudate,cuneate,cyme,decurrent,dehiscent,dichasial,dichasially,diminishing,dorsally,eaf,ebracteate,edge,eed,exceeding,filament,flat,flower,folded,generally,globo,gradually,interjected,introrse,lateral,leaflet,like,lobe,lon,lower,lunat,maturing,monochasial,nflorescence,nther,oblique,obovate,often,orolla,pair,perfect,petiolule,plan,poricidally,probably,proximal,seen,sessile,seudostipule,short,slightly,slit,sometimes,stamen,straight,tal,tem,terminal,toward,tuber-bearing,typically,unit,vary,whit,ympodial,¼	anther,arrangement,colour,form,growth,height,history,inflorescence,length,life,na,position,reproduction,rugulose,seed,shape,stem,surface,texture,tube,white
7	wfo-0001025647	success	194	89	65	129	24	0.335	0.06-0.24,0.8-3,1-2,1-5,1.2-3,1.4-5,1.5-5,2-3,2-4,2.5-3,4-10,5-6,6.2-11,abaxially,adaxially,anther,attenuate,axillary,blue,brownish,chartaceous,clavate,cm,condition,corolla,densely,diameter,drying,elliptic,fresh,fruit,glabrous,globose,green,greenish,herb,lanceolate,light,linear,lobe,long,membranous,minutely,mm,moderately,narrowly,odd-pinnate,ovoid,pedicel,peduncle,petiole,plant,puberulent,pubescent,ripe,rotate,seed,size,stem,stigma,style,tube,whitish,x,yellow	0-4,0.4-1.5,0.6-3,1,1-10,1-3,1.3-2.9,1.5-5.5,2,2-5,3-6,4-6,5-merou,absent,acumen,acute,ag,along,alyx,apart,apex,apparently,articulated,axe,base,berry,blade,borne,broadly,bud,capitat,cell,ciliate,connivent,covering,decurrent,digestion,distal,dorsally,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,filament,flat,flower,folded,forming,frequently,geminat,glabrou,greatly,green-white,hair,hair-like,hal,half,high,homostylous,honeycomb-shaped,interjected,lateral,leaflet,lengthening,like,living,lower,make,margin,midrib,mucilaginous,multicellular,near,nflorescence,oblique,obtuse,often,orbicular,orolla,ovate,pair,perfect,petiolulate,plurifoliate,pore,poricidal,proximal,reduced,removed,rosette,ruit,scale-like,sessile,seudostipule,short,singly,slit,sometimes,spaced,specimen,stamen,ste,stolo,straight,subequal,subtending,tall,tamen,tem,terminal,testal,thick,throughout,tip,tri-,tuber,typically,unbranched,unit,unwinged,vary,wall,wet,ympodial	adhesion,arrangement,calyx,capitate,colour,form,growth,height,history,inflorescence,leaf,length,life,na,ovary,perennial,position,pubescence,reproduction,rugulose,shape,staman,surface,texture
8	wfo-0001025652	success	156	85	61	95	24	0.391	.3,0.5-1,1-1.5,1.5-2,10-20,2-3,2-6,20-50,3-3.5,3-5,4,4-6,4-7,anther,anthesi,bilobed,calyx,campanulate,cm,connate,corolla,densely,elliptic,fruit,glabrous,green,growth,irregular,leaf,lobe,minutely,mm,opposite,ovary,ovoid-reniform,pale,papillose,pedicel,petiole,pinkish-grey,pitted,planar,plant,poricidal,red-papillose,shape,shiny,shrub,size,small,stem,stigma,style,surface,tan,tightly,tip,tree,tube,white,x	.5,1,15-17,15-19,2-5,3-5-flowered,9-11,abruptly,acuminate,acute,apex,appearing,bark,base,blade,broad,closed,closely,completely,decurrent,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,filament,fleshy,flower,free,furcate,geminat,glabrate,greyi,greyish,growing,lateral,like,live,lobed,lon,long,lower,main,major,margin,matte,middle,minor,minute,narrowing,nearly,new,nflorescence,occasionally,older,one,onto,overlappin,ovoid,pair,paler,papillae,papillo,parallel,pore,portion,rather,ry,scar,shaped,simple,soon,spaced,specimen,straight,strongly,tall,tapering,tear,tear-drop,thick,thicker,ud,unit,vein,wider,widest,wing,winged,ympodial,young	adhesion,arrangement,colour,diameter,form,height,history,inflorescence,length,life,na,number,peduncle,perennial,position,presence,pubescence,ray,reproduction,rugulose,seed,staman,stellate,texture
9	wfo-0001025653	success	218	121	82	136	39	0.376	.0,.1,.2,.3,.5,.6,.7,.9,0.1,0.8,1.3,20,90°,acuminate,adnate,anther,apex,attenuate,base,blade,broad,brown,calyx,chartaceous,clinate,cm,corolla,deltoid,diameter,erect,extra-axillary,flower,fruit,glabrous,glandular,globolunate,globose,hair,lateral,leaf,least,less,lobe,lobed,long,margin,midpoint,minute,mm,much,obtuse,opposed,ovate,pedicel,peduncle,petiole,porrect-stellate,pubescent,ray,reddish,reduced,restricted,rhizomatous,rounded,scarcely,sessile,short,shrub,simple,sinuate,sparsely,stellate,stem,stigma,stipe,style,subcordate,surface,truncate,tube,±equal,×	.8,0.13,0.15,0.2–0.4,0.3–0.5,0.3–0.8,0.6–1.6,0.7–1.1,1.0–1.6,1.1–1.3,1.3–1.8,1.6,1.9–3.3,1–1.5,2.3–3.2,2.5–4.0,2.6,4–6,5-merou,6–8,6–9,7–12,8–11,abaxially,absent,adaxiall,adaxially,aequilateral,ag,alyx,among,anthesi,apart,apical,apparently,appearing,around,articulate,axe,ba,bark,bud,channeled,congested,craspedodromous,cylindrical,densely,developed,directed,distinct,dry,eaf,edge,eed,either,emerging,entire,extending,ferruginous,fertile,filament,filiform,free,heterostylous,increasing,intact,internode,interpetalar,intersepalar,know,known,lanceolate,layer,lon,longer,low,lower,mature,midrib,midvein,nflorescence,noticeably,oblique,occasionally,opaque,orolla,persistent,plurifoliat,pore,porrect,portion,potentially,prickl,prickle,primary,raised,remaining,rigid,row,ruit,secondary,see,seen,short-stipitate,shorter,shot-stipitate,side,sloughing,splitting,spread,stamen,stellae,stellate-pubescent,stipitate,straight,suture,tamen,tem,time,tip,tissue,transparent,truncat,two,ud,unarme,unarmed,unbranched,vary,vein,well,wide,yellow-ferruginous,ympodia,young,±erect	0.2-0.4,0.3-0.5,0.3-0.8,0.6-1.6,0.7-1.1,1.0-1.6,1.1-1.3,1.3-1.8,1.9-3.3,2.5-4.0,6-9,7-12,adhesion,arrangement,climate,colour,dense,form,growth,height,history,inflorescence,length,life,na,number,ovary,plant,position,presence,present,pubescence,reproduction,rugulose,seed,shape,size,staman,texture
