	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025652	success	156	111	97	59	14	0.622	.3,.5,0.5-1,1,1-1.5,1.5-2,10-20,15-17,15-19,2-5,2-6,20-50,3-3.5,3-5,4,4-6,4-7,9-11,abruptly,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,calyx,campanulate,cm,connate,corolla,decurrent,densely,elliptic,filament,fleshy,flower,furcate,glabrate,glabrous,green,greyish,growth,lateral,leaf,lobed,main,matte,minor,minutely,mm,narrowing,nearly,new,occasionally,opposite,ovary,ovoid-reniform,pair,pale,paler,papillose,parallel,pedicel,petiole,pinkish-grey,pitted,planar,plant,pore,poricidal,red-papillose,shape,shaped,shiny,shrub,simple,size,small,stem,stigma,strongly,style,surface,tan,tear-drop,tightly,tip,tree,tube,vein,white,wing,winged,x,young	2-3,3-5-flowered,appearing,blade,broad,closed,closely,completely,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,free,fruit,geminat,greyi,growing,irregular,like,live,lobe,lon,long,lower,major,margin,middle,minute,nflorescence,older,one,onto,overlappin,ovoid,papillae,papillo,portion,rather,ry,scar,soon,spaced,specimen,straight,tall,tapering,tear,thick,thicker,ud,unit,wider,widest,ympodial	abaxial,adaxial,colour,connective,form,height,inflorescence,length,number,position,seed,texture,venation,width
1	wfo-0001025657	success	239	124	100	139	24	0.418	0.1-0.4,0.5-2.5,1-1.1,1-1.3,1-3,1.2-1.5,2-10,2-3.5,2/3,25-60,3-6,5-14,5-16,6-12,6-8,7-27,7-9,7-9.5,8.3-12,abaxially,accrescent,acute,anthesi,apart,apex,base,bluish,branch,branched,brown,bud,calyx,chartaceous,cm,conical,cordate,corolla,dark,deltoid,densely,diameter,dried,elliptic,entire,flower,fruit,fruiting,granular,green,hair,lanate-pubescent,lateral,leaf,length,long,main,margin,midrib,mm,narrowly,nearly,oblong,orbicular,ovate,pale,parted,pedicel,peduncle,persistently,petiole,plurifoliate,rachi,reticulate-punctate,ripe,scented,shrub,side,simple,soft,somewhat,stellate,stellate-pubescent,strongly,subcampanulate,suborbicular,surface,tan,tomentose,tomentose-pubescent,tree,unarmed,unit,vein,velutinous-pubescent,way,white,x,yellow,yellowish,young	-2,/3,0.2-0.4,1-1.6,1.3-2,1.5-1.8,1.7-1.9,12x,2.2-5.5,2.5-9.3,2.7-4.3,3-4,3-4.8,3.2-6,4-4.4,4-4.5,4-7,6.5-10,8-10.5,adaxially,ag,also,anther,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,berry,blade,blunt-tipped,broadly,capitat,central,closely,cylindrical,dendritic-multangulat,dendritic-multangulate,dense,directed,distally,due,eaf,earl,edge,eed,especially,evident,exerted,expanded,exserted,farinose,few-rayed,filament,fleshy,free,glabrous,glandula,glandular,half,inserted,lanceolate,lengthening,light,lobe,lobed,long-stalked,longitudinal,lower,m.,magnification,minutely,mixed,multangulate,nflorescence,obtuse,occasional,often,older,open,orolla,ovat,ovate-lanceolate,overlapping,part,partly,perfect,persistent,pore,poricidal,porrect-stellate,present,pseudo-terminal,pubescence,pubescent,ray,reportedly,ruit,semi-ovate,sessile,short,short-,short-stalked,slightly,slit,spaced,splitting,stamen,stem,stigma,stipitate-glandular,stipitate-multangulate,style,subcoriaceous,suture,tall,tamen,terete,thick-stalked,thickened,thin-stalked,time,tip,tomentum,transparent,tube,two-third,ud,unarme,upper,usually,vary,weakly,wide,ympodial	abaxial,adaxial,arming,arrangement,bark,branching,colour,form,growth,height,inflorescence,lanation,lobing,number,plant,scent,seed,shape,size,spacing,structure,sympodial,texture,type
2	wfo-0001025669	invalid_json	216	124	98	118	26	0.454	'',.5,0-7,0.1-0.3,1,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,13-35,2-3,2-4,2.2-6,2.4-7,3-5,3-7,4-6,9-24.5,``,abaxially,absent,adaxially,anther,base,blade,blue,broadly,brownish,chartaceous,clavate,cm,condition,corolla,diameter,drying,end,filament,flower,fresh,fruit,glabrous,globose,green,greenish,hair,herb,homostylous,interjected,lanceolate,lateral,leaflet,lengthening,long,membranous,minute,minutely,mm,moderately,monochasium,mottled,obovate,odd-pinnate,one,orbicular,ovoid,pair,pedicel,peduncle,placed,plant,pore,poricidal,puberulent,pubescent,purple,rarely,ripe,scale-like,seed,size,slightly,slit,sometimes,stem,stigma,streaked,style,subglabrous,terminal,tinged,tip,tuber,typically,white,whitish,wide,x	0-1,0-5,0.8-2.4,1-10,1-3,1.6-4.4,2,2.2-6.5,5-merou,absen,acumen,acuminate,acute,ag,along,alyx,apart,apex,apparently,articulation,axe,berry,capitat,cell,ciliate,clearly,connivent,contracted,covering,cuneate,decurrent,digestion,discussion,distal,distinct,dorsally,eaf,edge,eed,elliptic,enzyme,erec,especially,exceeding,except,extra,flat,flowered,folded,forming,geminat,glabrou,greatly,green-white,hair-like,half,highly,honeycomb-shaped,larger,like,living,lobe,lower,make,margin,midrib,mucilaginous,multicellular,near,nflorescence,oblique,obtuse,often,orolla,ovate,perfect,petiole,petiolulate,petiolule,plurifoliate,proximal,reduced,removed,rosette,rotate,rounded,ruit,see,sessile,seudostipule,short,single,spaced,species,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,testal,thick,throughout,tri-,truncate,tube,unbranched,unequal,unit,unwinged,vary,wall,wet,yellow,ympodial	'extra,[,],age,arrangement,calyx,capitate,characteristic,colour,form,growth,height,inflorescence,leaf,length,ovary,placement,pseudostipule,shape,staman,stolon,texture,type,value,{,}
3	wfo-0001025697	success	181	143	115	66	28	0.635	-9,0-14,0.15-0.75,0.8-2,1-1.7,1-2,1-3,1.7-8.6,10-26,2-4,2-6,25-35,3-10,3-4,3-5,3-6,5.5-11.5,abaxially,acumen,acuminate,acute,adaxially,anther,apex,asymmetric,attenuate,base,basiscopic,blade,blue,brownish,cell,clavate,cm,condition,connivent,coriaceous,corolla,dark,decurrent,deep,diameter,digestion,distal,dorsally,drying,edge,elliptic,enzyme,filament,flat,flower,folded,forked,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,half,herb,high,homostylous,honeycomb-shaped,interjected,lanceolate,lateral,leaf,leaflet,lengthening,light,lilac,lobe,medium,mm,odd-pinnate,ovate,ovoid,pair,pedicel,peduncle,pentagonal,perfect,petiole,plant,pore,poricidal,purple,rachi,removed,ripe,rotate,rounded,seed,sessile,short,side,slightly,slit,stigma,straight,stripe,style,terminal,testal,tip,tissue,tube,typically,wall,whitish,yellow	0.6-3.5,1.5-1.8,2-10.5,2-2.6,3.3-11,4-7.5,5-merou,6.5-13.5,adaxiall,ag,alyx,apart,apparently,articulated,axe,axillary,berry,bud,capitat,covering,decreasing,eaf,eed,erec,exceeding,geminat,generally,glabrou,green-white,hair-like,hal,linear,living,long,lower,make,mucilaginous,nflorescence,orbicular,orolla,petiolulate,plurifoliate,ruit,seudostipule,size,spaced,specimen,stamen,subequal,subglabrou,subtending,tall,tamen,tem,thick,throughout,toward,tri-,unit,unwinged,usually,vary,wet,wood,x,ympodial	abaxial,adaxial,age,arrangement,articulation,asymmetry,branching,calyx,capitate,colour,connivence,decurrency,form,growth,height,inflorescence,length,number,ovary,pseudostipule,shape,spacing,staman,stem,subglabrous,texture,type,woody
4	wfo-0001025699	success	181	123	107	74	16	0.591	.2,0.5,1,1-1.5,1-2,1-2.5,1-3,1.5-2,1/3,15-20,2,2-6,2cm,3-15,4-5,5-8,5-winged,8-9,absent,acute,almost,anther,anthesi,apart,apex,attenuate,bark,base,becoming,branching,brown,c.,calyx,capitate,cm,completely,conical,corolla,crystal,dark,darker,deltate,densely,dry,ellipsoid,elliptic,entire,exerted,filament,flower,fruiting,glabrous,globose,green,grey-brown,growth,immature,inflorescence,leaf,less,lobe,lobed,margin,markedly,midrib,minutely,mm,narrowly,new,nodding,older,ovary,pair,pale,papillose,pedicel,peduncle,petiole,poricidal,primary,red,reniform,reticulate-pitted,rounded,rounded-sagittate,sand,scar,simple,slightly,somewhat,stem,stigma,style,surface,tangled,time,tip,tree,trichome,tube,vein,way,white,white-spotted,x,young,½	.5,1.5,10,2-2.5,3-3.5,3-5.5,3-8,499,5.5-14,abaxially,adaxially,age,apparently,appearing,articulating,berry,campanulate,conspicuously,continuing,corrugate,cup-shaped,diameter,difoliate,dorsal,drying,eaf,eed,erect,face,fide,free,glabrou,included,inclusion,inflorescenc,irregularly,lanceolate,leaf-opposed,leafy,leaving,lengthening,lower,nflorescence,one,onto,oxalate,papillat,peg,penden,per,perfect,plurifoliate,pore,portion,reddish,ruit,shoot,short,slit,small,spaced,stearn,straight,strongly,thickened,triangular,ud,unit,wide,wing,winged,woody,yellow,ympodial	arrangement,articulation,bud,colour,corrugated,exertion,form,fruit,glabrousnes,length,papillate,seed,shape,size,spacing,texture
5	wfo-0001025700	success	189	112	90	99	22	0.476	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1-3,1.5-2,10-40,10.5-12,2-7,2.5-4,3-8,3.5-10.5,4-5,5-15,5-20,5.3-17.5,5.5-18,5.5-8,9-31,abaxially,acumen,adaxially,anther,blade,brownish,cell,chartaceous,clavate,cm,condition,corolla,covering,diameter,dot,drying,filament,flower,forked,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,hair-like,herb,homostylous,interjected,lanceolate,lateral,leaf,leaflet,lilac,lobe,long,medium,mm,narrowly,odd-pinnate,ovoid,pair,pentagonal,petiole,plant,pore,poricidal,purple,ripe,rotate-pentagonal,seed,short,size,sometimes,stigma,straight,style,terminal,testal,thick,tip,tube,unwinged,wall,white,whitish,winged,x	0.8-4,1-2,1.1-2.3,15-40,2-12,3-4,3.7-8.6,5-merou,acuman,acuminate,acute,ag,alyx,apex,apiculate,apparently,articulated,asymmetric,attenuate,axe,axillary,basal,base,basiscopic,berry,bud,capitat,connivent,considerably,decrease,decreasing,digestion,distal,dorsally,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,flat,folded,geminat,generally,glabrou,green-white,hal,half,high,honeycomb-shaped,larger,lengthening,light,linear,living,lower,make,mucilaginous,nflorescence,orbicular,orolla,ovate,par,pedicel,peduncle,perfect,petiolulate,plurifoliate,proximal,removed,rounded,ruit,sessile,seudostipule,side,slightly,slit,specimen,stamen,subequal,subglabrou,subtending,tall,tamen,tem,throughout,tissue,toward,tri-,typically,unit,usually,vary,wet,whose,yellow,ympodial	abaxial,adaxial,arrangement,branching,calyx,capitate,colour,form,growth,hairines,height,inflorescence,length,number,ovary,pseudostipule,shape,staman,stem,subglabrous,texture,winging
6	wfo-0001025704	success	248	110	91	157	19	0.367	-10,0,0.7-1,1.2-3,1/2-4/5,1/5,3-10,4-12,4.5-6.5,8-17,abaxial,abaxially,acute,adaxial,almost,anther,apex,auriculate,base,branched,calyx,chartaceous,cm,connivent,cordate,curved,densely,discolorous,drying,ellipsoid,elliptic,evenly,flattened,flattened-reniform,flower,fruit,fruiting,green,green-yellow,irregular,lateral,leaf,length,lobed,margin,maturity,mauve,mm,moderately,occasionally,often,orange,orange-brown,outline,ovate,pale,per,petiole,poricidal,prickle,prominent,rarely,red-green,reflexed,round,rounded,shape,shrub,small,sometimes,somewhat,spherical,stellate-pubescent,stem,straight,strongly,style,tapering,terminal,tip,tree,truncate,unbranched,upper,way,white,white-gray,yellow,yellow-green,yellowish,young	-2,-3,-5,/6,0-100,0-2,0-3.5,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,0.3-0.8,0.5-1.5,1,1-3.5,1-4,1-6,1.5-2,1.5-3.2,1.5-4.5,1.8-3.5,1/4-3/4,2,2-10,2-3,2-4.5,2-5,2-7,2.5-4.5,2.7-4,3-15,3-5,3-6,4-5,5-20,5-merous,6-12,6-15,8-12,8-15,age,alyx,andromonoecious,apar,apart,apically,apiculate,apparently,articulated,axe,ba,bark,berry,blade,broad-deltate,brow,cell,covering,deltate,development,diameter,distal,distance,eaf,eed,elongating,end,equal,erect,extending,filament,free,glabrescent,glabrous,gray,half,hermaphrodite,heterostylous,infructescence,less,lobe,lobing,long,long-styled,longer,lower,lowermost,mature,midpoint,midvein,multangulate,near,nflorescence,obtuse,older,one,open,orolla,oung,pair,pedicel,peduncle,pendulous,pericarp,pit,plant,plurifoliat,porrect,portion,prickl,prickly,primary,raised,ray,recurved,red-brown,retaining,ruit,scar,secondary,sessile,short-styled,shorter,side,slender,smooth,spaced,sparsely,spreading,stalk,stalked,staminat,stellate,stellate-pubescen,stout,surface,tamen,terete,tertiary,throughout,time,trichome,tube,unarmed,unit,variously,vary,vein,venation,visible,warty,wide,widening,woody,ympodial,×	50-100,branching,colour,corolla,form,growth,hair,inflorescence,na,number,orientation,ovary,position,present,seed,staman,texture,type,width
7	wfo-0001025729	success	177	107	90	87	17	0.508	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.75,2,4-5,4-8,9-17,abaxially,acute,adaxially,anther,anthesi,apex,apical,axil,bark,base,black,blackish,calyx,cm,corolla,cyathiform,deflexed,dia,diam,dirty,drying,elliptic,expanded,filament,flattened-reniform,fruiting,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,lateral,leaf,like,live,lobed,long,main,mm,oblique,occasionally,opposite,ovary,pale,pedicel,petiole,pit,pitted,plant,pore,portion,ripening,rounded,shaped,shiny,short,simple,size,stem,stigma,stout,style,surface,tear-drop,tree,treelet,trichome,tube,tuft,uniseriate,usually,vein,way,white,woody,x,yellow	-20,1.2-1.8,1.5-2,2-3.5,20,3-6,5-50-flowered,6-8,7-8,abaxial,abrupt,along,apar,apiculate,appearing,basal,berry,branched,bright,bristly,bud,covered,covering,dark,deltoid,densely,denser,differing,difoliate,eaf,edicel,eed,enclosed,f,fleshy,free,geminat,gently,glabrou,growing,incrassate,lamina,lat,lobe,lon,lower,m.,mainly,major,margin,member,middle,minor,minute,minutely,nflorescence,often,older,one,overlapping,overtopping,pair,papillo,papillose,partially,poricidal,prominent,pubescent,quite,raised,reflexed,ruit,scar,sparsely,straight,tall,tapering,terminal,tip,touching,tub,ud,unit,widening,widest,ympodial,young	4-20,5-50,branching,colour,flower,form,fruit,growth,hair,height,inflorescence,length,number,position,seed,shape,texture
8	wfo-0001025749	success	217	86	65	152	21	0.3	0.2-1.5,0.3-1.5,0.8-0.9,1-13,2.5-6,5-20,abaxial,acute,adaxial,anther,apex,base,berry,branched,calyx,chartaceous,cm,cuneate,dark,densely,elongating,equal,flattened,flattened-reniform,flower,fruit,fruiting,glabrous,green-brown,lateral,leaf,length,lobed,margin,markedly,mauve,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pale,per,petiole,poricidal,prickle,rarely,red-brown,rounded,shrub,sometimes,sparsely,spherical,spreading,stellate-pubescent,straight,straw-yellow,style,tapering,tip,white,yellow-green,yellow-orange	-1,-12,.5,/5,0-10,0-3,0-5,0-6,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.4-0.7,0.5,0.5-0.8,0.5-0.9,0.5-1.3,0.5-3,0.6-4.5,1,1-10,1-2,1-3,1-6,1-8.5,1-9,1.5,1.5-2,1.5-2.5,1/4-1/3,1/5-1/2,2-10,2-2.5,2/3,3-20,3-5,4-8,5-,5-10,5-merous,6-8,abaxially,acuminat,adaxially,adnate,almost,alyx,apar,apart,apically,apparently,articulated,bark,blade,broad-deltate,concolorous,curved,diameter,difoliate,discolorous,distance,drying,dull,eaf,eed,erect,extending,filament,filiform,free,geminat,gently,glabrescent,gray,herbaceous,indistinct,infructescence,light,lobe,lon,long,long-ovate,longer,lower,magnification,mature,maturity,midpoint,midvein,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pair,pedicel,peduncle,pendulous,perfec,pericarp,porrect,portion,prickl,prickly,primary,procumbent,purple,ray,recurved,reduced,ruit,scar,sessile,shorter,side,smooth,spaced,stalk,stalked,stellate,stem,strongly,surface,tamen,terete,tertiary,time,toward,trichome,tube,unit,usually,variously,vary,vein,venation,visible,way,wide,without,yellow,yellowish,ympodial,½-2/	branching,colour,corolla,form,growth,height,heteromorphism,inflorescence,number,orientation,ovary,plant,pore,position,seed,shape,staman,symmetry,texture,type,zygomorphy
9	wfo-0001025754	success	164	108	79	85	29	0.482	-celled,.5,0.5-1,0.5-1.5,1-2,1-3,1.5,1.5-3,10-20,10-35,3-6,4,5-15,acuminate,acute,anther,apex,asymmetrical,base,berry,brown,center,chartaceous,ciliate,cm,cordate,cordiform,decumbent,decurrent,densely,dm,drying,edge,eglandular,entire,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,lobe,margin,maturing,membranaceous,mm,moderately,much-branched,nearly,oblong,often,parallel,pedicel,per,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,slightly,solitary,sparsely,surface,triangular,truncate,tube,unbranched,upright,white,woody,x,yellow	0.1-0.2,1,1-3.5,1.5-4,2-4,2-5-celled,2-7,2-foliate,3-10,3-5,4-6,5-12,abaxially,absent,abundant,adaxiall,adaxially,along,axe,barely,beyond,blade,branch,calyx,connected,dehiscing,denser,diameter,dried,eaf,eed,emarginat,equal,erect,explosively,exserted,filament,flat,geminat,glandular,held,interpetalar,leaving,like,linear-lanceolate,long,lower,lying,main,material,maturit,mesocarp,mixed,nfloresence,notch,orolla,palmately,peduncle,penden,placenta,pressure,probably,pubescen,rachi,ruit,short,small,sometimes,stamen,stem,stigma,straight,style,swollen,tal,tamen,tem,tissue,unit,vary,vein,visible,watery,wid,ympodial	abaxial,adaxial,arrangement,articulation,bract,branching,colour,corolla,emarginate,form,geminate,growth,height,inflorescence,length,number,pattern,pendent,placement,plant,position,prickle,scale,seed,shape,symmetry,texture,trichome,type
