	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025636	success	208	83	64	144	19	0.308	0.1-0.3,1,1-10,1-5.5,10-45,2,2-4,6.5-10,abaxially,absent,adaxially,anther,apart,blue,broadly,brownish,cell,chartaceous,clavate,cm,condition,corolla,diameter,drying,elliptic,fresh,fruit,glabrous,globose,green,greenish,herb,honeycomb-shaped,lanceolate,long,membranous,minute,mm,mottled,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,petiolule,plant,purple,ripe,rosette-forming,rotate,rotate-pentagonal,scale-like,seed,slightly,stem,stigma,style,testal,unforked,wet,whitish,yellow	0-2,0-5,0.1,0.6-2.8,1-2,1-2.2,1-3,1-3.5,1-4,1-5,1.1-6.1,1.4-3.5,1.7-5.2,1.7-9.2,1.8,2.5-6,2.6-8.3,3-5,3-6,5-merou,9.5-29.5,acumen,acuminate,acute,ag,along,alyx,apex,apparently,articulated,axe,base,berry,blade,capitat,ciliate,clearly,connivent,contracted,covering,cuneate,decurrent,digestion,distal,dorsally,eaf,edge,eed,end,enzyme,especially,exceeding,except,filament,flat,flower,folded,geminat,generally,glabrou,greatly,green-white,hair,hair-like,hal,half,high,highly,homostylous,interjected,larger,lateral,leaflet,lengthening,like,living,lobe,longer,lower,make,margin,midrib,minutely,moderately,multicellular,near,nflorescence,oblique,obovate,obtuse,often,orbicular,orne,orolla,pair,perfect,petiolulate,plurifoliate,pore,poricidal,proximal,puberulent,pubescent,reduced,removed,rounded,ruit,semierec,sessile,seudostipule,short,singly,size,slit,sometimes,spaced,specimen,stamen,ste,stolo,straight,subequal,subglabrous,tall,tamen,tem,terminal,thick,throughout,tip,tri-,truncate,tube,tuber,typically,unequal,unit,unwinged,uppermost,vary,wall,wide,x,ympodial	0.1-1.8,arrangement,capitate,color,form,growth,height,history,inflorescence,leaf,length,life,ovary,pseudostipule,semierect,shape,spacing,surface,texture
1	wfo-0001025637	success	193	75	58	135	17	0.301	0-0.3,0.2-0.9,1-12,14-38,2-7,3-10,3-4,3-5,anther,blue,brownish,cell,clavate,cm,coriaceous,corolla,dark,deep,diameter,dot,drying,elliptic,forked,fruit,glabrescent,glabrous,globose,green,green-white,greenish,herb,honeycomb-shaped,lanceolate,leaf,lilac,medium,mm,mucilaginous,odd-pinnate,ovoid,pedicel,peduncle,pentagonal,petiole,petiolule,plant,rotate,seed,stigma,stripe,style,testal,throughout,tiny,wet,white,whitish,yellow	0-27,0.2-0.5,0.3-0.5,0.8-2.6,1-2,1-2.5,1-5,1.2-3.5,1.5-5,1.6-2.5,2-20,2-3,2.5-8,2.8-4.2,3-9,4-6,5-7,5-merou,abaxially,acumen,acuminate,acute,adaxiall,adaxially,ag,along,alyx,apart,apex,apparently,arranged,articulated,attenuate,axe,axillary,base,bead,berry,blade,bud,capitat,condition,connivent,covering,cuneate,decreasing,decurrent,digestion,distal,dorsally,eaf,edge,eed,enzyme,erec,exceeding,filament,flat,flower,folded,fresh,geminat,generally,glabrou,hair,hair-like,hal,half,high,homostylous,interjected,lateral,leaflet,lengthening,light,like,linear,living,lobe,long,lower,make,moniliform,mottled,multiple,necklace,nflorescence,onto,orolla,ovate,pair,perfect,petiolulate,plurifoliate,pore,poricidal,purple,rachi,removed,ripe,rounded,ruit,secondary,seudostipule,short,size,slit,sometimes,spaced,specimen,stamen,stolon,straight,subequal,subtending,symmetric,tall,tamen,tem,terminal,thick,tip,toward,tri-,tube,tuber,typically,unit,unwinged,usually,vary,wall,wide,x,ympodial	arrangement,capitate,color,form,growth,height,history,inflorescence,length,life,ovary,pseudostipule,shape,spacing,stem,surface,texture
2	wfo-0001025639	success	154	82	62	92	20	0.403	1-2,1-3,20-35,3-6,4-10,5-10,8-9,apical,apically,articulate,broadly,cell,cm,corolla,covering,dark,dehiscent,diameter,distal,elliptic,globose,green,green-white,hair-like,herbaceous,introrse,lateral,leaf,make,maturing,medium,mm,mucilaginous,obovate,odd-pinnate,often,ovate,ovoid,pedicel,peduncle,perennial,petiole,petiolule,plant,poricidally,proximal,puberulent,pubescent,rotate,seed,short,slit,stigma,style,testal,thick,throughout,violet,wall,white,yellow,¼	1-4,10-21,2-3,2-3.5,2.8-3.2,3-4,3-5,3-6-foliat,3.5-7,4.5-8.5,5-1.,5-8,6-12,6-8,8-12,abaxially,acumen,acuminate,acute,adaxially,apex,base,belo,branched,calyx,connate,cuneate,cyme,dichasial,dichasially,digestion,diminishing,dorsally,eaf,ebracteate,edge,eed,elliptical,emoval,enzyme,exceeding,filament,flat,flower,folded,forked,frequently,generally,globo,gradually,half,honeycomb,interjected,leaflet,lobe,lon,long,long-attenuate,lower,lunat,monochasial,nflorescence,nther,oblique,orolla,pair,pattern,perfect,plan,present,produced,rare,reveal,ruit,seudostipule,size,sometimes,stamen,straight,tal,tem,terminal,throughou,top,toward,truncate,tuber-bearing,typically,unit,vary,wide,ympodial	anther,arrangement,color,form,fruit,growth,height,history,length,life,lunate,na,ovary,pseudostipule,shape,spacing,stem,surface,texture,wet
3	wfo-0001025642	success	149	97	74	75	23	0.497	0.3-0.4,1-2,1-2.7,1-3.2,10-20,2-3,3-5,4-7.5,5.5-7,8-13,9-12,absent,apical,apically,articulate,branched,calyx,cell,cm,connate,corolla,cyme,dehiscent,diameter,dichasial,dichasially,diminishing,distal,ebracteate,elliptic,elliptic-lanceolate,forked,globose,gradually,green,green-white,hair-like,herbaceous,interjected,introrse,lanceolate,lateral,leaf,leaflet,long,lunate,maturing,mm,monochasial,mucilaginous,odd-pinnate,often,ovoid,pedicel,peduncle,perennial,petiole,plant,poricidally,proximal,puberulent,seed,short,size,slit,stellate,stigma,style,terminal,testal,throughout,wide,yellow,¼	1,1-2.5,1-3,1-4,1.5-2.5,2-10,3,3-6-foliat,3.5-6,4.5-8,5-6,7-11.5,abaxially,absen,acumen,acuminate,acute,adaxially,apex,apiculate,attenuate,base,covering,digestion,dorsally,eaf,edge,eed,emoval,enzyme,exceeding,filament,flat,flower,folded,generally,globo,half,honeycomb,lanceolat,living,lobe,lon,lower,make,nflorescence,nther,oblique,obtuse,orolla,pair,pattern,perfect,plan,present,reveal,ruit,sessile,seudostipule,specimen,stamen,straight,tal,tem,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,without,ympodial	anther,arrangement,color,dehiscence,form,fruit,growth,height,history,inflorescence,length,life,na,ovary,petiolule,pseudostipule,shape,spacing,stem,surface,texture,wet,white
4	wfo-0001025644	success	204	96	77	127	19	0.377	0-5,1-10,1.3-2.1,10,10-11,2.4-4,2.5-6,25-50,3-10,3-5,3.3-8.2,4-19,4.5-9.5,6-7,6.5-13,abaxially,adaxially,almost,anther,blue,broadly,brownish,cell,chartaceous,clavate,cm,condition,corolla,covering,diameter,drying,elliptic,forked,fresh,fruit,glabrous,globose,green,greenish,hair,hair-like,herb,honeycomb-shaped,interjected,lanceolate,lateral,leaflet,like,membranous,mm,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,petiolule,plant,poricidal,pubescent,rounded,seed,size,stem,stigma,style,terminal,testal,thick,tinged,tip,wall,white,whitish,x,yellow	.3,0.8-1.5,1-2,12-28,13-21,2,2-3,2-4,2.5-11,3-4,4-6,5-merou,absent,acumen,acuminate,acute,ag,along,always,alyx,apart,apex,apparently,articulated,attenuate,axe,axillary,base,berry,blade,bud,c.,capitat,ciliate,connivent,cordate,cuneate,denticulate,digestion,distal,dorsally,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,filament,finely,flat,flower,folded,geminat,generally,glabrou,greatly,green-white,half,homostylous,invested,lengthening,living,lobe,long,lower,make,margin,middl,midrib,minutely,mottled,mucilaginous,multicellular,nflorescence,non-glandular,oblique,often,one,orbicular,orolla,pair,perfect,placed,plurifoliate,pore,proximal,puberulent,purple,rarely,reduced,removed,ruit,sessile,seudostipule,shallowly,short,slit,spaced,specimen,stamen,ste,stolo,straight,subequal,subtending,tall,tamen,tem,throughout,tri-,trichome,truncate,tube,tuber,typically,uniseriate,unit,usually,vary,well-developed,wet,wing,winged,ympodial	arrangement,calyx,capitate,color,dehiscence,form,growth,height,history,inflorescence,leaf,length,life,ovary,pseudostipule,shape,spacing,surface,texture
5	wfo-0001025645	success	150	101	76	74	25	0.507	0.3-0.8,1-2,1-3.5,10-11,15-25,2-3,2-4.5,3-5.5,4-6,4-7,5,8-10,apical,apically,articulate,branched,calyx,cell,cm,connate,corolla,covering,cyme,dehiscent,diameter,dichasial,dichasially,distal,ebracteate,elliptic-lanceolate,forked,glabrous,globose,green,green-white,hair-like,herbaceous,interjected,introrse,lanceolate,lateral,leaf,leaflet,long,make,maturing,mm,monochasial,mucilaginous,odd-pinnate,often,ovoid,pedicel,peduncle,perennial,petiole,plant,poricidally,proximal,puberulent,seed,short,size,slit,stellate,stigma,style,terminal,testal,thick,throughout,tuber-bearing,wall,wide,yellow,¼	0.5-1,0.8,1-4,10-16,12-17,2.5,3-6-foliat,4-12,4-5,5-5.5,abaxially,absen,acumen,acuminate,acute,adaxially,apex,base,cuneate,decurrent,digestion,diminishing,dorsally,eaf,edge,eed,elliptic,emoval,enzyme,exceeding,filament,flat,flower,folded,generally,globo,gradually,half,honeycomb,larger,living,lobe,lon,lower,lunat,mucronate,nflorescence,nther,oblique,oblong,orolla,pair,pattern,perfect,plan,rachi,reveal,ruit,second,sessile,seudostipule,specimen,stamen,straight,tal,tem,throughou,toward,typically,unit,vary,whit,without,ympodial	absent,anther,arrangement,color,dehiscence,form,fruit,growth,height,history,inflorescence,length,life,lunate,na,ovary,petiolule,pseudostipule,shape,spacing,stem,surface,texture,wet,white
6	wfo-0001025646	success	136	106	83	53	23	0.61	0.25-0.4,0.5-2.1,0.6-2.3,0.6-3,0.7-3.5,1-7,1.1-4.5,1.2-7.0,2-3,2-4,3,3.2-6,3.5-7,7-8,abruptly,acuminate,acute,apex,apical,apically,articulate,base,branched,calyx,cm,connate,corolla,cuneate,cyme,decurrent,dehiscent,diameter,dichasial,dichasially,diminishing,distal,ebracteate,elliptic,forked,fruit,generally,globose,gradually,half,herbaceous,interjected,introrse,lateral,leaf,leaflet,like,long,maturing,mm,monochasial,oblique,obovate,odd-pinnate,often,ovary,pedicel,peduncle,pentagonal,perennial,petiole,petiolule,plant,poricidally,proximal,puberulent,short,size,slightly,slit,stigma,strigose,style,terminal,toward,tuber-bearing,wide,yellow,¼	0-.,1-4,1.1-1.4,1.2,1.5-3,2.3-9.0,2.5-3,3-6-foliat,4-10,4-15.5,4-5,abaxially,acumen,adaxially,apiculate,attenuate,ature,caudate,dorsally,eaf,edge,eed,exceeding,filament,flat,flower,folded,globo,lobe,lon,lower,lunat,nflorescence,nther,orolla,ovate,pair,perfect,plan,probably,seen,sessile,seudostipule,sometimes,stamen,straight,tal,tem,typically,unit,vary,whit,ympodial	0-4,anther,arrangement,color,dehiscence,form,growth,height,history,inflorescence,length,life,lunate,na,pseudostipule,seed,shape,spacing,stem,surface,texture,white,ye
7	wfo-0001025647	success	194	103	79	115	24	0.407	0-4,0.06-0.24,0.4-1.5,0.6-3,0.8-3,1-10,1.3-2.9,1.4-5,1.5-5.5,2,2-3,2-4,3-6,4-10,5-6,acute,anther,apex,attenuate,base,blue,broadly,brownish,cell,chartaceous,clavate,cm,condition,corolla,covering,decurrent,diameter,distal,drying,elliptic,forming,fresh,fruit,globose,green,greenish,hair-like,herb,interjected,lanceolate,lateral,leaflet,light,linear,membranous,mm,narrowly,oblique,obtuse,odd-pinnate,ovoid,pedicel,peduncle,petiole,plant,poricidal,ripe,rosette,rotate,scale-like,seed,size,stem,stigma,style,terminal,testal,thick,tip,unbranched,wall,whitish,x,yellow	1,1-2,1-3,1-5,1.2-3,1.5-5,2-5,2.5-3,4-6,5-merou,6.2-11,abaxially,absent,acumen,adaxially,ag,along,alyx,apart,apparently,articulated,axe,axillary,berry,blade,borne,bud,capitat,ciliate,connivent,densely,digestion,dorsally,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,filament,flat,flower,folded,frequently,geminat,glabrou,glabrous,greatly,green-white,hair,hal,half,high,homostylous,honeycomb-shaped,lengthening,like,living,lobe,long,lower,make,margin,midrib,minutely,moderately,mucilaginous,multicellular,near,nflorescence,often,orbicular,orolla,ovate,pair,perfect,petiolulate,plurifoliate,pore,proximal,puberulent,pubescent,reduced,removed,ruit,sessile,seudostipule,short,singly,slit,sometimes,spaced,specimen,stamen,ste,stolo,straight,subequal,subtending,tall,tamen,tem,throughout,tri-,tube,tuber,typically,unit,unwinged,vary,wet,ympodial	arrangement,calyx,capitate,color,dehiscence,diminishing,erect,form,growth,height,history,inflorescence,leaf,length,life,na,petiolule,pseudostipule,shape,spacing,surface,texture,tuber-bearing,ye
8	wfo-0001025652	success	156	100	72	84	28	0.462	0.5-1,1,1.5-2,10-20,15-17,2-5,2-6,20-50,3-3.5,4-7,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,calyx,campanulate,closely,cm,connate,corolla,elliptic,fruit,furcate,glabrate,glabrous,greyish,growth,lateral,leaf,lobed,minutely,mm,nearly,occasionally,ovary,ovoid-reniform,pale,papillae,papillose,pedicel,petiole,pinkish-grey,pitted,planar,plant,poricidal,red-papillose,shape,shaped,shiny,shrub,simple,size,small,spaced,stem,stigma,straight,style,surface,tan,tear-drop,tightly,tip,tree,tube,white,x	.3,.5,1-1.5,15-19,2-3,3-5,3-5-flowered,4,4-6,9-11,abruptly,appearing,blade,broad,closed,completely,decurrent,densely,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,filament,fleshy,flower,free,geminat,green,greyi,growing,irregular,like,live,lobe,lon,long,lower,main,major,margin,matte,middle,minor,minute,narrowing,new,nflorescence,older,one,onto,opposite,overlappin,ovoid,pair,paler,papillo,parallel,pore,portion,rather,ry,scar,soon,specimen,strongly,tall,tapering,tear,thick,thicker,ud,unit,vein,wider,widest,wing,winged,ympodial,young	1.3,alternate,arrangement,color,connation,dehiscence,diameter,diminishing,distal,form,height,history,inflorescence,interjected,leaflet,length,life,na,overlapping,peduncle,petiolule,pseudostipule,seed,spacing,straightnes,terminal,texture,tuber-bearing
9	wfo-0001025653	success	218	86	51	167	35	0.234	.0,.3,.5,.7,.9,1.3,20,acuminate,anther,apart,apex,attenuate,bark,base,broad,brown,calyx,chartaceous,cm,corolla,diameter,flower,fruit,globolunate,lateral,leaf,least,long,mm,obtuse,ovate,pedicel,peduncle,persistent,petiole,reddish,rounded,scarcely,short,shrub,simple,stellate,stem,stigma,straight,style,subcordate,surface,truncate,tube,unbranched	.1,.2,.6,.8,0.1,0.13,0.15,0.2–0.4,0.3–0.5,0.3–0.8,0.6–1.6,0.7–1.1,0.8,1.0–1.6,1.1–1.3,1.3–1.8,1.6,1.9–3.3,1–1.5,2.3–3.2,2.5–4.0,2.6,4–6,5-merou,6–8,6–9,7–12,8–11,90°,abaxially,absent,adaxiall,adaxially,adnate,aequilateral,ag,alyx,among,anthesi,apical,apparently,appearing,around,articulate,axe,ba,blade,bud,channeled,clinate,congested,craspedodromous,cylindrical,deltoid,densely,developed,directed,distinct,dry,eaf,edge,eed,either,emerging,entire,erect,extending,extra-axillary,ferruginous,fertile,filament,filiform,free,glabrous,glandular,globose,hair,heterostylous,increasing,intact,internode,interpetalar,intersepalar,know,known,lanceolate,layer,less,lobe,lobed,lon,longer,low,lower,margin,mature,midpoint,midrib,midvein,minute,much,nflorescence,noticeably,oblique,occasionally,opaque,opposed,orolla,plurifoliat,pore,porrect,porrect-stellate,portion,potentially,prickl,prickle,primary,pubescent,raised,ray,reduced,remaining,restricted,rhizomatous,rigid,row,ruit,secondary,see,seen,sessile,short-stipitate,shorter,shot-stipitate,side,sinuate,sloughing,sparsely,splitting,spread,stamen,stellae,stellate-pubescent,stipe,stipitate,suture,tamen,tem,time,tip,tissue,transparent,truncat,two,ud,unarme,unarmed,vary,vein,well,wide,yellow-ferruginous,ympodia,young,±equal,±erect,×	0.2-0.4,0.6-1.6,1.3-1.8,2.3-3.2,2.5-4.0,arrangement,color,connation,dehiscence,diminishing,distal,form,growth,height,history,inflorescence,interjected,leaflet,length,life,na,ovary,papillae,perennial,petiolule,plant,pseudostipule,seed,shape,size,spacing,straightnes,terminal,texture,tuber-bearing
