coreid	type	description	rights	references	source	language	license	identifier
wfo-0001025652	distribution	In cloud forests of the E Andean slope in Ecuador and N Peru, from 1000 to 1700 m.		http://solanaceaesource.org/content/solanum-abitaguense		eng	http://creativecommons.org/licenses/by/3.0/	a530fc3d-9b5e-4562-a8af-c25168ccc854#distribution
wfo-0001025652	general	Shrub or small tree, 2-6 m tall; young stems and leaves densely red-papillose, the new growth appearing greyish and matte on live plants; stems fleshy and green, strongly winged, the wings 2-5 mm broad; bark of older stems soon glabrate, greyish.Sympodial units difoliate, geminate.Leaves elliptic, widest at the middle, glabrous and shiny above, paler below, occasionally minutely red-papillose on the veins below; major leaves 20-50 x 10-20 cm, with 15-17 parallel pairs of main lateral veins, the apex acute, the base acuminate, decurrent on the petiole and from there onto the stem; petioles strongly winged from the bases of the decurrent leaf blades, 4-7 cm long; minor leaves differing from the major ones only in size, 15-19 x 9-11 cm, the apex acute, the base acuminate, winged onto the petiole; petioles 1.5-2 cm long.Inflorescences opposite the leaves, simple or very occasionally furcate, 0.5-1 cm long, 3-5-flowered, minutely red-papillose like the young stems and leaves; pedicel scars closely spaced and overlapping. Buds ovoid, the calyx a completely closed envelope until just before anthesis, when the corolla emerges and tears the lobes. Pedicels at anthesis white and fleshy, 1.5-2 cm long, abruptly narrowing below the calyx tube, then tapering to 0.5-1 mm in diam. dry specimens (thicker in live plants).Flowers with the calyx tube campanulate, 3-3.5 mm long, occasionally minutely red-papillose, the lobes very irregular in shape, 3-5 mm long, the margins thick and white in dry specimens; corolla white, rather fleshy, 2-3 cm in diam., planar at anthesis, lobed nearly to the base, the corolla tube only 1 mm long, the lobes wider at the middle than at the base, the tips and margins of the lobes minutely papillose; anthers 4-6 x 1-1.5 mm, poricidal at the tips, the pores tear-drop shaped, the anthers tightly connate at anthesis; free portion of the filaments ca. 1 mm long, the filament tube ca. 0.5 mm long; ovary densely pinkish-grey papillose, the papillae minute in flower, growing with the fruit; style straight, ca. 1.3 cm long; stigma bilobed, the surface minutely papillose.Flowers with the calyx tube campanulate, 3-3.5 mm long, occasionally minutely red-papillose, the lobes very irregular in shape, 3-5 mm long, the margins thick and white in dry specimens; corolla white, rather fleshy, 2-3 cm in diam., planar at anthesis, lobed nearly to the base, the corolla tube only 1 mm long, the lobes wider at the middle than at the base, the tips and margins of the lobes minutely papillose; anthers 4-6 x 1-1.5 mm, poricidal at the tips, the pores tear-drop shaped, the anthers tightly connate at anthesis; free portion of the filaments ca. 1 mm long, the filament tube ca. 0.5 mm long; ovary densely pinkish-grey papillose, the papillae minute in flower, growing with the fruit; style straight, ca. 1.3 cm long; stigma bilobed, the surface minutely papillose.Seeds pale tan, ovoid-reniform, ca. 5 x 4 mm, the surfaces minutely pitted.		http://solanaceaesource.org/content/solanum-abitaguense		eng	http://creativecommons.org/licenses/by/3.0/	a530fc3d-9b5e-4562-a8af-c25168ccc854#general
wfo-0001025657	distribution	In scrub thickets on rocky or sandy stream banks and open waste lands along the Cordillera Central of Bolivia and the eastern Andean slopes of Argentina. Generally found at higher elevations from 900 to 3600 m.		http://solanaceaesource.org/content/solanum-abutiloides		eng	http://creativecommons.org/licenses/by/3.0/	5fb5c0c4-bb10-46e4-9cca-0bfcf63f6760#distribution
wfo-0001025657	general	Shrubs or trees, 1-3 m tall, unarmed. Bark of older stems yellowish brown; young branches terete, yellowish green, persistently soft granular tomentose with stellate hairs, the hairs mixed short- and long-stalked, multangulate and dendritic-multangulate, glandular.Sympodial units plurifoliate, axillary leaves usually present, ovate to narrowly ovate.Leaves simple, the blades 7-27 x 6-12 cm, ca. 1-2 times as long as wide, ovate, often broadly so, chartaceous, strongly scented, dark green, velutinous-pubescent adaxially, the hairs spaced to overlapping, mixed sessile and short-stalked, porrect-stellate with especially long central rays, the surface stipitate-glandular at 12x magnification, pale green, tomentose-pubescent abaxially, the hairs mixed sessile and short-stalked, multangulate, in part glandular, hair surfaces minutely stipitate-glandular, unarmed; main lateral veins 6-8 on each side of midrib; base cordate; margin entire; apex acute; petioles 2-10 cm, ca. 1/3 the length of the blades, soft granular tomentose-pubescent, the hairs sessile, short and partly long, thick-stalked, multangulate and dendritic-multangulate.Inflorescences 5-14 cm, pseudo-terminal, branched, with 25-60 flowers, the axes unarmed, lanate-pubescent, the hairs short to long, thin-stalked, multangulate, dendritic-multangulate, glandular; peduncle 8.3-12 x 0.1-0.4 cm; rachis 0.5-2.5 cm; pedicels 3-6 mm in flower, 5-16 mm in fruit, closely spaced 2-3.5 mm apart, slightly expanded at the base, articulated at the base.Buds 7-9 mm long at anthesis, oblong to elliptic; corolla lanate-pubescent in bud, the hairs mixed sessile and short-stalked, multangulate, glandular; calyx lobe sutures not evident, the calyx splitting open early. Flowers all apparently perfect; calyx subcampanulate, 7-9.5 mm long, the tube 3-4 mm, lobed 2/3 way to the base to nearly parted, the lobes 2.5-9.3 x 2.2-5.5 mm in flower, lanceolate to semi-ovate, subcoriaceous, densely stellate-pubescent abaxially with most hairs sessile, some short-stalked, simple glandular and porrect-stellate pubescent with long central glandular rays adaxially in upper two-thirds of lobes, the hairs transparent, calyx and hair surfaces minutely stipitate-multangulate; fruiting calyx somewhat accrescent, the lobes 6.5-10 x 3.2-6 mm. Corolla 1.5-1.8 cm in diameter, 8-10.5 mm long, stellate, chartaceous but appearing thickened due to dense pubescence, white to bluish (also reportedly light yellow), weakly exserted from calyx at anthesis, the tube 4-4.5 mm, the lobes 4-7 x 3-4.8 mm, ovate-lanceolate, densely stellate-pubescent abaxially with most hairs sessile, some short-stalked, glabrous adaxially or with occasional simple and few-rayed porrect-stellate hairs at tips. Stamens with filaments 1.3-2 mm, inserted on corolla tube 1.7-1.9 mm above base, glabrous; anthers 2.7-4.3 x 1-1.6 mm, oblong, blunt-tipped, yellow, free, poricidal at the tips, the pores directed distally and somewhat adaxially, farinose around edges, lengthening to longitudinal slits with age. Ovary conical, tomentose-pubescent, the hairs mixed sessile and short-stalked, simple and multangulate with some long ascending rays; style 4-4.4 x 0.2-0.4 mm, exserted exerted from stamens, cylindrical, glabrous or with few porrect-stellate hairs on lower half; stigma capitate.Fruit a fleshy berry, 1-1.1 cm in diameter, conical to orbicular, obtuse at apex, yellow when ripe, dark brown when dried, the tomentum persistent, the hairs mixed sessile and short-stalked, simple and multangulate with some long ascending rays. Seeds 1.2-1.5 x 1-1.3 mm, deltoid or suborbicular, yellowish tan, the surface reticulate-punctate.		http://solanaceaesource.org/content/solanum-abutiloides		eng	http://creativecommons.org/licenses/by/3.0/	5fb5c0c4-bb10-46e4-9cca-0bfcf63f6760#general
wfo-0001025669	distribution	Solanum acaule is widespread and common in upland habitats from northern Peru (Dept. Cajamarca), south through Bolivia to northern Argentina (Prov. San Juan), and with one record in northern Chile (Antofagasta Region), on dry rocky hillsides, high puna, among herbs, spiny shrubs and low woods, along streamsides, dry river beds and alluvial cones, (2000) 2400-4700 m in elevation.		http://solanaceaesource.org/content/solanum-acaule		eng	http://creativecommons.org/licenses/by/3.0/	53de83bd-6f05-462e-8657-71265e80b776#distribution
wfo-0001025669	general	"Herbs 0.1-0.3 m tall, rosette forming to erect. Stems 2-4 mm in diameter at base of plant, green, sometimes purple or green and purple mottled, unwinged, subglabrous to moderately pubescent with short multicellular hairs; tubers typically placed one at the end of each stolon.Sympodial units tri- to plurifoliate, not geminate.Leaves odd-pinnate, the blades 9-24.5 x 2.2-6 cm, green, membranous to chartaceous, subglabrous to moderately pubescent adaxially and abaxially with hairs like those of the stems; lateral leaflet pairs 4-6, subequal except for the most proximal 1-2 pairs that are greatly reduced in size, to unequal with the most distal pairs clearly larger; most distal lateral leaflets 1.6-4.4 x 0.8-2.4 cm, broadly ovate to broadly elliptic, the apex obtuse, the base typically oblique to cuneate, sessile and broadly decurrent to petiolulate with petiolules up to 2 mm long; terminal leaflet 2.4-7 x 1.3-4.2 cm, orbicular to very broadly obovate, the apex rounded to obtuse, the base truncate to cuneate; interjected leaflets 0-7, sessile to short petiolulate, ovate to orbicular, petiolules 0-5 mm; petioles 2.2-6.5 cm, pubescent as the stems. Pseudostipules absent to minute and scale-like to 1 mm long, pubescent with hairs like those of the stem.Inflorescences 3-7 cm, distinct in this species, typically a monochasium with an ""extra"" flower at its base (see discussion), often near the base but sometimes in the distal half of the plant, unbranched, with 1-4 flowers, with all flowers apparently perfect, the axes pubescent with hairs like those of the stem; peduncle highly contracted and often single flowered, 1-4 mm long; pedicels 13-35 mm long in flower and fruit, spaced 1-10 mm apart, articulation absent.Flowers homostylous, 5-merous. Calyx 3-5 mm long, the tube 1-2 mm, the lobes 1-4 mm, acute to acuminate, the acumens 1-3 mm long, with hairs like those of the stem. Corolla 1.4-2.5 cm in diameter, rotate, blue to more rarely white or blue and white streaked adaxially and abaxially, the tube 1-2 mm long, the acumens 0-1 mm long, the corolla edges flat, not folded dorsally, glabrous adaxially, minutely puberulent abaxially, especially along the midribs, ciliate at the margins, especially at the tips of the corollas. Stamens with the filaments 1-2 mm long; anthers 2-3 mm long, lanceolate, connivent, yellow, poricidal at the tips, the pores lengthening to slits with age. Ovary glabrous; style ca. 3.5 mm x ca. 1 mm, exceeding stamens by ca. 1 mm, straight, glabrous; stigma clavate to capitate.Fruit a globose to slightly ovoid berry, 1-2 cm wide, 1-2.2 cm long, green to green tinged with purple when ripe, glabrous.Seeds from living specimens ovoid and ca. 2 mm long, whitish to greenish in fresh condition and drying brownish, with a thick covering of “hair-like” lateral walls of the testal cells that make the seeds mucilaginous when wet, green-white throughout; testal cells honeycomb-shaped when lateral walls removed by enzyme digestion."		http://solanaceaesource.org/content/solanum-acaule		eng	http://creativecommons.org/licenses/by/3.0/	53de83bd-6f05-462e-8657-71265e80b776#general
wfo-0001025697	distribution	Central Peru (Depts. Huánuco and Pasco), on creeks in the Andes, growing on rich soils, among herbs or shrubs, 2025-3800 m in elevation.		http://solanaceaesource.org/content/solanum-acroglossum		eng	http://creativecommons.org/licenses/by/3.0/	f5a3862c-511f-4cd0-a169-b9c5df6050c9#distribution
wfo-0001025697	general	Herbs 0.15-0.75 m tall, erect. Stems 2-6 mm in diameter at base of plant, unwinged, glabrous, woody.Sympodial units tri- to plurifoliate, not geminate.Leaves odd-pinnate, the blades 6.5-13.5 x 3.3-11 cm, light green abaxially and dark green adaxially, coriaceous, glabrous adaxially, glabrous to glabrescent with very short hairs abaxially; lateral leaflet pairs 2-4, decreasing in size toward the leaf base, with the terminal leaflet generally subequal to the laterals; most distal lateral leaflets 2-10.5 x 0.6-3.5 cm, ovate to elliptic, the apex acute to acuminate, the base typically sessile and attenuate to rounded, asymmetric with more tissue on the basiscopic side, slightly decurrent on the rachis; terminal leaflet 4-7.5 x 2-2.6 cm, ovate to elliptic, the apex acute to acuminate, the base attenuate; interjected leaflets 0-14, sessile to short petiolulate, ovate to orbicular; petioles 1-1.7 cm, glabrous. Pseudostipules 3-6 mm long, glabrous to subglabrous.Inflorescences 5.5-11.5 cm, terminal with a subtending axillary bud, generally in distal half of the plant, usually forked, with 10-26 flowers, with all flowers apparently perfect, the axes glabrous; peduncle 1.7-8.6 cm long; pedicels 25-35 mm long in flower and fruit, spaced 3-5 mm apart, articulated high in the distal half.Flowers homostylous, 5-merous. Calyx 3-10 mm long, the tube 1-3 mm, the lobes ca. 8-9 mm, ovate to lanceolate, with linear acumens 3-4 mm long, glabrous. Corolla 3-4 cm in diameter, pentagonal to rotate, lilac to blue, the tube 1-2 mm long, the acumens 0.8-2 mm long, the corolla edges flat, not folded dorsally, glabrous abaxially and adaxially. Stamens with the filaments 1-2 mm long; anthers 3-6 mm long, lanceolate, connivent, yellow, poricidal at the tips, the pores lengthening to slits with age. Ovary glabrous; style 3-10 mm x ca. 1 mm, exceeding stamens by 3-4 mm, straight, glabrous; stigma clavate to capitate.Fruit a globose berry, 1.5-1.8 cm in diameter, medium to deep green with purple stripes when ripe, glabrous.Seeds from living specimens ovoid and ca. 2 mm long, whitish to greenish in fresh condition and drying brownish, with a thick covering of “hair-like” lateral walls of the testal cells that make the seeds mucilaginous when wet, green-white throughout; testal cells honeycomb-shaped when lateral walls removed by enzyme digestion.		http://solanaceaesource.org/content/solanum-acroglossum		eng	http://creativecommons.org/licenses/by/3.0/	f5a3862c-511f-4cd0-a169-b9c5df6050c9#general
wfo-0001025699	distribution	Endemic to Jamaica, where it occurs in woods on limestone hills in the cloud forests of primarily the John Crow Mountains from 100-500 m.		http://solanaceaesource.org/content/solanum-acropterum		eng	http://creativecommons.org/licenses/by/3.0/	1e22bd6b-1a0d-4d52-be62-0bbad88f8f7c#distribution
wfo-0001025699	general	Small trees to 10 m; stems erect, completely glabrous; bark pale grey-brown when young, darker red on older stems; new growth glabrous.Sympodial units plurifoliate, appearing difoliate, but the inflorescence one per stem on short shoots.Leaves simple, (2)5.5-14 x (1)3-5.5 cm, elliptic, glabrous on both surfaces, when dry densely white-spotted with crystal sand (oxalate inclusions), darker green adaxially (fide Stearn 499), the base acute to somewhat attenuate, the margins entire, the apex acute, rounded at the very tip; primary veins 5-8 pairs, drying yellow on older leaves, reddish on young leaves; petiole 1-2.5 cm, glabrous, markedly corrugated.Inflorescences leaf-opposed and on short leafy shoots, 2-6 cm, branching 1-3 times, with 3-15 flowers, completely glabrous, the peduncle almost absent to 2cm; pedicels 15-20 mm, strongly and conspicuously 5-winged from the midrib of the calyx lobes, glabrous, nodding at anthesis, ca. 5 mm in diameter at the apex, ca. 1 mm in diameter at the base, the wings to 1.5 mm wide; pedicel scars irregularly spaced 1-2 mm apart, the pedicels articulating slightly above the base leaving a peg 1-3 mm on the inflorescence. Buds ellipsoid, the corolla ca. ½ way exerted from the calyx tube, included in the lobes.Flowers apparently all perfect; calyx tube 3-3.5 mm, cup-shaped, glabrous, the lobes 3-8 mm, narrowly triangular to lanceolate, winged abaxially, the wing continuing onto the pedicel, glabrous, the apex rounded; corolla 2-2.5 cm in diameter, white, lobed 1/3 to ½ way to the base, the lobes ca. 1 cm, deltate to narrowly deltate, campanulate at anthesis, minutely papillose with tangled white trichomes at the tips; filaments with the free portion 1.5-2 mm, the filament tube less than 0.5 mm, glabrous; anthers 4-5 x 1-1.5 mm, the dorsal face thickened and darker when dry, slightly rounded-sagittate at the base, poricidal at the tips, the pores lengthening to slits with age; ovary conical, glabrous, the style 8-9 mm, straight, glabrous, the stigma minutely capitate, the surface papillate.Fruit a globose berry, becoming ellipsoid, ca. 1.2 x 1 cm (immature), green; fruiting pedicels ca. 2 cm, ca. 1.5 mm in diameter at the base, woody, pendent.Seeds ca. 3 x 2 mm, rounded reniform (immature), dark brown, the surfaces minutely reticulate-pitted.		http://solanaceaesource.org/content/solanum-acropterum		eng	http://creativecommons.org/licenses/by/3.0/	1e22bd6b-1a0d-4d52-be62-0bbad88f8f7c#general
