coreid	scientificNameID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	namePublishedInID	acceptedNameUsageID	taxonomicStatus	originalNameUsageID	taxonRemarks	created	modified	references	kingdom	nomenclaturalCode	bibliographicCitation	rightsHolder	license	rights
wfo-0001025652		Solanum abitaguense	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		abitaguense		sp.		"""S.Knapp, Brittonia 38: 290. 1986., 1986."""	sol-0001025652		accepted					http://solanaceaesource.org/solanaceae/solanum-abitaguense	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025657		Solanum abutiloides	SPECIES	wfo-4000035688	(Griseb.) Bitter & Lillo	Solanaceae				Solanum 		abutiloides		sp.		"""(G. ) B. & Lillo, Repert. Spec. Nov. Regni Veg. 12: 136. 1913., 1913."""	sol-0001025657		accepted					http://solanaceaesource.org/solanaceae/solanum-abutiloides	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025669		Solanum acaule	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		acaule		sp.		"""Bitter, Repert. Spec. Nov. Regni Veg. 11: 391. 1912., 1912."""	sol-0001025669		accepted					http://solanaceaesource.org/solanaceae/solanum-acaule	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025697		Solanum acroglossum	SPECIES	wfo-4000035688	Juz.	Solanaceae				Solanum 		acroglossum		sp.		"""Juz., Izv. Akad. Nauk SSSR, Ser. Biol. 2: 313. 1937., 1937."""	sol-0001025697		accepted					http://solanaceaesource.org/solanaceae/solanum-acroglossum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025699		Solanum acropterum	SPECIES	wfo-4000035688	Griseb.	Solanaceae				Solanum 		acropterum		sp.		"""Griseb., Fl. Brit. W.I. 437. 1862., 1862."""	sol-0001025699		accepted					http://solanaceaesource.org/solanaceae/solanum-acropterum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025700		Solanum acroscopicum	SPECIES	wfo-4000035688	Ochoa	Solanaceae				Solanum 		acroscopicum		sp.		"""Ochoa, Agronom?a (Lima) 18: 130. 1953., 1954."""	sol-0001025700		accepted					http://solanaceaesource.org/solanaceae/solanum-acroscopicum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025704		Solanum aculeastrum	SPECIES	wfo-4000035688	Dunal	Solanaceae				Solanum 		aculeastrum		sp.		"""Dunal, (D. ) Dunal, Dunal, and B.  ex Dunal, Prodr. [A. P. de Candolle] 13(1): 366. 1852., 1852."""	sol-0001025704		accepted					http://solanaceaesource.org/solanaceae/solanum-aculeastrum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025729		Solanum acuminatum	SPECIES	wfo-4000035688	Ruiz & Pav.	Solanaceae				Solanum 		acuminatum		sp.		"""R. & Pav., Fl. Peruv. [Ruiz & Pavon] 2: 34, t. 159. 1799., 1799."""	sol-0001025729		accepted					http://solanaceaesource.org/solanaceae/solanum-acuminatum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025749		Solanum adoense	SPECIES	wfo-4000035688	Hochst. ex A.Rich.	Solanaceae				Solanum 		adoense		sp.		"""H.  ex A.Rich., Tent. Fl. Abyss. 2: 105. 1850 [1851]., 1851."""	sol-0001025749		accepted					http://solanaceaesource.org/solanaceae/solanum-adoense	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025754		Solanum adscendens	SPECIES	wfo-4000035688	Sendtn.	Solanaceae				Solanum 		adscendens		sp.		"""Sendtn., in Mart., Fl. Bras 10: 17, tab. 1, fig. 9-12. 1846., 1846."""	sol-0001025754		accepted					http://solanaceaesource.org/solanaceae/solanum-adscendens	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
