	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025636	invalid_json_followup	208	104	60	148	44	0.288	0.1-0.3,1-10,1-2,1-3.5,1-5,1-5.5,1.4-3.5,10-45,2.5-6,6.5-10,abaxially,adaxially,anther,apex,blue,broadly,cell,clavate,cm,corolla,covering,diameter,elliptic,filament,flower,fruit,glabrous,globose,green,greenish,herb,lateral,margin,minutely,mm,moderately,mottled,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,plant,puberulent,pubescent,purple,rotate,rotate-pentagonal,seed,slightly,stem,stigma,style,subglabrous,testal,thick,wall,whitish,yellow	0-2,0-5,0.1,0.6-2.8,1,1-2.2,1-3,1-4,1.1-6.1,1.7-5.2,1.7-9.2,1.8,2,2-4,2.6-8.3,3-5,3-6,5-merou,9.5-29.5,absent,acumen,acuminate,acute,ag,along,alyx,apart,apparently,articulated,axe,base,berry,blade,brownish,capitat,chartaceous,ciliate,clearly,condition,connivent,contracted,cuneate,decurrent,digestion,distal,dorsally,drying,eaf,edge,eed,end,enzyme,especially,exceeding,except,flat,folded,fresh,geminat,generally,glabrou,greatly,green-white,hair,hair-like,hal,half,high,highly,homostylous,honeycomb-shaped,interjected,lanceolate,larger,leaflet,lengthening,like,living,lobe,long,longer,lower,make,membranous,midrib,minute,mucilaginous,multicellular,near,nflorescence,oblique,obovate,obtuse,often,orbicular,orne,orolla,pair,perfect,petiolulate,petiolule,plurifoliate,pore,poricidal,proximal,reduced,removed,ripe,rosette-forming,rounded,ruit,scale-like,semierec,sessile,seudostipule,short,singly,size,slit,sometimes,spaced,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,terminal,throughout,tip,tri-,truncate,tube,tuber,typically,unequal,unforked,unit,unwinged,uppermost,vary,wet,wide,x,ympodial	'',0.1-1.8,[,\u201chair-like\u201d,``,abaxial,adaxial,arrangement,bark,bud,calyx,capitate,center,characteristic,colour,form,fruiting,growth,height,history,inflorescence,leaf,length,life,na,new,number,ovary,perennial,position,prickle,rachi,reproduction,scar,shape,spacing,staman,surface,texture,trichome,value,width,{,}
1	wfo-0001025637	success	193	119	91	102	28	0.472	0-0.3,0.2-0.9,1-12,1-2,14-38,2-20,2.5-8,2.8-4.2,3-10,3-4,3-5,5-7,abaxially,acuminate,acute,adaxially,along,anther,apex,axillary,base,bead,blue,brownish,bud,cell,clavate,cm,condition,coriaceous,corolla,covering,cuneate,dark,deep,diameter,dot,drying,elliptic,filament,flower,forked,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair-like,herb,interjected,lanceolate,lateral,leaf,leaflet,light,like,lilac,medium,mm,moniliform,necklace,odd-pinnate,onto,ovoid,pedicel,peduncle,pentagonal,petiole,plant,plurifoliate,rachi,rotate,seed,stigma,stolon,stripe,style,subtending,terminal,testal,thick,tiny,tri-,tuber,unit,wall,white,whitish,yellow	0-27,0.2-0.5,0.3-0.5,0.8-2.6,1-2.5,1-5,1.2-3.5,1.5-5,1.6-2.5,2-3,2-7,3-9,4-6,5-merou,acumen,adaxiall,ag,alyx,apart,apparently,arranged,articulated,attenuate,axe,berry,blade,capitat,connivent,decreasing,decurrent,digestion,distal,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,folded,geminat,generally,glabrou,green-white,hair,hal,half,high,homostylous,honeycomb-shaped,lengthening,linear,living,lobe,long,lower,make,mottled,mucilaginous,multiple,nflorescence,orolla,ovate,pair,perfect,petiolulate,petiolule,pore,poricidal,purple,removed,ripe,rounded,ruit,secondary,seudostipule,short,size,slit,sometimes,spaced,specimen,stamen,straight,subequal,symmetric,tall,tamen,tem,throughout,tip,toward,tube,typically,unwinged,usually,vary,wet,wide,x,ympodial	abaxial,adaxial,arrangement,capitate,colour,decurren,form,geminate,growth,height,history,inflorescence,length,life,na,number,ovary,perennial,position,pseudostipule,reproduction,shape,spacing,staman,surface,sympodial,texture,width
2	wfo-0001025639	success	154	100	70	84	30	0.455	1-2,1-3,1-4,2-3.5,2.8-3.2,20-35,4-10,4.5-8.5,5-10,6-8,8-12,8-9,acuminate,acute,apex,apical,base,branched,broadly,cell,cm,corolla,cuneate,cyme,dark,diameter,dichasial,dichasially,distal,ebracteate,elliptic,elliptical,filament,flower,globose,green,green-white,half,herbaceous,honeycomb,interjected,introrse,leaf,leaflet,medium,mm,monochasial,obovate,odd-pinnate,ovate,ovoid,pattern,pedicel,peduncle,perennial,petiole,plant,puberulent,pubescent,rotate,seed,short,slit,stigma,style,terminal,tuber-bearing,violet,white,yellow	10-21,2-3,3-4,3-5,3-6,3-6-foliat,3.5-7,5-1.,5-8,6-12,abaxially,acumen,adaxially,apically,articulate,belo,calyx,connate,covering,dehiscent,digestion,diminishing,dorsally,eaf,edge,eed,emoval,enzyme,exceeding,flat,folded,forked,frequently,generally,globo,gradually,hair-like,lateral,lobe,lon,long,long-attenuate,lower,lunat,make,maturing,mucilaginous,nflorescence,nther,oblique,often,orolla,pair,perfect,petiolule,plan,poricidally,present,produced,proximal,rare,reveal,ruit,seudostipule,size,sometimes,stamen,straight,tal,tem,testal,thick,throughou,throughout,top,toward,truncate,typically,unit,vary,wall,wide,ympodial,¼	5-15,abaxial,adaxial,anther,arrangement,center,colour,form,fruit,growth,height,history,inflorescence,length,life,lunate,na,number,ovary,position,pseudostipule,rachi,reproduction,shape,spacing,staman,surface,texture,width,ye
3	wfo-0001025642	success	149	70	43	106	27	0.289	0.3-0.4,1-2.7,1-3.2,1-4,1.5-2.5,10-20,2-10,5-6,9-12,apex,branched,cell,cm,corolla,diameter,dichasially,distal,filament,flower,globose,green,green-white,half,herbaceous,lanceolate,leaf,mm,mucilaginous,obtuse,odd-pinnate,ovoid,pedicel,peduncle,perennial,petiole,plant,puberulent,seed,stellate,stigma,style,throughout,yellow	1,1-2,1-2.5,1-3,2-3,3,3-5,3-6-foliat,3.5-6,4-7.5,4.5-8,5.5-7,7-11.5,8-13,abaxially,absen,absent,acumen,acuminate,acute,adaxially,apical,apically,apiculate,articulate,attenuate,base,calyx,connate,covering,cyme,dehiscent,dichasial,digestion,diminishing,dorsally,eaf,ebracteate,edge,eed,elliptic,elliptic-lanceolate,emoval,enzyme,exceeding,flat,folded,forked,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,lanceolat,lateral,leaflet,living,lobe,lon,long,lower,lunate,make,maturing,monochasial,nflorescence,nther,oblique,often,orolla,pair,pattern,perfect,plan,poricidally,present,proximal,reveal,ruit,sessile,seudostipule,short,size,slit,specimen,stamen,straight,tal,tem,terminal,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,wide,without,ympodial,¼	abaxial,adaxial,anther,arrangement,center,colour,form,fruit,growth,height,history,inflorescence,length,life,na,number,ovary,position,rachi,reproduction,shape,spacing,staman,surface,texture,white,width
4	wfo-0001025644	invalid_json_followup	204	114	73	131	41	0.358	1-10,1-2,1.3-2.1,10-11,13-21,2-3,2.5-6,25-50,3-10,4-19,4-6,abaxially,adaxially,anther,apex,axillary,blue,broadly,bud,cell,ciliate,clavate,cm,corolla,covering,denticulate,diameter,elliptic,filament,finely,flower,forked,fruit,glabrous,globose,green,greenish,hair,herb,invested,lateral,like,margin,minutely,mm,multicellular,non-glandular,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,puberulent,pubescent,seed,short,stem,stigma,style,subtending,terminal,testal,thick,tinged,trichome,uniseriate,wall,white,whitish,yellow	.3,0-5,0.8-1.5,10,12-28,2,2-4,2.4-4,2.5-11,3-4,3-5,3.3-8.2,4.5-9.5,5-merou,6-7,6.5-13,absent,acumen,acuminate,acute,ag,almost,along,always,alyx,apart,apparently,articulated,attenuate,axe,base,berry,blade,brownish,c.,capitat,chartaceous,condition,connivent,cordate,cuneate,digestion,distal,dorsally,drying,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,flat,folded,fresh,geminat,generally,glabrou,greatly,green-white,hair-like,half,homostylous,honeycomb-shaped,interjected,lanceolate,leaflet,lengthening,living,lobe,long,lower,make,membranous,middl,midrib,mottled,mucilaginous,nflorescence,oblique,often,one,orbicular,orolla,pair,perfect,petiolule,placed,plurifoliate,pore,poricidal,proximal,purple,rarely,reduced,removed,rounded,ruit,sessile,seudostipule,shallowly,size,slit,spaced,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,throughout,tip,tri-,truncate,tube,tuber,typically,unit,usually,vary,well-developed,wet,wing,winged,x,ympodial	'',[,\u201chair-like\u201d,``,abaxial,adaxial,arrangement,bark,calyx,capitate,center,characteristic,colour,form,fruiting,growth,height,history,inflorescence,leaf,length,life,na,new,number,ovary,perennial,position,prickle,rachi,reproduction,scar,shape,spacing,staman,surface,texture,value,width,{,}
5	wfo-0001025645	success	150	75	49	101	26	0.327	0.3-0.8,1-3.5,1-4,10-11,12-17,15-25,2-4.5,2.5,5-5.5,acute,apex,branched,cell,cm,corolla,cyme,diameter,dichasial,dichasially,distal,ebracteate,elliptic-lanceolate,filament,flower,glabrous,globose,green,green-white,half,herbaceous,lanceolate,leaf,mm,monochasial,odd-pinnate,ovoid,pedicel,peduncle,perennial,petiole,plant,puberulent,rachi,seed,stellate,stigma,style,throughout,yellow	0.5-1,0.8,1-2,10-16,2-3,3-5.5,3-6-foliat,4-12,4-5,4-6,4-7,5,8-10,abaxially,absen,acumen,acuminate,adaxially,apical,apically,articulate,base,calyx,connate,covering,cuneate,decurrent,dehiscent,digestion,diminishing,dorsally,eaf,edge,eed,elliptic,emoval,enzyme,exceeding,flat,folded,forked,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,larger,lateral,leaflet,living,lobe,lon,long,lower,lunat,make,maturing,mucilaginous,mucronate,nflorescence,nther,oblique,oblong,often,orolla,pair,pattern,perfect,plan,poricidally,proximal,reveal,ruit,second,sessile,seudostipule,short,size,slit,specimen,stamen,straight,tal,tem,terminal,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,wide,without,ympodial,¼	abaxial,adaxial,anther,arrangement,center,colour,form,fruit,growth,height,history,inflorescence,length,life,na,number,ovary,position,reproduction,shape,spacing,staman,surface,texture,white,width
6	wfo-0001025646	success	136	91	63	73	28	0.463	0.25-0.4,0.6-3,0.7-3.5,1-4,1-7,1.1-1.4,2-3,3.2-6,4-10,4-5,7-8,abruptly,acuminate,acute,apex,articulate,base,branched,cm,corolla,cuneate,cyme,diameter,dichasial,dichasially,diminishing,distal,ebracteate,elliptic,filament,flower,fruit,globose,gradually,half,herbaceous,interjected,lateral,leaf,leaflet,mm,monochasial,obovate,odd-pinnate,ovary,ovate,pedicel,peduncle,pentagonal,perennial,petiole,plant,probably,proximal,puberulent,size,stigma,strigose,style,terminal,toward,yellow,¼	0-.,0.5-2.1,0.6-2.3,1.1-4.5,1.2,1.2-7.0,1.5-3,2-4,2.3-9.0,2.5-3,3,3-6-foliat,3.5-7,4-15.5,abaxially,acumen,adaxially,apical,apically,apiculate,attenuate,ature,calyx,caudate,connate,decurrent,dehiscent,dorsally,eaf,edge,eed,exceeding,flat,folded,forked,generally,globo,introrse,like,lobe,lon,long,lower,lunat,maturing,nflorescence,nther,oblique,often,orolla,pair,perfect,petiolule,plan,poricidally,seen,sessile,seudostipule,short,slightly,slit,sometimes,stamen,straight,tal,tem,tuber-bearing,typically,unit,vary,whit,wide,ympodial	0-4,abaxial,adaxial,anther,arrangement,colour,form,growth,height,history,inflorescence,length,life,lunate,na,number,position,pseudostipule,rachi,reproduction,seed,shape,spacing,staman,surface,texture,white,width
7	wfo-0001025647	success	194	93	65	129	28	0.335	0.06-0.24,0.8-3,1-10,1-2,1.2-3,1.4-5,2,2-4,2-5,2.5-3,4-10,5-6,abaxially,adaxially,anther,apex,axillary,blue,cell,clavate,cm,corolla,covering,densely,diameter,elliptic,filament,flower,fruit,glabrous,globose,green,greenish,hair,hair-like,herb,lateral,light,like,linear,minutely,mm,moderately,narrowly,odd-pinnate,ovoid,pedicel,peduncle,petiole,plant,puberulent,pubescent,rotate,scale-like,seed,stem,stigma,style,testal,thick,tuber,unbranched,wall,whitish,yellow	0-4,0.4-1.5,0.6-3,1,1-3,1-5,1.3-2.9,1.5-5,1.5-5.5,2-3,3-6,4-6,5-merou,6.2-11,absent,acumen,acute,ag,along,alyx,apart,apparently,articulated,attenuate,axe,base,berry,blade,borne,broadly,brownish,bud,capitat,chartaceous,ciliate,condition,connivent,decurrent,digestion,distal,dorsally,drying,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,flat,folded,forming,frequently,fresh,geminat,glabrou,greatly,green-white,hal,half,high,homostylous,honeycomb-shaped,interjected,lanceolate,leaflet,lengthening,living,lobe,long,lower,make,margin,membranous,midrib,mucilaginous,multicellular,near,nflorescence,oblique,obtuse,often,orbicular,orolla,ovate,pair,perfect,petiolulate,plurifoliate,pore,poricidal,proximal,reduced,removed,ripe,rosette,ruit,sessile,seudostipule,short,singly,size,slit,sometimes,spaced,specimen,stamen,ste,stolo,straight,subequal,subtending,tall,tamen,tem,terminal,throughout,tip,tri-,tube,typically,unit,unwinged,vary,wet,x,ympodial	abaxial,adaxial,arrangement,capitate,colour,form,growth,height,history,inflorescence,leaf,length,life,na,number,ovary,perennial,position,pseudostipule,rachi,reproduction,shape,spacing,staman,stolon,surface,texture,width
8	wfo-0001025652	success	156	99	70	86	29	0.449	.3,0.5-1,1-1.5,1.5-2,2-3,2-6,3-3.5,3-5,4-6,4-7,acute,anther,anthesi,apex,bark,base,bilobed,calyx,campanulate,closely,cm,corolla,elliptic,filament,fleshy,flower,fruit,furcate,glabrate,glabrous,green,greyish,growth,leaf,lobed,margin,matte,minutely,mm,nearly,new,occasionally,opposite,ovary,ovoid,ovoid-reniform,pale,paler,pedicel,petiole,pitted,planar,plant,scar,shape,shiny,shrub,simple,small,spaced,stem,stigma,strongly,style,surface,tan,tree,white,winged,x	.5,1,10-20,15-17,15-19,2-5,20-50,3-5-flowered,4,9-11,abruptly,acuminate,appearing,blade,broad,closed,completely,connate,decurrent,densely,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,free,geminat,greyi,growing,irregular,lateral,like,live,lobe,lon,long,lower,main,major,middle,minor,minute,narrowing,nflorescence,older,one,onto,overlappin,pair,papillae,papillo,papillose,parallel,pinkish-grey,pore,poricidal,portion,rather,red-papillose,ry,shaped,size,soon,specimen,straight,tall,tapering,tear,tear-drop,thick,thicker,tightly,tip,tube,ud,unit,vein,wider,widest,wing,ympodial,young	abaxial,adaxial,arrangement,bud,cell,center,colour,diameter,form,fruiting,height,history,inflorescence,length,life,na,number,overlapping,peduncle,perennial,position,rachi,reproduction,seed,spacing,staman,texture,trichome,width
9	wfo-0001025653	invalid_json_followup	218	96	56	162	40	0.257	.0,.3,.5,.6,.7,.8,.9,1.3,20,anther,apart,apex,bark,brown,bud,calyx,chartaceous,cm,corolla,densely,diameter,extra-axillary,filament,flower,fruit,glabrous,globose,heterostylous,lateral,leaf,least,lobed,long,margin,mm,obtuse,ovate,pedicel,peduncle,petiole,prickle,pubescent,reddish,rhizomatous,short,shrub,simple,sinuate,stellate,stem,stigma,straight,style,surface,truncate,unbranched	.1,.2,0.1,0.13,0.15,0.2–0.4,0.3–0.5,0.3–0.8,0.6–1.6,0.7–1.1,0.8,1.0–1.6,1.1–1.3,1.3–1.8,1.6,1.9–3.3,1–1.5,2.3–3.2,2.5–4.0,2.6,4–6,5-merou,6–8,6–9,7–12,8–11,90°,abaxially,absent,acuminate,adaxiall,adaxially,adnate,aequilateral,ag,alyx,among,anthesi,apical,apparently,appearing,around,articulate,attenuate,axe,ba,base,blade,broad,channeled,clinate,congested,craspedodromous,cylindrical,deltoid,developed,directed,distinct,dry,eaf,edge,eed,either,emerging,entire,erect,extending,ferruginous,fertile,filiform,free,glandular,globolunate,hair,increasing,intact,internode,interpetalar,intersepalar,know,known,lanceolate,layer,less,lobe,lon,longer,low,lower,mature,midpoint,midrib,midvein,minute,much,nflorescence,noticeably,oblique,occasionally,opaque,opposed,orolla,persistent,plurifoliat,pore,porrect,porrect-stellate,portion,potentially,prickl,primary,raised,ray,reduced,remaining,restricted,rigid,rounded,row,ruit,scarcely,secondary,see,seen,sessile,short-stipitate,shorter,shot-stipitate,side,sloughing,sparsely,splitting,spread,stamen,stellae,stellate-pubescent,stipe,stipitate,subcordate,suture,tamen,tem,time,tip,tissue,transparent,truncat,tube,two,ud,unarme,unarmed,vary,vein,well,wide,yellow-ferruginous,ympodia,young,±equal,±erect,×	'',0.6-1.6,5-merous,6-8,[,``,abaxial,adaxial,arrangement,cell,center,characteristic,colour,form,fruiting,growth,height,history,inflorescence,length,life,na,new,number,ovary,plant,position,rachi,reproduction,scar,seed,shape,spacing,staman,texture,trichome,value,width,{,}
