	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025652	success	156	124	84	72	40	0.538	.3,.5,0.5-1,1-1.5,1.5-2,10-20,15-17,2-3,2-6,20-50,4,4-6,4-7,abruptly,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,calyx,closed,cm,completely,corolla,decurrent,dia,elliptic,envelope,filament,fleshy,fruit,furcate,glabrous,green,greyish,growth,lateral,leaf,lobe,main,margin,matte,minutely,mm,narrowing,nearly,new,occasionally,onto,opposite,ovary,ovoid,ovoid-reniform,pair,pale,parallel,pedicel,petiole,pitted,plant,shape,shaped,shiny,shrub,simple,size,small,stem,stigma,strongly,style,surface,tan,tapering,tear-drop,tree,tube,vein,white,winged,x	1,15-19,2-5,3-3.5,3-5,3-5-flowered,9-11,appearing,blade,broad,campanulate,closely,connate,densely,differing,difoliate,dry,eaf,edicel,eed,emerge,flower,free,geminat,glabrate,greyi,growing,irregular,like,live,lobed,lon,long,lower,major,middle,minor,minute,nflorescence,older,one,overlappin,paler,papillae,papillo,papillose,pinkish-grey,planar,pore,poricidal,portion,rather,red-papillose,ry,scar,soon,spaced,specimen,straight,tall,tear,thick,thicker,tightly,tip,ud,unit,wider,widest,wing,ympodial,young	appearance,arrangement,border,branch,bud,characteristic,colour,corrugation,diameter,distal,drying,exertion,form,fruiting,giving,glabrousnes,height,history,inflorescence,interjected,leaflet,length,life,lobing,midpoint,na,number,peduncle,per,prickle,primary,pseudostipule,ray,seed,terminal,texture,thicknes,type,variation,width
1	wfo-0001025657	success	239	138	102	137	36	0.427	0.1-0.4,0.2-0.4,1-1.1,1-3,1.3-2,1.5-1.8,2-10,2/3,25-60,3-6,4-4.4,5-14,5-16,6-12,6-8,7-27,8.3-12,abaxially,acute,adaxially,also,anther,anthesi,apex,base,berry,bluish,blunt-tipped,branch,branched,brown,bud,calyx,chartaceous,cm,conical,cordate,corolla,dark,deltoid,diameter,dried,elliptic,entire,exserted,filament,fleshy,flower,fruit,granular,green,hair,lateral,leaf,length,light,lobe,margin,midrib,mm,narrowly,nearly,oblong,orbicular,ovate,pale,parted,pedicel,peduncle,persistently,petiole,pseudo-terminal,ray,reportedly,reticulate-punctate,ripe,scented,shrub,side,simple,soft,stellate,stem,stigma,strongly,style,suborbicular,surface,tan,terete,tomentose,tomentose-pubescent,tree,unarmed,vein,velutinous-pubescent,way,weakly,white,x,yellow,yellowish	-2,/3,0.5-2.5,1-1.3,1-1.6,1.2-1.5,1.7-1.9,12x,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,3-4,3-4.8,3.2-6,4-4.5,4-7,6.5-10,7-9,7-9.5,8-10.5,accrescent,ag,apart,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,blade,broadly,capitat,central,closely,cylindrical,dendritic-multangulat,dendritic-multangulate,dense,densely,directed,distally,due,eaf,earl,edge,eed,especially,evident,exerted,expanded,farinose,few-rayed,free,fruiting,glabrous,glandula,glandular,half,inserted,lanate-pubescent,lanceolate,lengthening,lobed,long,long-stalked,longitudinal,lower,m.,magnification,main,minutely,mixed,multangulate,nflorescence,obtuse,occasional,often,older,open,orolla,ovat,ovate-lanceolate,overlapping,part,partly,perfect,persistent,plurifoliate,pore,poricidal,porrect-stellate,present,pubescence,pubescent,rachi,ruit,semi-ovate,sessile,short,short-,short-stalked,slightly,slit,somewhat,spaced,splitting,stamen,stellate-pubescent,stipitate-glandular,stipitate-multangulate,subcampanulate,subcoriaceous,suture,tall,tamen,thick-stalked,thickened,thin-stalked,time,tip,tomentum,transparent,tube,two-third,ud,unarme,unit,upper,usually,vary,wide,ympodial,young	appearance,arrangement,bark,border,capitate,characteristic,colour,corrugation,drying,exertion,form,giving,glabrousnes,growth,height,history,inflorescence,life,lobing,midpoint,na,new,ovary,perennial,plant,prickle,primary,pseudostipule,seed,shape,size,texture,thicknes,type,variation,width
2	wfo-0001025669	invalid_json	216	151	118	98	33	0.546	'',.5,0-1,0.1-0.3,0.8-2.4,1,1-10,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,1.6-4.4,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,9-24.5,``,abaxially,absent,acumen,acuminate,acute,adaxially,anther,apart,apex,base,berry,blade,blue,brownish,cell,chartaceous,clavate,cm,condition,connivent,corolla,covering,cuneate,diameter,dorsally,drying,edge,end,filament,flat,flower,folded,forming,fresh,fruit,glabrous,globose,green,greenish,herb,homostylous,lanceolate,lateral,leaflet,lobe,long,membranous,minute,minutely,mm,moderately,monochasium,mottled,oblique,obtuse,odd-pinnate,one,ovoid,pedicel,peduncle,petiole,placed,plant,puberulent,pubescent,purple,rarely,ripe,rosette,rotate,scale-like,seed,size,slightly,sometimes,stem,stigma,straight,streaked,style,subglabrous,terminal,testal,thick,tinged,tube,tuber,typically,unwinged,wall,white,whitish,wide,x,yellow	0-5,0-7,1-3,2,4-6,5-merou,absen,ag,along,alyx,apparently,articulation,axe,broadly,capitat,ciliate,clearly,contracted,decurrent,digestion,discussion,distal,distinct,eaf,eed,elliptic,enzyme,erec,especially,exceeding,except,extra,flowered,geminat,glabrou,greatly,green-white,hair,hair-like,half,highly,honeycomb-shaped,interjected,larger,lengthening,like,living,lower,make,margin,midrib,mucilaginous,multicellular,near,nflorescence,obovate,often,orbicular,orolla,ovate,pair,perfect,petiolulate,petiolule,plurifoliate,pore,poricidal,proximal,reduced,removed,rounded,ruit,see,sessile,seudostipule,short,single,slit,spaced,species,specimen,stamen,ste,stolo,subequal,tall,tamen,tem,throughout,tip,tri-,truncate,unbranched,unequal,unit,vary,wet,ympodial	'extra,'hair-like,5-merous,[,],abaxial,adaxial,arrangement,calyx,capitate,characteristic,colour,erect,form,growth,height,history,inflorescence,leaf,length,life,ovary,placement,pseudostipule,shape,spacing,stolon,surface,texture,type,value,{,}
3	wfo-0001025697	success	181	134	91	90	43	0.503	0-14,0.15-0.75,0.6-3.5,1-1.7,1-2,1.5-1.8,1.7-8.6,2-10.5,2-2.6,25-35,3-10,3-4,3-6,3.3-11,4-7.5,6.5-13.5,abaxially,acuminate,acute,adaxially,anther,apex,attenuate,axillary,base,berry,blue,brownish,bud,clavate,cm,condition,coriaceous,corolla,dark,deep,diameter,distal,drying,elliptic,filament,forked,fresh,fruit,generally,glabrous,globose,green,green-white,greenish,half,herb,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,lobe,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,petiolulate,plant,purple,ripe,rounded,seed,sessile,short,size,stigma,stripe,style,subtending,terminal,throughout,tube,typically,unwinged,usually,wet,whitish,x	-9,0.8-2,1-3,10-26,2-4,2-6,3-5,5-merou,5.5-11.5,acumen,adaxiall,ag,alyx,apart,apparently,articulated,asymmetric,axe,basiscopic,blade,capitat,cell,connivent,covering,decreasing,decurrent,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,flower,folded,geminat,glabrescent,glabrou,hair,hair-like,hal,high,homostylous,honeycomb-shaped,lengthening,linear,living,long,lower,make,nflorescence,orbicular,orolla,pair,pentagonal,perfect,plurifoliate,pore,poricidal,rachi,removed,rotate,ruit,seudostipule,side,slightly,slit,spaced,specimen,stamen,straight,subequal,subglabrou,tall,tamen,tem,testal,thick,tip,tissue,toward,tri-,unit,vary,wall,wood,yellow,ympodial	appearance,arrangement,bark,border,branch,calyx,capitate,characteristic,colour,corrugation,exertion,form,fruiting,giving,glabrousnes,growth,height,history,inflorescence,length,life,lobing,margin,midpoint,na,new,number,ovary,per,prickle,primary,pseudostipule,ray,shape,stem,surface,texture,thicknes,type,variation,vein,width,woody
4	wfo-0001025699	invalid_json_followup	181	154	108	73	46	0.597	.2,.5,0.5,1,1-1.5,1-2.5,1-3,1.5-2,1/3,10,15-20,2,2-2.5,2-6,2cm,3-15,3-5.5,4-5,5-8,5-winged,5.5-14,8-9,absent,acute,adaxially,almost,anther,apex,attenuate,bark,base,becoming,berry,branching,brown,c.,calyx,capitate,cm,completely,conical,corolla,dark,darker,diameter,drying,ellipsoid,elliptic,entire,erect,exerted,filament,flower,fruiting,glabrous,globose,green,grey-brown,growth,immature,inflorescence,leaf,leaf-opposed,leafy,less,lobe,margin,markedly,midrib,minutely,mm,new,older,ovary,pair,pale,pedicel,peduncle,per,petiole,poricidal,primary,red,reddish,reniform,reticulate-pitted,rounded,rounded-sagittate,shoot,short,simple,slightly,somewhat,stem,stigma,style,surface,time,tip,tree,tube,vein,way,white,x,yellow,young,½	1-2,1.5,3-3.5,3-8,499,abaxially,age,anthesi,apart,apparently,appearing,articulating,campanulate,conspicuously,continuing,corrugate,crystal,cup-shaped,deltate,densely,difoliate,dorsal,dry,eaf,eed,face,fide,free,glabrou,included,inclusion,inflorescenc,irregularly,lanceolate,leaving,lengthening,lobed,lower,narrowly,nflorescence,nodding,one,onto,oxalate,papillat,papillose,peg,penden,perfect,plurifoliate,pore,portion,ruit,sand,scar,slit,small,spaced,stearn,straight,strongly,tangled,thickened,triangular,trichome,ud,unit,white-spotted,wide,wing,winged,woody,ympodial	'',[,``,appearance,arrangement,border,branch,bud,characteristic,colour,corrugated,corrugation,distal,exertion,form,fruit,giving,glabrousnes,height,history,interjected,lateral,leaflet,length,life,lobing,midpoint,na,number,papillate,plant,prickle,pseudostipule,ray,seed,shape,size,terminal,texture,thicknes,type,value,variation,width,{,}
5	wfo-0001025700	success	189	126	84	105	42	0.444	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1.1-2.3,1.5-2,10.5-12,15-40,2-12,2.5-4,3.5-10.5,3.7-8.6,5-15,5.5-18,5.5-8,9-31,acuminate,acute,anther,apex,apiculate,articulated,attenuate,axillary,base,berry,bud,chartaceous,clavate,cm,corolla,diameter,distal,dot,drying,elliptic,filament,forked,fruit,generally,glabrescent,glabrous,globose,green,greenish,half,herb,high,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,lobe,medium,mm,mucilaginous,narrowly,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,petiolulate,plant,purple,rounded,seed,size,stigma,style,subtending,terminal,tube,typically,unwinged,usually,whitish,winged,x	0.8-4,1-2,1-3,10-40,2-7,3-4,3-8,4-5,5-20,5-merou,5.3-17.5,abaxially,acuman,acumen,adaxially,ag,alyx,apparently,asymmetric,axe,basal,basiscopic,blade,brownish,capitat,cell,condition,connivent,considerably,covering,decrease,decreasing,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,except,flat,flower,folded,fresh,geminat,glabrou,green-white,hair,hair-like,hal,homostylous,honeycomb-shaped,larger,lengthening,linear,living,long,lower,make,nflorescence,orbicular,orolla,pair,par,pentagonal,perfect,plurifoliate,pore,poricidal,proximal,removed,ripe,rotate-pentagonal,ruit,sessile,seudostipule,short,side,slightly,slit,sometimes,specimen,stamen,straight,subequal,subglabrou,tall,tamen,tem,testal,thick,throughout,tip,tissue,toward,tri-,unit,vary,wall,wet,white,whose,yellow,ympodial	appearance,arrangement,bark,border,branch,calyx,capitate,characteristic,colour,corrugation,exertion,form,fruiting,giving,glabrousnes,growth,height,history,inflorescence,length,life,lobing,margin,midpoint,na,new,number,ovary,per,prickle,primary,pseudostipule,ray,shape,stem,surface,texture,thicknes,type,variation,vein,width
6	wfo-0001025704	invalid_json_followup	248	174	136	112	38	0.548	0-100,0-3.5,0.1-0.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1.5-4.5,1.8-3.5,1/2-4/5,2-10,2-3,2-4.5,2.5-4.5,2.7-4,3-15,3-5,3-6,4-5,4.5-6.5,6-12,8-12,8-15,8-17,abaxial,adaxial,almost,anther,apparently,articulated,bark,base,berry,branched,calyx,cell,chartaceous,cm,connivent,curved,densely,diameter,discolorous,distal,drying,ellipsoid,elliptic,erect,evenly,filament,flattened,flattened-reniform,flower,fruit,fruiting,glabrescent,gray,green,green-yellow,irregular,lateral,leaf,length,lobe,lobed,lobing,long,long-styled,margin,maturity,mauve,midpoint,mm,near,occasionally,often,orange,orange-brown,outline,ovate,pair,pale,pedicel,peduncle,per,petiole,pit,plant,poricidal,prickle,prickly,primary,prominent,raised,rarely,ray,red-brown,red-green,round,shape,short-styled,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate-pubescent,stem,straight,strongly,style,surface,tapering,terete,terminal,tip,tree,tube,unarmed,unbranched,vein,way,white,white-gray,wide,yellow,yellow-green,yellowish,young,×	-10,-2,-3,-5,/6,0,0-2,0-5,0.1,0.1-0.3,0.15-0.8,1,1-4,1.5-2,1/4-3/4,1/5,2,2-5,2-7,3-10,4-12,5-20,5-merous,6-15,abaxially,acute,age,alyx,andromonoecious,apar,apart,apex,apically,apiculate,auriculate,axe,ba,blade,broad-deltate,brow,cordate,covering,deltate,development,distance,eaf,eed,elongating,end,equal,extending,free,glabrous,half,hermaphrodite,heterostylous,infructescence,less,longer,lower,lowermost,mature,midvein,moderately,multangulate,nflorescence,obtuse,older,one,open,orolla,oung,pendulous,pericarp,plurifoliat,porrect,portion,prickl,recurved,reflexed,retaining,rounded,ruit,scar,secondary,sessile,shorter,slender,spaced,spreading,stalk,stalked,staminat,stellate,stellate-pubescen,stout,tamen,tertiary,throughout,time,trichome,truncate,unit,upper,variously,vary,venation,visible,warty,widening,woody,ympodial	'',[,``,arrangement,branch,brown,bud,characteristic,colour,corolla,corrugation,exertion,form,glabrousnes,growth,height,history,inflorescence,interjected,leaflet,life,na,new,number,ovary,perennial,pseudostipule,seed,size,stigma,texture,thicknes,type,value,variation,width,{,}
7	wfo-0001025729	invalid_json_followup	177	174	128	49	46	0.723	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.75,2,20,4-5,4-8,5-50-flowered,7-8,9-17,abaxial,abaxially,abrupt,acute,adaxially,anther,anthesi,apex,apical,apiculate,appearing,axil,bark,basal,base,berry,black,blackish,bright,bristly,bud,calyx,cm,corolla,covering,dark,densely,dia,difoliate,dirty,drying,elliptic,enclosed,expanded,f,filament,flattened-reniform,fleshy,fruiting,furcate,gently,glabrous,globose,green,greenish-yellow,greyish-brown,growing,lamina,lateral,leaf,like,live,lobe,lobed,long,main,margin,minutely,mm,oblique,occasionally,often,opposite,ovary,overtopping,pair,pale,papillose,partially,pedicel,petiole,pit,pitted,plant,pore,poricidal,portion,pubescent,quite,reflexed,ripening,rounded,shaped,shiny,short,simple,size,sparsely,stem,stigma,stout,style,surface,tapering,tear-drop,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,way,white,widening,woody,x,yellow	-20,1.5-2,2-3.5,3-6,6-8,along,apar,branched,covered,cyathiform,deflexed,deltoid,denser,diam,differing,eaf,edicel,eed,free,geminat,glabrou,incrassate,lat,lon,lower,m.,mainly,major,member,middle,minor,minute,nflorescence,older,one,overlapping,papillo,prominent,raised,ruit,scar,straight,tall,touching,tub,ud,widest,ympodial,young	'',4-20,[,``,arrangement,branch,characteristic,colour,corrugation,diameter,distal,exertion,form,fruit,geminate,glabrousnes,growth,height,history,inflorescence,interjected,late,leaflet,length,life,lobing,midpoint,na,new,number,peduncle,per,primary,pseudostipule,ray,seed,shape,sympodial,texture,thicknes,type,value,variation,width,{,}
8	wfo-0001025749	invalid_json_followup	217	157	114	103	43	0.525	-12,.5,/5,0.1-0.3,0.2-1.5,0.3-1.5,0.4-0.7,0.5-0.8,0.5-0.9,0.5-1.3,0.5-3,0.6-4.5,0.8-0.9,1-10,1-2,1-3,1-8.5,1.5-2.5,2-2.5,2.5-6,3-20,5-10,5-20,abaxially,acute,adaxially,anther,apart,apex,apparently,bark,base,berry,calyx,chartaceous,cm,concolorous,cuneate,curved,dark,densely,diameter,discolorous,drying,dull,filament,flattened,flattened-reniform,fruit,fruiting,gently,glabrous,gray,green-brown,lateral,leaf,length,light,lobe,lobed,long,long-ovate,lower,margin,maturity,mauve,midpoint,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pair,pale,pedicel,peduncle,per,petiole,poricidal,prickle,prickly,primary,ray,red-brown,rounded,shrub,spaced,sparsely,spherical,spreading,stellate,stellate-pubescent,stem,straight,straw-yellow,strongly,style,surface,tapering,terete,tip,tube,usually,vein,visible,way,white,wide,yellow,yellow-green,yellow-orange,yellowish	-1,0-10,0-3,0-5,0-6,0-8,0.1,0.1-0.2,0.1-0.4,0.2,0.5,1,1-13,1-6,1-9,1.5,1.5-2,1/4-1/3,1/5-1/2,2-10,2/3,3-5,4-8,5-,5-merous,6-8,abaxial,acuminat,adaxial,adnate,almost,alyx,apar,apically,articulated,blade,branched,broad-deltate,difoliate,distance,eaf,eed,elongating,equal,erect,extending,filiform,flower,free,geminat,glabrescent,herbaceous,indistinct,infructescence,lon,longer,magnification,markedly,mature,midvein,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pendulous,perfec,pericarp,porrect,portion,prickl,procumbent,purple,rarely,recurved,reduced,ruit,scar,sessile,shorter,side,smooth,sometimes,stalk,stalked,tamen,tertiary,time,toward,trichome,unit,variously,vary,venation,without,ympodial,½-2/	'',[,``,arrangement,branch,bud,characteristic,colour,corolla,corrugation,distal,exertion,form,glabrousnes,growth,height,history,inflorescence,interjected,leaflet,life,lobing,na,new,number,ovary,perennial,plant,pseudostipule,seed,shape,size,stigma,terminal,texture,thicknes,type,value,variation,width,{,},½-2/3
9	wfo-0001025754	success	164	124	93	71	31	0.567	.5,0.5-1,0.5-1.5,1,1-2,1-3,1-3.5,1.5,1.5-4,10-20,10-35,2-foliate,4-6,5-12,5-15,absent,acuminate,acute,anther,apex,asymmetrical,base,berry,beyond,branch,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,decumbent,decurrent,densely,diameter,dm,drying,edge,entire,equal,exserted,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,leaving,linear-lanceolate,margin,maturing,membranaceous,mm,moderately,nearly,oblong,often,palmately,parallel,pedicel,peduncle,per,petiole,pubescent,radiating,raised,ridge,running,semitransparent,shallow,short,slightly,sparsely,stamen,stem,stigma,style,surface,triangular,truncate,tube,unbranched,upright,vein,white,x,yellow	-celled,0.1-0.2,1.5-3,2-4,2-5-celled,2-7,3-10,3-5,3-6,4,abaxially,abundant,adaxiall,adaxially,along,axe,barely,blade,connected,dehiscing,denser,dried,eaf,eed,eglandular,emarginat,erect,explosively,flat,geminat,glandular,held,interpetalar,like,lobe,long,lower,lying,main,material,maturit,mesocarp,mixed,much-branched,nfloresence,notch,orolla,penden,placenta,pressure,probably,pubescen,rachi,rotate,ruit,small,solitary,sometimes,straight,swollen,tal,tamen,tem,tissue,unit,vary,visible,watery,wid,woody,ympodial	arrangement,bark,bud,characteristic,colour,corolla,corrugation,exertion,form,fruiting,glabrousnes,growth,height,history,inflorescence,length,life,lobing,na,new,number,ovary,pendent,plant,primary,seed,shape,size,texture,type,wide
