	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025652	success	156	113	86	70	27	0.551	.3,.5,1-1.5,1.5-2,15-17,2-3,2-6,3-3.5,3-5,4,4-6,4-7,abruptly,acute,anther,apex,base,blade,calyx,cm,corolla,decurrent,densely,difoliate,dry,elliptic,filament,fleshy,flower,free,fruit,furcate,glabrous,green,growing,growth,irregular,lateral,leaf,lobe,long,main,major,margin,minor,minute,minutely,mm,narrowing,occasionally,onto,opposite,ovary,ovoid-reniform,pair,pale,paler,papillae,papillose,parallel,pedicel,petiole,pinkish-grey,pitted,plant,portion,red-papillose,shape,shiny,shrub,simple,small,specimen,stem,strongly,style,surface,tan,tapering,thick,tree,tube,vein,white,winged,x	0.5-1,1,10-20,15-19,2-5,20-50,3-5-flowered,9-11,acuminate,anthesi,appearing,bark,bilobed,broad,campanulate,closed,closely,completely,connate,dia,differing,eaf,edicel,eed,emerge,envelope,geminat,glabrate,greyi,greyish,like,live,lobed,lon,lower,matte,middle,nearly,new,nflorescence,older,one,overlappin,ovoid,papillo,planar,pore,poricidal,rather,ry,scar,shaped,size,soon,spaced,stigma,straight,tall,tear,tear-drop,thicker,tightly,tip,ud,unit,wider,widest,wing,ympodial,young	abaxial,adaxial,arrangement,branching,characteristic,colour,diameter,form,geminate,height,history,inflorescence,length,life,midvein,null,peduncle,primary,pseudostipule,rachi,seed,staman,tertiary,texture,true,unarmed,venation
1	wfo-0001025657	success	239	160	135	104	25	0.565	0.1-0.4,0.2-0.4,0.5-2.5,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.3-2,1.5-1.8,12x,2-10,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,25-60,3-6,4-4.4,5-14,5-16,6-8,7-9.5,8-10.5,8.3-12,abaxially,acute,adaxially,also,anther,apart,apex,articulated,ascending,axe,base,berry,bluish,branched,brown,calyx,central,closely,cm,conical,cordate,corolla,dark,deltoid,dendritic-multangulate,densely,diameter,dried,entire,expanded,filament,fleshy,flower,fruit,glabrous,glandular,granular,green,hair,half,lanate-pubescent,lanceolate,leaf,length,light,lobe,long,lower,magnification,margin,midrib,minutely,mixed,mm,multangulate,narrowly,obtuse,orbicular,ovate,pale,part,partly,pedicel,peduncle,persistent,petiole,plurifoliate,porrect-stellate,pseudo-terminal,pubescent,rachi,ray,reportedly,reticulate-punctate,ripe,semi-ovate,sessile,short,short-stalked,shrub,side,simple,slightly,soft,spaced,stellate-pubescent,stem,stipitate-glandular,stipitate-multangulate,style,subcoriaceous,suborbicular,surface,tan,thick-stalked,thin-stalked,tomentose,tomentose-pubescent,tomentum,transparent,tree,two-third,unarmed,upper,vein,velutinous-pubescent,white,x,yellow,yellowish	-2,/3,1.7-1.9,2/3,3-4,3-4.8,3.2-6,4-4.5,4-7,6-12,6.5-10,7-27,7-9,accrescent,ag,anthesi,apparently,appearing,ark,around,axillary,ba,blade,blunt-tipped,branch,broadly,bud,capitat,chartaceous,cylindrical,dendritic-multangulat,dense,directed,distally,due,eaf,earl,edge,eed,elliptic,especially,evident,exerted,exserted,farinose,few-rayed,free,fruiting,glandula,inserted,lateral,lengthening,lobed,long-stalked,longitudinal,m.,main,nearly,nflorescence,oblong,occasional,often,older,open,orolla,ovat,ovate-lanceolate,overlapping,parted,perfect,persistently,pore,poricidal,present,pubescence,ruit,scented,short-,slit,somewhat,splitting,stamen,stellate,stigma,strongly,subcampanulate,suture,tall,tamen,terete,thickened,time,tip,tube,ud,unarme,unit,usually,vary,way,weakly,wide,ympodial,young	abaxial,adaxial,arrangement,branching,characteristic,colour,form,growth,height,history,inflorescence,life,midvein,ovary,plant,primary,pseudostipule,seed,shape,staman,tertiary,texture,true,unspecified,venation
2	wfo-0001025669	success	216	137	105	111	32	0.486	.5,0-7,0.1-0.3,0.8-2.4,1,1-10,1-2,1-4,1.3-4.2,1.4-2.5,1.6-4.4,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,4-6,9-24.5,abaxially,absent,acuminate,acute,adaxially,anther,apart,apex,articulation,base,berry,blade,blue,brownish,cell,cm,condition,corolla,covering,cuneate,diameter,distal,drying,filament,flower,fresh,fruit,glabrous,globose,green,green-white,greenish,hair,herb,interjected,lateral,leaflet,like,lobe,long,make,margin,minute,mm,moderately,monochasium,mottled,mucilaginous,multicellular,oblique,obtuse,odd-pinnate,ovoid,pair,pedicel,peduncle,petiole,plant,pubescent,purple,rarely,ripe,scale-like,seed,short,slightly,sometimes,spaced,stem,streaked,style,subglabrous,terminal,testal,thick,throughout,tinged,typically,unbranched,wall,wet,white,whitish,x	'',0-1,0-5,1-2.2,1-3,2,5-merou,``,absen,acumen,ag,along,alyx,apparently,axe,broadly,capitat,chartaceous,ciliate,clavate,clearly,connivent,contracted,decurrent,digestion,discussion,distinct,dorsally,eaf,edge,eed,elliptic,end,enzyme,erec,especially,exceeding,except,extra,flat,flowered,folded,forming,geminat,glabrou,greatly,hair-like,half,highly,homostylous,honeycomb-shaped,lanceolate,larger,lengthening,living,lower,membranous,midrib,minutely,near,nflorescence,obovate,often,one,orbicular,orolla,ovate,perfect,petiolulate,petiolule,placed,plurifoliate,pore,poricidal,proximal,puberulent,reduced,removed,rosette,rotate,rounded,ruit,see,sessile,seudostipule,single,size,slit,species,specimen,stamen,ste,stigma,stolo,straight,subequal,tall,tamen,tem,tip,tri-,truncate,tube,tuber,unequal,unit,unwinged,vary,wide,yellow,ympodial	'extra,'hair-like,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,history,inflorescence,leaf,length,life,mentioned,midvein,ovary,primary,pseudostipule,rachi,shape,staman,surface,tertiary,texture,true,unarmed,vein,venation
3	wfo-0001025697	success	181	117	84	97	33	0.464	-9,0.15-0.75,1-1.7,1-2,1.5-1.8,1.7-8.6,2-6,25-35,3-10,3-4,3-6,abaxially,acumen,acuminate,acute,adaxially,anther,apex,articulated,asymmetric,attenuate,base,basiscopic,berry,blue,brownish,cell,cm,condition,corolla,covering,dark,deep,diameter,distal,drying,elliptic,filament,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,half,herb,high,lanceolate,lateral,leaf,light,lilac,linear,lobe,long,make,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,petiole,plant,purple,rachi,ripe,rounded,seed,sessile,short,side,stripe,style,testal,thick,tissue,wall,wet,whitish	0-14,0.6-3.5,0.8-2,1-3,10-26,2-10.5,2-2.6,2-4,3-5,3.3-11,4-7.5,5-merou,5.5-11.5,6.5-13.5,adaxiall,ag,alyx,apart,apparently,axe,axillary,blade,bud,capitat,clavate,connivent,coriaceous,decreasing,decurrent,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,flower,folded,forked,geminat,generally,glabrou,green-white,hair-like,hal,homostylous,honeycomb-shaped,interjected,leaflet,lengthening,living,lower,nflorescence,orbicular,orolla,pair,pentagonal,perfect,petiolulate,plurifoliate,pore,poricidal,removed,rotate,ruit,seudostipule,size,slightly,slit,spaced,specimen,stamen,stigma,straight,subequal,subglabrou,subtending,tall,tamen,tem,terminal,throughout,tip,toward,tri-,tube,typically,unit,unwinged,usually,vary,wood,x,yellow,ympodial	'hair-like,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,growth,height,history,inflorescence,length,life,margin,midvein,null,ovary,primary,pseudostipule,shape,staman,stem,subglabrous,surface,tertiary,texture,true,unarmed,vein,venation,woody
4	wfo-0001025699	success	181	150	122	59	28	0.674	.2,.5,1,1-1.5,1-2.5,1-3,1.5,1.5-2,10,15-20,2,2-2.5,2-6,2cm,3-15,3-3.5,3-8,4-5,5-8,5-winged,8-9,abaxially,absent,acute,almost,anther,anthesi,apex,appearing,attenuate,base,becoming,berry,branching,brown,calyx,capitate,cm,completely,conical,conspicuously,continuing,corolla,crystal,dark,darker,densely,diameter,difoliate,dry,drying,ellipsoid,elliptic,entire,erect,filament,flower,fruiting,glabrous,globose,green,grey-brown,growth,immature,inclusion,inflorescence,lanceolate,leaf,leaf-opposed,lobe,margin,markedly,midrib,minutely,mm,narrowly,nodding,older,one,onto,ovary,oxalate,pair,pale,pedicel,peduncle,per,petiole,plurifoliate,primary,red,reddish,reniform,reticulate-pitted,rounded,sand,shoot,short,simple,small,somewhat,stem,stigma,straight,strongly,style,surface,time,tip,tree,triangular,unit,vein,white,white-spotted,wide,wing,winged,woody,x,yellow,young	0.5,1-2,1/3,3-5.5,499,5.5-14,adaxially,age,apart,apparently,articulating,bark,c.,campanulate,corrugate,cup-shaped,deltate,dorsal,eaf,eed,exerted,face,fide,free,glabrou,included,inflorescenc,irregularly,leafy,leaving,lengthening,less,lobed,lower,new,nflorescence,papillat,papillose,peg,penden,perfect,pore,poricidal,portion,rounded-sagittate,ruit,scar,slightly,slit,spaced,stearn,tangled,thickened,trichome,tube,ud,way,ympodial,½	3,abaxial,adaxial,arrangement,characteristic,colour,corrugated,form,fruit,height,history,length,life,midvein,null,papillate,pendent,plant,pseudostipule,rachi,seed,shape,staman,sympodial,tertiary,texture,unarmed,venation
5	wfo-0001025700	success	189	141	105	84	36	0.556	0.30-2.0,0.5-2,0.8-2.6,1.5-2,10-40,10.5-12,15-40,2-12,2-7,2.5-4,3-8,5-15,5-20,5.3-17.5,5.5-8,abaxially,acumen,acuminate,acute,adaxially,anther,apex,apiculate,apparently,articulated,asymmetric,attenuate,axe,axillary,basal,base,basiscopic,berry,brownish,bud,cell,cm,condition,corolla,covering,diameter,distal,dot,drying,elliptic,filament,flower,forked,fresh,fruit,generally,glabrescent,glabrous,globose,green,green-white,greenish,hair,half,herb,high,lateral,leaf,light,lilac,linear,lobe,long,make,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,perfect,petiole,petiolulate,plant,plurifoliate,purple,ripe,rounded,seed,short,side,sometimes,straight,style,subtending,terminal,testal,thick,throughout,tissue,tri-,typically,unit,usually,wall,wet,white,whitish	0-16,0.7-2.7,0.8-4,1-2,1-3,1.1-2.3,3-4,3.5-10.5,3.7-8.6,4-5,5-merou,5.5-18,9-31,acuman,ag,alyx,blade,capitat,chartaceous,clavate,connivent,considerably,decrease,decreasing,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,except,flat,folded,geminat,glabrou,hair-like,hal,homostylous,honeycomb-shaped,interjected,lanceolate,larger,leaflet,lengthening,living,lower,narrowly,nflorescence,orbicular,orolla,pair,par,pentagonal,pore,poricidal,proximal,removed,rotate-pentagonal,ruit,sessile,seudostipule,size,slightly,slit,specimen,stamen,stigma,subequal,subglabrou,tall,tamen,tem,tip,toward,tube,unwinged,vary,whose,winged,x,yellow,ympodial	'hair-like,abaxial,adaxial,arrangement,branching,calyx,characteristic,colour,form,geminate,growth,height,history,inflorescence,length,life,margin,midvein,null,ovary,part,primary,pseudostipule,rachi,shape,staman,stem,subglabrous,surface,sympodial,tertiary,texture,true,unarmed,vein,venation
6	wfo-0001025704	success	248	197	176	72	21	0.71	-3,-5,/6,0-100,0-2,0-3.5,0.1,0.15-0.8,0.3-0.8,0.5-1.5,0.7-1,1,1-3.5,1-4,1-6,1.2-3,1.5-3.2,1.5-4.5,1/4-3/4,1/5,2-10,2-3,2-4.5,2-7,2.7-4,3-15,3-5,3-6,4-12,4-5,4.5-6.5,8-12,abaxial,acute,adaxial,age,almost,anther,apart,apex,apically,apiculate,apparently,articulated,auriculate,axe,base,berry,blade,branched,broad-deltate,calyx,cell,cm,connivent,cordate,deltate,densely,development,diameter,distal,distance,ellipsoid,elliptic,end,equal,erect,evenly,extending,filament,flattened-reniform,flower,free,fruit,glabrescent,green,green-yellow,infructescence,irregular,lateral,leaf,length,lobe,lobed,lobing,long,long-styled,margin,maturity,mauve,midpoint,midvein,mm,multangulate,near,obtuse,often,one,open,orange-brown,outline,ovate,pair,pale,pedicel,peduncle,per,pericarp,petiole,pit,plant,poricidal,porrect,portion,prickle,prickly,primary,raised,rarely,ray,recurved,red-green,retaining,round,rounded,scar,secondary,sessile,shape,short-styled,shrub,side,slender,small,smooth,sometimes,somewhat,spaced,sparsely,spherical,stalk,stalked,stellate-pubescent,stem,stout,straight,style,surface,tapering,terete,terminal,tertiary,throughout,time,tip,tree,trichome,truncate,tube,unarmed,unbranched,unit,upper,vein,venation,visible,warty,white,white-gray,wide,widening,yellow,yellow-green,yellowish,young,×	-10,-2,0,0-5,0.1-0.3,0.1-0.5,1.5-2,1.8-3.5,1/2-4/5,2,2-5,2.5-4.5,3-10,5-20,5-merous,6-12,6-15,8-15,8-17,abaxially,alyx,andromonoecious,apar,ba,bark,brow,chartaceous,covering,curved,discolorous,drying,eaf,eed,elongating,flattened,fruiting,glabrous,gray,half,hermaphrodite,heterostylous,less,longer,lower,lowermost,mature,moderately,nflorescence,occasionally,older,orange,orolla,oung,pendulous,plurifoliat,prickl,prominent,red-brown,reflexed,ruit,shorter,spreading,staminat,stellate,stellate-pubescen,strongly,tamen,variously,vary,way,woody,ympodial	arrangement,branching,characteristic,colour,corolla,description,form,growth,height,history,inflorescence,life,mentioned,ovary,plurifoliate,pseudostipule,rachi,seed,staman,sympodial,texture
7	wfo-0001025729	success	177	139	107	70	32	0.605	-20,.5,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.5-2,1.75,2,20,4-5,5-50-flowered,6-8,7-8,abaxial,abaxially,abrupt,acute,adaxially,anther,apex,apiculate,axil,basal,base,berry,black,calyx,cm,corolla,covering,deltoid,densely,dia,diam,difoliate,dirty,drying,elliptic,f,filament,flattened-reniform,fleshy,free,furcate,glabrous,globose,green,greenish-yellow,greyish-brown,incrassate,lamina,lateral,leaf,like,live,lobe,long,main,major,margin,minor,minute,minutely,mm,oblique,occasionally,opposite,ovary,pair,pale,papillose,pedicel,petiole,pit,pitted,plant,portion,prominent,pubescent,raised,ripening,rounded,shiny,simple,sparsely,stem,style,surface,tall,tapering,tip,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,white,widening,x,yellow	/4,2-3.5,3-6,4-8,9-17,along,anthesi,apar,apical,appearing,bark,blackish,branched,bright,bristly,bud,covered,cyathiform,dark,deflexed,denser,differing,eaf,edicel,eed,enclosed,expanded,fruiting,geminat,gently,glabrou,growing,lat,lobed,lon,lower,m.,mainly,member,middle,nflorescence,often,older,one,overlapping,overtopping,papillo,partially,pore,poricidal,quite,reflexed,ruit,scar,shaped,short,size,stigma,stout,straight,tear-drop,terminal,touching,tub,ud,way,widest,woody,ympodial,young	..,3.5,adaxial,arrangement,branching,characteristic,colour,diameter,form,fruit,geminate,growth,height,history,inflorescence,length,life,midvein,null,peduncle,primary,pseudostipule,rachi,seed,shape,staman,sympodial,tertiary,texture,true,unarmed,venation
8	wfo-0001025749	success	217	137	113	104	24	0.521	.5,0-10,0-3,0-6,0.2-1.5,0.3-1.5,0.5-0.8,0.5-0.9,0.8-0.9,1-10,1-13,1-2,1-3,1-6,1-9,1.5,1.5-2,1.5-2.5,2-2.5,2.5-6,3-5,5-20,abaxial,acute,adaxial,anther,apex,apparently,base,berry,branched,calyx,cm,cuneate,dark,densely,diameter,difoliate,dull,erect,filament,filiform,flattened-reniform,flower,fruit,glabrous,green-brown,indistinct,infructescence,lateral,leaf,length,lobe,lobed,long,long-ovate,lower,magnification,margin,maturity,mauve,midvein,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pair,pale,pedicel,peduncle,per,petiole,porrect,prickle,prickly,primary,procumbent,purple,rarely,recurved,red-brown,rounded,sessile,shrub,side,sometimes,sparsely,spherical,stalked,stellate,stellate-pubescent,stem,straight,straw-yellow,style,surface,terete,tertiary,toward,trichome,usually,vein,venation,visible,white,wide,without,yellow,yellow-green,yellow-orange	-1,-12,/5,0-5,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.4-0.7,0.5,0.5-1.3,0.5-3,0.6-4.5,1,1-8.5,1/4-1/3,1/5-1/2,2-10,2/3,3-20,4-8,5-,5-10,5-merous,6-8,abaxially,acuminat,adaxially,adnate,almost,alyx,apar,apart,apically,articulated,bark,blade,broad-deltate,chartaceous,concolorous,curved,discolorous,distance,drying,eaf,eed,elongating,equal,extending,flattened,free,fruiting,geminat,gently,glabrescent,gray,herbaceous,light,lon,longer,markedly,mature,midpoint,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pendulous,perfec,pericarp,poricidal,portion,prickl,ray,reduced,ruit,scar,shorter,smooth,spaced,spreading,stalk,strongly,tamen,tapering,time,tip,tube,unit,variously,vary,way,yellowish,ympodial,½-2/	+,arrangement,branching,characteristic,colour,corolla,form,geminate,growth,height,history,inflorescence,life,null,ovary,plant,pseudostipule,rachi,seed,shape,staman,texture,unarmed,½-2/3
9	wfo-0001025754	success	164	170	138	26	32	0.841	-celled,.5,0.1-0.2,0.5-1,0.5-1.5,1,1-2,1-3,1.5,1.5-3,10-20,10-35,2-5-celled,2-7,3-10,3-5,3-6,4,4-6,5-12,5-15,abaxially,absent,abundant,acuminate,acute,adaxially,along,anther,apex,asymmetrical,axe,barely,base,berry,beyond,blade,branch,brown,calyx,center,chartaceous,ciliate,cm,connected,cordate,cordiform,decumbent,decurrent,dehiscing,densely,denser,diameter,dm,dried,drying,edge,eglandular,entire,equal,erect,explosively,exserted,filament,fine,flat,flower,fruit,glabrous,glandular,globose,hair,held,herb,immature,interpetalar,leaf,leaving,like,linear-lanceolate,lobe,long,lying,main,margin,material,maturing,membranaceous,mesocarp,mixed,mm,moderately,much-branched,nearly,notch,often,palmately,parallel,pedicel,peduncle,per,petiole,placenta,pressure,probably,pubescent,rachi,radiating,raised,ridge,rotate,running,semitransparent,shallow,short,slightly,small,solitary,sometimes,sparsely,stamen,stem,straight,style,surface,swollen,tissue,truncate,tube,unbranched,upright,vein,visible,watery,white,woody,x,yellow	1-3.5,1.5-4,2-4,2-foliate,adaxiall,eaf,eed,emarginat,geminat,lower,maturit,nfloresence,oblong,orolla,penden,pubescen,ruit,stigma,tal,tamen,tem,triangular,unit,vary,wid,ympodial	2.5,abaxial,adaxial,arrangement,branching,characteristic,colour,corolla,form,geminate,growth,height,history,inflorescence,length,life,maturity,midvein,null,ovary,pendent,plant,primary,pseudostipule,seed,shape,staman,tall,tertiary,texture,unarmed,venation
