	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025652	success	156	106	81	75	25	0.519	.3,.5,0.5-1,1.5-2,10-20,15-17,2-3,2-6,20-50,4,4-7,abruptly,acuminate,acute,anther,anthesi,apex,bark,base,bilobed,calyx,closed,cm,completely,corolla,decurrent,dia,elliptic,envelope,filament,fleshy,fruit,furcate,glabrous,green,greyish,growth,lateral,leaf,main,margin,matte,minutely,mm,narrowing,nearly,new,occasionally,onto,opposite,ovary,ovoid,ovoid-reniform,pair,pale,parallel,pedicel,petiole,pitted,plant,shape,shaped,shiny,shrub,simple,size,small,stem,stigma,strongly,style,surface,tan,tapering,tear-drop,tree,tube,vein,white,winged,x	1,1-1.5,15-19,2-5,3-3.5,3-5,3-5-flowered,4-6,9-11,appearing,blade,broad,campanulate,closely,connate,densely,differing,difoliate,dry,eaf,edicel,eed,emerge,flower,free,geminat,glabrate,greyi,growing,irregular,like,live,lobe,lobed,lon,long,lower,major,middle,minor,minute,nflorescence,older,one,overlappin,paler,papillae,papillo,papillose,pinkish-grey,planar,pore,poricidal,portion,rather,red-papillose,ry,scar,soon,spaced,specimen,straight,tall,tear,thick,thicker,tightly,tip,ud,unit,wider,widest,wing,ympodial,young	arrangement,branch,bud,characteristic,colour,corrugation,diameter,exertion,form,fruiting,glabrousnes,height,history,inflorescence,length,life,lobing,na,number,peduncle,per,primary,seed,texture,type
1	wfo-0001025657	success	239	123	99	140	24	0.414	0.1-0.4,0.2-0.4,1-1.1,1-3,1.3-2,1.5-1.8,2-10,2/3,25-60,3-6,4-4.4,5-14,5-16,6-12,6-8,7-27,8.3-12,abaxially,acute,adaxially,also,anther,anthesi,apex,base,berry,bluish,blunt-tipped,branch,branched,brown,bud,calyx,chartaceous,cm,conical,cordate,corolla,dark,deltoid,diameter,dried,elliptic,entire,exserted,filament,fleshy,flower,fruit,granular,green,hair,leaf,length,light,margin,midrib,mm,narrowly,nearly,oblong,orbicular,ovate,pale,parted,pedicel,peduncle,persistently,petiole,pseudo-terminal,reportedly,reticulate-punctate,ripe,scented,shrub,side,simple,soft,stellate,stem,stigma,strongly,style,suborbicular,surface,tan,terete,tomentose,tomentose-pubescent,tree,unarmed,vein,velutinous-pubescent,way,weakly,white,x,yellow,yellowish	-2,/3,0.5-2.5,1-1.3,1-1.6,1.2-1.5,1.7-1.9,12x,2-3.5,2.2-5.5,2.5-9.3,2.7-4.3,3-4,3-4.8,3.2-6,4-4.5,4-7,6.5-10,7-9,7-9.5,8-10.5,accrescent,ag,apart,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,blade,broadly,capitat,central,closely,cylindrical,dendritic-multangulat,dendritic-multangulate,dense,densely,directed,distally,due,eaf,earl,edge,eed,especially,evident,exerted,expanded,farinose,few-rayed,free,fruiting,glabrous,glandula,glandular,half,inserted,lanate-pubescent,lanceolate,lateral,lengthening,lobe,lobed,long,long-stalked,longitudinal,lower,m.,magnification,main,minutely,mixed,multangulate,nflorescence,obtuse,occasional,often,older,open,orolla,ovat,ovate-lanceolate,overlapping,part,partly,perfect,persistent,plurifoliate,pore,poricidal,porrect-stellate,present,pubescence,pubescent,rachi,ray,ruit,semi-ovate,sessile,short,short-,short-stalked,slightly,slit,somewhat,spaced,splitting,stamen,stellate-pubescent,stipitate-glandular,stipitate-multangulate,subcampanulate,subcoriaceous,suture,tall,tamen,thick-stalked,thickened,thin-stalked,time,tip,tomentum,transparent,tube,two-third,ud,unarme,unit,upper,usually,vary,wide,ympodial,young	arrangement,bark,capitate,characteristic,colour,exertion,form,glabrousnes,growth,height,history,inflorescence,life,lobing,new,ovary,perennial,plant,primary,seed,shape,size,texture,type
2	wfo-0001025669	invalid_json	216	151	118	98	33	0.546	'',.5,0-1,0.1-0.3,0.8-2.4,1,1-10,1-2,1-2.2,1-4,1.3-4.2,1.4-2.5,1.6-4.4,13-35,2-3,2-4,2.2-6,2.2-6.5,2.4-7,3-5,3-7,9-24.5,``,abaxially,absent,acumen,acuminate,acute,adaxially,anther,apart,apex,base,berry,blade,blue,brownish,cell,chartaceous,clavate,cm,condition,connivent,corolla,covering,cuneate,diameter,dorsally,drying,edge,end,filament,flat,flower,folded,forming,fresh,fruit,glabrous,globose,green,greenish,herb,homostylous,lanceolate,lateral,leaflet,lobe,long,membranous,minute,minutely,mm,moderately,monochasium,mottled,oblique,obtuse,odd-pinnate,one,ovoid,pedicel,peduncle,petiole,placed,plant,puberulent,pubescent,purple,rarely,ripe,rosette,rotate,scale-like,seed,size,slightly,sometimes,stem,stigma,straight,streaked,style,subglabrous,terminal,testal,thick,tinged,tube,tuber,typically,unwinged,wall,white,whitish,wide,x,yellow	0-5,0-7,1-3,2,4-6,5-merou,absen,ag,along,alyx,apparently,articulation,axe,broadly,capitat,ciliate,clearly,contracted,decurrent,digestion,discussion,distal,distinct,eaf,eed,elliptic,enzyme,erec,especially,exceeding,except,extra,flowered,geminat,glabrou,greatly,green-white,hair,hair-like,half,highly,honeycomb-shaped,interjected,larger,lengthening,like,living,lower,make,margin,midrib,mucilaginous,multicellular,near,nflorescence,obovate,often,orbicular,orolla,ovate,pair,perfect,petiolulate,petiolule,plurifoliate,pore,poricidal,proximal,reduced,removed,rounded,ruit,see,sessile,seudostipule,short,single,slit,spaced,species,specimen,stamen,ste,stolo,subequal,tall,tamen,tem,throughout,tip,tri-,truncate,unbranched,unequal,unit,vary,wet,ympodial	'extra,'hair-like,5-merous,[,],abaxial,adaxial,arrangement,calyx,capitate,characteristic,colour,erect,form,growth,height,history,inflorescence,leaf,length,life,ovary,placement,pseudostipule,shape,spacing,stolon,surface,texture,type,value,{,}
3	wfo-0001025697	success	181	119	92	89	27	0.508	0-14,0.15-0.75,0.8-2,1-2,1.5-1.8,1.7-8.6,10-26,2-2.6,2-6,25-35,3-10,3-4,3-5,3-6,4-7.5,5.5-11.5,acumen,acuminate,acute,anther,apex,asymmetric,attenuate,base,basiscopic,berry,blue,brownish,clavate,cm,condition,coriaceous,corolla,dark,deep,diameter,distal,drying,elliptic,filament,flower,forked,fresh,fruit,glabrescent,glabrous,globose,green,green-white,greenish,hair,half,herb,high,interjected,lanceolate,leaf,leaflet,light,lilac,medium,mm,mucilaginous,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,perfect,petiolulate,plant,purple,rotate,seed,sessile,short,side,size,stigma,straight,stripe,style,terminal,throughout,tissue,tube,unwinged,wet,whitish,x,yellow	-9,0.6-3.5,1-1.7,1-3,2-10.5,2-4,3.3-11,5-merou,6.5-13.5,abaxially,adaxiall,adaxially,ag,alyx,apart,apparently,articulated,axe,axillary,blade,bud,capitat,cell,connivent,covering,decreasing,decurrent,digestion,dorsally,eaf,edge,eed,enzyme,erec,exceeding,flat,folded,geminat,generally,glabrou,hair-like,hal,homostylous,honeycomb-shaped,lateral,lengthening,linear,living,lobe,long,lower,make,nflorescence,orbicular,orolla,pair,petiole,plurifoliate,pore,poricidal,rachi,removed,ripe,rounded,ruit,seudostipule,slightly,slit,spaced,specimen,stamen,subequal,subglabrou,subtending,tall,tamen,tem,testal,thick,tip,toward,tri-,typically,unit,usually,vary,wall,wood,ympodial	abaxial,adaxial,arrangement,articulation,calyx,capitate,characteristic,colour,form,growth,height,history,inflorescence,length,life,number,ovary,pseudostipule,shape,spacing,staman,stem,subglabrous,surface,texture,type,woody
4	wfo-0001025699	success	181	122	99	82	23	0.547	.2,.5,0.5,1,1-2.5,1.5-2,1/3,10,15-20,2,2-2.5,2cm,3-5.5,5-8,5-winged,5.5-14,8-9,absent,acute,adaxially,almost,anther,apex,attenuate,bark,base,becoming,berry,brown,c.,calyx,capitate,cm,completely,conical,corolla,dark,darker,diameter,drying,ellipsoid,elliptic,entire,erect,exerted,filament,fruiting,glabrous,globose,green,grey-brown,growth,immature,inflorescence,leaf,leaf-opposed,leafy,less,lobe,margin,markedly,midrib,minutely,mm,new,older,ovary,pair,pale,pedicel,peduncle,petiole,poricidal,primary,red,reddish,reniform,reticulate-pitted,rounded,rounded-sagittate,shoot,short,simple,slightly,somewhat,stem,stigma,style,surface,tip,tree,tube,vein,way,white,x,yellow,young,½	1-1.5,1-2,1-3,1.5,2-6,3-15,3-3.5,3-8,4-5,499,abaxially,age,anthesi,apart,apparently,appearing,articulating,branching,campanulate,conspicuously,continuing,corrugate,crystal,cup-shaped,deltate,densely,difoliate,dorsal,dry,eaf,eed,face,fide,flower,free,glabrou,included,inclusion,inflorescenc,irregularly,lanceolate,leaving,lengthening,lobed,lower,narrowly,nflorescence,nodding,one,onto,oxalate,papillat,papillose,peg,penden,per,perfect,plurifoliate,pore,portion,ruit,sand,scar,slit,small,spaced,stearn,straight,strongly,tangled,thickened,time,triangular,trichome,ud,unit,white-spotted,wide,wing,winged,woody,ympodial	arrangement,bud,characteristic,colour,corrugated,corrugation,exertion,form,fruit,glabrousnes,height,history,length,life,lobing,na,papillate,plant,seed,shape,size,texture,type
5	wfo-0001025700	success	189	88	65	124	23	0.344	0-16,0.30-2.0,0.5-2,0.7-2.7,0.8-2.6,1.1-2.3,1.5-2,10.5-12,15-40,2-12,2.5-4,3-8,3.5-10.5,3.7-8.6,5-15,5-20,5.3-17.5,5.5-18,5.5-8,9-31,anther,berry,blade,chartaceous,clavate,cm,corolla,diameter,dot,filament,flower,fruit,glabrescent,glabrous,globose,green,greenish,herb,homostylous,interjected,lateral,leaf,leaflet,light,lilac,medium,mm,mucilaginous,narrowly,odd-pinnate,ovoid,pedicel,peduncle,petiole,plant,purple,seed,size,stigma,style,terminal,unwinged,whitish,winged,x	0.8-4,1-2,1-3,10-40,2-7,3-4,4-5,5-merou,abaxially,acuman,acumen,acuminate,acute,adaxially,ag,alyx,apex,apiculate,apparently,articulated,asymmetric,attenuate,axe,axillary,basal,base,basiscopic,brownish,bud,capitat,cell,condition,connivent,considerably,covering,decrease,decreasing,digestion,distal,dorsally,drying,eaf,edge,eed,elliptic,enzyme,erec,exceeding,except,flat,folded,forked,fresh,geminat,generally,glabrou,green-white,hair,hair-like,hal,half,high,honeycomb-shaped,lanceolate,larger,lengthening,linear,living,lobe,long,lower,make,nflorescence,orbicular,orolla,ovate,pair,par,pentagonal,perfect,petiolulate,plurifoliate,pore,poricidal,proximal,removed,ripe,rotate-pentagonal,rounded,ruit,sessile,seudostipule,short,side,slightly,slit,sometimes,specimen,stamen,straight,subequal,subglabrou,subtending,tall,tamen,tem,testal,thick,throughout,tip,tissue,toward,tri-,tube,typically,unit,usually,vary,wall,wet,white,whose,yellow,ympodial	5-merous,abaxial,adaxial,arrangement,calyx,capitate,characteristic,colour,form,growth,height,history,inflorescence,length,life,ovary,pseudostipule,shape,staman,stem,surface,texture,type
6	wfo-0001025704	success	248	150	128	120	22	0.516	0-100,0-3.5,0.3-0.8,0.5-1.5,0.7-1,1-3.5,1-6,1.2-3,1.5-3.2,1.5-4.5,1.8-3.5,1/2-4/5,2-10,2-3,2-4.5,2.5-4.5,2.7-4,3-15,3-5,3-6,4-5,6-12,8-15,abaxial,acute,adaxial,almost,anther,apex,apparently,articulated,auriculate,bark,base,berry,branched,calyx,cell,chartaceous,cm,connivent,cordate,densely,diameter,discolorous,drying,ellipsoid,elliptic,erect,evenly,filament,flattened-reniform,flower,fruit,fruiting,glabrescent,gray,green,green-yellow,irregular,lateral,leaf,length,lobe,lobed,lobing,long,long-styled,margin,maturity,mauve,mm,near,often,orange-brown,outline,ovate,pair,pale,pedicel,peduncle,per,petiole,pit,plant,poricidal,prickle,prickly,primary,raised,rarely,red-brown,red-green,round,shape,short-styled,shrub,side,small,smooth,sometimes,somewhat,sparsely,spherical,stellate-pubescent,stem,strongly,style,surface,tapering,terete,terminal,tip,tree,truncate,tube,unarmed,unbranched,vein,way,white,white-gray,wide,yellow,yellow-green,yellowish,young,×	-10,-2,-3,-5,/6,0,0-2,0-5,0.1,0.1-0.3,0.1-0.5,0.15-0.8,1,1-4,1.5-2,1/4-3/4,1/5,2,2-5,2-7,3-10,4-12,4.5-6.5,5-20,5-merous,6-15,8-12,8-17,abaxially,age,alyx,andromonoecious,apar,apart,apically,apiculate,axe,ba,blade,broad-deltate,brow,covering,curved,deltate,development,distal,distance,eaf,eed,elongating,end,equal,extending,flattened,free,glabrous,half,hermaphrodite,heterostylous,infructescence,less,longer,lower,lowermost,mature,midpoint,midvein,moderately,multangulate,nflorescence,obtuse,occasionally,older,one,open,orange,orolla,oung,pendulous,pericarp,plurifoliat,porrect,portion,prickl,prominent,ray,recurved,reflexed,retaining,rounded,ruit,scar,secondary,sessile,shorter,slender,spaced,spreading,stalk,stalked,staminat,stellate,stellate-pubescen,stout,straight,tamen,tertiary,throughout,time,trichome,unit,upper,variously,vary,venation,visible,warty,widening,woody,ympodial	arrangement,branch,brown,bud,characteristic,colour,corolla,exertion,form,glabrousnes,growth,height,inflorescence,na,new,number,ovary,seed,size,stigma,texture,type
7	wfo-0001025729	success	177	143	122	55	21	0.689	.5,/4,0.25-0.5,0.7-1.2,1-1.5,1-5,1.1-1.5,1.2-1.8,1.75,2,2-3.5,20,3-6,4-5,4-8,5-50-flowered,9-17,abaxial,abrupt,anther,anthesi,apical,apiculate,appearing,axil,bark,basal,base,berry,black,blackish,bright,bristly,bud,calyx,cm,corolla,covering,densely,dia,diam,difoliate,dirty,drying,elliptic,enclosed,expanded,f,filament,flattened-reniform,fleshy,fruiting,furcate,gently,glabrous,globose,green,greenish-yellow,greyish-brown,growing,lamina,lateral,leaf,like,live,lobe,lobed,long,main,minor,minutely,mm,occasionally,often,opposite,ovary,overtopping,pale,papillose,partially,pedicel,petiole,pit,pitted,plant,pore,poricidal,portion,pubescent,quite,reflexed,ripening,shaped,shiny,short,simple,size,sparsely,stem,stigma,stout,style,surface,tapering,tear-drop,terminal,tip,tree,treelet,trichome,tube,tuft,uniseriate,unit,usually,vein,way,white,widening,woody,x,yellow	-20,1.5-2,6-8,7-8,abaxially,acute,adaxially,along,apar,apex,branched,covered,cyathiform,dark,deflexed,deltoid,denser,differing,eaf,edicel,eed,free,geminat,glabrou,incrassate,lat,lon,lower,m.,mainly,major,margin,member,middle,minute,nflorescence,oblique,older,one,overlapping,pair,papillo,prominent,raised,rounded,ruit,scar,straight,tall,touching,tub,ud,widest,ympodial,young	4-20,adaxial,arrangement,characteristic,colour,diameter,exertion,form,fruit,geminate,growth,height,inflorescence,late,length,lobing,seed,shape,sympodial,texture,type
8	wfo-0001025749	success	217	110	88	129	22	0.406	-12,/5,0.2-1.5,0.3-1.5,0.4-0.7,0.5-0.8,0.5-0.9,0.5-1.3,0.5-3,0.8-0.9,1-10,1-2,1.5-2.5,2-2.5,5-10,abaxial,acute,adaxial,anther,apex,apparently,bark,base,berry,calyx,chartaceous,cm,cuneate,curved,dark,densely,diameter,dull,flattened,flattened-reniform,fruit,fruiting,gently,glabrescent,glabrous,gray,green-brown,lateral,leaf,length,light,lobed,long,long-ovate,lower,margin,maturity,mauve,mm,moderately,narrow-deltate,orange-brown,orange-red,orbicular,ovate,pale,pedicel,peduncle,petiole,poricidal,prickle,red-brown,rounded,shrub,sometimes,sparsely,spherical,spreading,stellate,stellate-pubescent,straight,straw-yellow,style,surface,tapering,tip,way,white,wide,yellow,yellow-green,yellow-orange,yellowish	-1,.5,0-10,0-3,0-5,0-6,0-8,0.1,0.1-0.2,0.1-0.3,0.1-0.4,0.2,0.5,0.6-4.5,1,1-13,1-3,1-6,1-8.5,1-9,1.5,1.5-2,1/4-1/3,1/5-1/2,2-10,2.5-6,2/3,3-20,3-5,4-8,5-,5-20,5-merous,6-8,abaxially,acuminat,adaxially,adnate,almost,alyx,apar,apart,apically,articulated,blade,branched,broad-deltate,concolorous,difoliate,discolorous,distance,drying,eaf,eed,elongating,equal,erect,extending,filament,filiform,flower,free,geminat,herbaceous,indistinct,infructescence,lobe,lon,longer,magnification,markedly,mature,midpoint,midvein,narrow-ovate,nflorescence,oblong,obtuse,occasionally,older,one,open,orange-brow,orolla,oung,pair,pendulous,per,perfec,pericarp,porrect,portion,prickl,prickly,primary,procumbent,purple,rarely,ray,recurved,reduced,ruit,scar,sessile,shorter,side,smooth,spaced,stalk,stalked,stem,strongly,tamen,terete,tertiary,time,toward,trichome,tube,unit,usually,variously,vary,vein,venation,visible,without,ympodial,½-2/	arrangement,characteristic,colour,corolla,form,growth,height,history,inflorescence,life,lobing,ovary,perennial,plant,seed,shape,size,staman,texture,type,width,½-2/3
9	wfo-0001025754	success	164	102	78	86	24	0.476	.5,0.5-1,0.5-1.5,1,1-3,1.5,10-20,2-4,2-foliate,3-10,4-6,5-12,5-15,absent,acuminate,acute,anther,apex,asymmetrical,base,berry,brown,calyx,center,chartaceous,ciliate,cm,cordate,cordiform,decurrent,densely,diameter,dm,drying,edge,entire,filament,fine,flower,fruit,glabrous,globose,hair,herb,immature,leaf,linear-lanceolate,margin,maturing,membranaceous,mm,moderately,nearly,oblong,often,parallel,pedicel,peduncle,petiole,pubescent,radiating,raised,ridge,rotate,running,semitransparent,shallow,slightly,sparsely,stem,stigma,style,surface,truncate,unbranched,white,x,yellow	-celled,0.1-0.2,1-2,1-3.5,1.5-3,1.5-4,10-35,2-5-celled,2-7,3-5,3-6,4,abaxially,abundant,adaxiall,adaxially,along,axe,barely,beyond,blade,branch,connected,decumbent,dehiscing,denser,dried,eaf,eed,eglandular,emarginat,equal,erect,explosively,exserted,flat,geminat,glandular,held,interpetalar,leaving,like,lobe,long,lower,lying,main,material,maturit,mesocarp,mixed,much-branched,nfloresence,notch,orolla,palmately,penden,per,placenta,pressure,probably,pubescen,rachi,ruit,short,small,solitary,sometimes,stamen,straight,swollen,tal,tamen,tem,tissue,triangular,tube,unit,upright,vary,vein,visible,watery,wid,woody,ympodial	abaxial,adaxial,arrangement,characteristic,colour,corolla,form,glabrousnes,growth,height,inflorescence,length,na,new,ovary,pendent,plant,seed,shape,size,staman,texture,type,wide
