	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025636	success	208	123	93	115	30	0.447	0-5,0.1-0.3,1,1-2,1-2.2,1-3.5,1-4,1-5.5,1.4-3.5,1.7-9.2,10-45,2,2-4,2.5-6,3-6,6.5-10,9.5-29.5,abaxially,acuminate,acute,adaxially,anther,apex,base,blue,broadly,brownish,chartaceous,clavate,cm,condition,corolla,cuneate,decurrent,diameter,distal,drying,elliptic,fresh,fruit,glabrous,globose,green,greenish,hair,half,herb,interjected,lanceolate,leaflet,like,lobe,long,membranous,minutely,mm,moderately,mottled,near,oblique,obtuse,odd-pinnate,orbicular,ovate,ovoid,pair,pedicel,peduncle,petiole,petiolule,plant,puberulent,pubescent,purple,ripe,rotate,rotate-pentagonal,scale-like,seed,size,slightly,sometimes,stem,stigma,style,subglabrous,tube,tuber,typically,whitish,wide,x,yellow	0-2,0.1,0.6-2.8,1-10,1-3,1-5,1.1-6.1,1.7-5.2,1.8,2.6-8.3,3-5,5-merou,absent,acumen,ag,along,alyx,apart,apparently,articulated,axe,berry,blade,capitat,cell,ciliate,clearly,connivent,contracted,covering,digestion,dorsally,eaf,edge,eed,end,enzyme,especially,exceeding,except,filament,flat,flower,folded,geminat,generally,glabrou,greatly,green-white,hair-like,hal,high,highly,homostylous,honeycomb-shaped,larger,lateral,lengthening,living,longer,lower,make,margin,midrib,minute,mucilaginous,multicellular,nflorescence,obovate,often,orne,orolla,perfect,petiolulate,plurifoliate,pore,poricidal,proximal,reduced,removed,rosette-forming,rounded,ruit,semierec,sessile,seudostipule,short,singly,slit,spaced,specimen,stamen,ste,stolo,straight,subequal,tall,tamen,tem,terminal,testal,thick,throughout,tip,tri-,truncate,unequal,unforked,unit,unwinged,uppermost,vary,wall,wet,ympodial	0.1-1.8,adhesion,arrangement,calyx,capitate,colour,decurrence,form,growth,height,hermaphroditic,history,inflorescence,leaf,length,life,na,number,ovary,perennial,position,pseudostipule,pubescence,reproduction,rugulose,shape,staman,surface,texture,ye
1	wfo-0001025637	success	193	111	77	116	34	0.399	0-0.3,0.2-0.9,1-12,1-2,1-2.5,1.5-5,1.6-2.5,14-38,2-7,2.5-8,2.8-4.2,3-10,3-9,5-7,acuminate,acute,anther,apex,axillary,base,blade,blue,brownish,bud,clavate,cm,condition,coriaceous,corolla,cuneate,dark,deep,diameter,dot,drying,elliptic,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,herb,lanceolate,leaf,lilac,lobe,long,medium,mm,mottled,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,purple,rotate,seed,size,stigma,stripe,style,subtending,terminal,tiny,tube,white,whitish,wide,x,yellow	0-27,0.2-0.5,0.3-0.5,0.8-2.6,1-5,1.2-3.5,2-20,2-3,3-4,3-5,4-6,5-merou,abaxially,acumen,adaxiall,adaxially,ag,along,alyx,apart,apparently,arranged,articulated,attenuate,axe,bead,berry,capitat,cell,connivent,covering,decreasing,decurrent,digestion,distal,dorsally,eaf,edge,eed,enzyme,erec,exceeding,filament,flat,flower,folded,forked,geminat,generally,glabrou,green-white,hair-like,hal,half,high,homostylous,honeycomb-shaped,interjected,lateral,leaflet,lengthening,light,like,linear,living,lower,make,moniliform,mucilaginous,multiple,necklace,nflorescence,onto,orolla,pair,perfect,petiolulate,petiolule,plurifoliate,pore,poricidal,rachi,removed,ripe,rounded,ruit,secondary,seudostipule,short,slit,sometimes,spaced,specimen,stamen,stolon,straight,subequal,symmetric,tall,tamen,tem,testal,thick,throughout,tip,toward,tri-,tuber,typically,unit,unwinged,usually,vary,wall,wet,ympodial	adhesion,arrangement,calyx,capitate,climate,colour,form,glandular,growth,height,hermaphroditic,history,inflorescence,length,life,margin,midpoint,na,number,ovary,perennial,position,presence,pubescence,ray,reproduction,rugulose,shape,staman,stellate,stem,stipe,surface,texture
2	wfo-0001025639	success	154	78	58	96	20	0.377	1-2,1-3,10-21,2-3,2-3.5,2.8-3.2,20-35,3-6,3.5-7,4-10,4.5-8.5,5-8,6-12,6-8,acute,broadly,calyx,cm,connate,corolla,dark,diameter,distal,elliptic,forked,globose,green,green-white,half,herbaceous,lateral,leaf,leaflet,lobe,long,long-attenuate,medium,mm,mucilaginous,obovate,odd-pinnate,ovate,ovoid,pedicel,peduncle,perennial,petiole,plant,puberulent,pubescent,rotate,seed,size,terminal,violet,white,wide,yellow	1-4,3-4,3-5,3-6-foliat,5-1.,5-10,8-12,8-9,abaxially,acumen,acuminate,adaxially,apex,apical,apically,articulate,base,belo,branched,cell,covering,cuneate,cyme,dehiscent,dichasial,dichasially,digestion,diminishing,dorsally,eaf,ebracteate,edge,eed,elliptical,emoval,enzyme,exceeding,filament,flat,flower,folded,frequently,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,lon,lower,lunat,make,maturing,monochasial,nflorescence,nther,oblique,often,orolla,pair,pattern,perfect,petiolule,plan,poricidally,present,produced,proximal,rare,reveal,ruit,seudostipule,short,slit,sometimes,stamen,stigma,straight,style,tal,tem,testal,thick,throughou,throughout,top,toward,truncate,tuber-bearing,typically,unit,vary,wall,ympodial,¼	anther,arrangement,colour,form,fruit,growth,height,history,inflorescence,length,life,na,ovary,position,reproduction,rugulose,shape,stem,surface,texture
3	wfo-0001025642	success	149	92	56	93	36	0.376	0.3-0.4,1,1-2.7,1-3,1-3.2,1.5-2.5,10-20,3-5,4.5-8,5-6,5.5-7,7-11.5,9-12,acumen,acuminate,acute,apex,apiculate,base,calyx,cm,connate,corolla,diameter,distal,elliptic,elliptic-lanceolate,globose,green,green-white,half,herbaceous,leaf,lobe,long,mm,oblique,obtuse,odd-pinnate,ovoid,pedicel,peduncle,perennial,petiole,plant,present,puberulent,seed,size,stellate,stigma,style,throughout,tuber-bearing,wide,yellow	1-2,1-2.5,1-4,2-10,2-3,3,3-6-foliat,3.5-6,4-7.5,8-13,abaxially,absen,absent,adaxially,apical,apically,articulate,attenuate,branched,cell,covering,cyme,dehiscent,dichasial,dichasially,digestion,diminishing,dorsally,eaf,ebracteate,edge,eed,emoval,enzyme,exceeding,filament,flat,flower,folded,forked,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,lanceolat,lanceolate,lateral,leaflet,living,lon,lower,lunate,make,maturing,monochasial,mucilaginous,nflorescence,nther,often,orolla,pair,pattern,perfect,plan,poricidally,proximal,reveal,ruit,sessile,seudostipule,short,slit,specimen,stamen,straight,tal,tem,terminal,testal,thick,throughou,toward,typically,unit,vary,wall,whit,without,ympodial,¼	adhesion,anther,arrangement,blade,climate,colour,form,fruit,glandular,growth,hair,height,history,inflorescence,length,life,margin,midpoint,na,number,ovary,position,presence,pubescence,ray,reproduction,rugulose,shape,staman,stem,stipe,surface,texture,tube,vegetative,white
4	wfo-0001025644	success	204	149	122	82	27	0.598	0-5,0.8-1.5,1-2,1.3-2.1,10,10-11,12-28,2-3,2-4,2.4-4,2.5-11,2.5-6,25-50,3-10,3-5,3.3-8.2,4-19,4-6,4.5-9.5,6.5-13,abaxially,acuminate,acute,adaxially,almost,along,anther,apex,articulated,attenuate,axillary,base,blue,broadly,brownish,bud,cell,chartaceous,ciliate,clavate,cm,condition,connivent,cordate,corolla,covering,cuneate,denticulate,diameter,drying,elliptic,especially,finely,fresh,fruit,glabrous,globose,green,green-white,greenish,hair,hair-like,herb,interjected,lanceolate,lateral,leaflet,like,lobe,long,make,margin,membranous,midrib,minutely,mm,mottled,mucilaginous,multicellular,non-glandular,oblique,odd-pinnate,orbicular,ovate,ovoid,pair,pedicel,peduncle,pentagonal,petiole,petiolule,plant,puberulent,pubescent,purple,rounded,seed,shallowly,short,size,stem,stigma,straight,style,subtending,terminal,testal,thick,throughout,tinged,trichome,truncate,tube,typically,uniseriate,usually,wall,wet,white,whitish,x,yellow	.3,1-10,13-21,2,3-4,5-merou,6-7,absent,acumen,ag,always,alyx,apart,apparently,axe,berry,blade,c.,capitat,digestion,distal,dorsally,eaf,edge,eed,end,enzyme,erec,exceeding,except,filament,flat,flower,folded,forked,geminat,generally,glabrou,greatly,half,homostylous,honeycomb-shaped,invested,lengthening,living,lower,middl,nflorescence,often,one,orolla,perfect,placed,plurifoliate,pore,poricidal,proximal,rarely,reduced,removed,ruit,sessile,seudostipule,slit,spaced,specimen,stamen,ste,stolo,subequal,tall,tamen,tem,tip,tri-,tuber,unit,vary,well-developed,wing,winged,ympodial	adhesion,arrangement,calyx,capitate,colour,form,growth,height,history,inflorescence,leaf,length,life,middle,na,number,ovary,perennial,position,pseudostipule,pubescence,reproduction,rugulose,shape,staman,surface,texture
5	wfo-0001025645	success	150	83	61	89	22	0.407	0.3-0.8,0.8,1-2,1-3.5,10-11,10-16,15-25,2-4.5,2.5,4-12,4-5,4-6,4-7,5,5-5.5,acuminate,acute,apex,base,calyx,cm,connate,corolla,cuneate,diameter,distal,elliptic,elliptic-lanceolate,glabrous,globose,green,green-white,half,herbaceous,lanceolate,lateral,leaf,leaflet,lobe,long,mm,mucronate,oblong,odd-pinnate,ovoid,pair,pedicel,peduncle,perennial,petiole,plant,puberulent,seed,size,stellate,stigma,style,terminal,throughout,wide,yellow	0.5-1,1-4,12-17,2-3,3-5.5,3-6-foliat,8-10,abaxially,absen,acumen,adaxially,apical,apically,articulate,branched,cell,covering,cyme,decurrent,dehiscent,dichasial,dichasially,digestion,diminishing,dorsally,eaf,ebracteate,edge,eed,emoval,enzyme,exceeding,filament,flat,flower,folded,forked,generally,globo,gradually,hair-like,honeycomb,interjected,introrse,larger,living,lon,lower,lunat,make,maturing,monochasial,mucilaginous,nflorescence,nther,oblique,often,orolla,pattern,perfect,plan,poricidally,proximal,rachi,reveal,ruit,second,sessile,seudostipule,short,slit,specimen,stamen,straight,tal,tem,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,without,ympodial,¼	anther,arrangement,colour,form,fruit,growth,height,history,inflorescence,length,life,na,ovary,position,reproduction,rugulose,shape,stem,surface,texture,tube,white
6	wfo-0001025646	success	136	81	58	78	23	0.426	0.25-0.4,0.5-2.1,0.6-2.3,0.6-3,0.7-3.5,1-7,1.1-1.4,1.1-4.5,1.2-7.0,2-4,2.3-9.0,3.2-6,3.5-7,4-15.5,4-5,7-8,acuminate,acute,apex,attenuate,base,calyx,cm,connate,corolla,cuneate,diameter,distal,elliptic,fruit,globose,half,herbaceous,interjected,leaf,leaflet,lobe,long,mm,oblique,obovate,odd-pinnate,ovary,ovate,pedicel,peduncle,pentagonal,perennial,petiole,plant,puberulent,size,stigma,strigose,style,terminal,wide,yellow	0-.,1-4,1.2,1.5-3,2-3,2.5-3,3,3-6-foliat,4-10,abaxially,abruptly,acumen,adaxially,apical,apically,apiculate,articulate,ature,branched,caudate,cyme,decurrent,dehiscent,dichasial,dichasially,diminishing,dorsally,eaf,ebracteate,edge,eed,exceeding,filament,flat,flower,folded,forked,generally,globo,gradually,introrse,lateral,like,lon,lower,lunat,maturing,monochasial,nflorescence,nther,often,orolla,pair,perfect,petiolule,plan,poricidally,probably,proximal,seen,sessile,seudostipule,short,slightly,slit,sometimes,stamen,straight,tal,tem,toward,tuber-bearing,typically,unit,vary,whit,ympodial,¼	0-4,anther,arrangement,colour,form,growth,height,history,inflorescence,length,life,lunate,na,number,position,pseudostipule,reproduction,seed,shape,stem,texture,tube,white
7	wfo-0001025647	success	194	122	91	103	31	0.469	0-4,0.06-0.24,0.4-1.5,0.6-3,0.8-3,1-2,1-5,1.2-3,1.3-2.9,1.4-5,1.5-5,1.5-5.5,2,2-3,2-4,2.5-3,4-10,5-6,6.2-11,abaxially,absent,acute,adaxially,anther,apex,attenuate,axillary,base,blue,broadly,brownish,chartaceous,clavate,cm,condition,corolla,decurrent,densely,diameter,drying,elliptic,flat,frequently,fresh,fruit,glabrous,globose,green,greenish,hair,herb,interjected,lanceolate,lateral,leaflet,light,like,linear,lobe,long,margin,membranous,minutely,mm,moderately,narrowly,oblique,obtuse,odd-pinnate,orbicular,ovate,ovoid,pedicel,peduncle,petiole,plant,puberulent,pubescent,ripe,rotate,scale-like,seed,size,stem,stigma,style,terminal,tube,whitish,x,yellow	1,1-10,1-3,2-5,3-6,4-6,5-merou,acumen,ag,along,alyx,apart,apparently,articulated,axe,berry,blade,borne,bud,capitat,cell,ciliate,connivent,covering,digestion,distal,dorsally,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,filament,flower,folded,forming,geminat,glabrou,greatly,green-white,hair-like,hal,half,high,homostylous,honeycomb-shaped,lengthening,living,lower,make,midrib,mucilaginous,multicellular,near,nflorescence,often,orolla,pair,perfect,petiolulate,plurifoliate,pore,poricidal,proximal,reduced,removed,rosette,ruit,sessile,seudostipule,short,singly,slit,sometimes,spaced,specimen,stamen,ste,stolo,straight,subequal,subtending,tall,tamen,tem,testal,thick,throughout,tip,tri-,tuber,typically,unbranched,unit,unwinged,vary,wall,wet,ympodial	adhesion,arrangement,calyx,capitate,climate,colour,form,frequency,growth,height,history,inflorescence,leaf,length,life,midpoint,na,number,ovary,perennial,position,pseudostipule,pubescence,ray,reproduction,rugulose,shape,staman,stipe,surface,texture
8	wfo-0001025652	success	156	87	63	93	24	0.404	.3,0.5-1,1-1.5,1.5-2,10-20,2-3,2-6,20-50,3-3.5,3-5,4,4-6,4-7,anther,anthesi,bilobed,calyx,campanulate,cm,connate,corolla,densely,elliptic,fruit,glabrous,green,growth,irregular,leaf,lobe,minutely,mm,opposite,ovary,ovoid-reniform,pale,papillose,pedicel,petiole,pinkish-grey,pitted,planar,plant,poricidal,red-papillose,shape,shiny,shrub,size,small,stem,stigma,strongly,style,surface,tan,tightly,tip,tree,tube,white,winged,x	.5,1,15-17,15-19,2-5,3-5-flowered,9-11,abruptly,acuminate,acute,apex,appearing,bark,base,blade,broad,closed,closely,completely,decurrent,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,filament,fleshy,flower,free,furcate,geminat,glabrate,greyi,greyish,growing,lateral,like,live,lobed,lon,long,lower,main,major,margin,matte,middle,minor,minute,narrowing,nearly,new,nflorescence,occasionally,older,one,onto,overlappin,ovoid,pair,paler,papillae,papillo,parallel,pore,portion,rather,ry,scar,shaped,simple,soon,spaced,specimen,straight,tall,tapering,tear,tear-drop,thick,thicker,ud,unit,vein,wider,widest,wing,ympodial,young	adhesion,arrangement,colour,diameter,form,height,history,inflorescence,length,life,na,number,peduncle,perennial,position,presence,pubescence,ray,reproduction,rugulose,seed,staman,stellate,texture
9	wfo-0001025653	success	218	118	81	137	37	0.372	.0,.1,.2,.3,.5,.6,.7,.9,0.1,1.3,20,90°,acuminate,adnate,anther,apex,attenuate,base,blade,broad,brown,calyx,chartaceous,clinate,cm,corolla,deltoid,diameter,erect,extra-axillary,flower,fruit,glabrous,glandular,globolunate,globose,hair,heterostylous,lateral,leaf,least,less,lobe,lobed,long,margin,midpoint,minute,mm,much,obtuse,opposed,ovate,pedicel,peduncle,petiole,porrect-stellate,pubescent,ray,reddish,reduced,restricted,rhizomatous,rounded,scarcely,sessile,short,shrub,simple,sinuate,sparsely,stellate,stem,stigma,stipe,style,subcordate,surface,truncate,tube,±equal	.8,0.13,0.15,0.2–0.4,0.3–0.5,0.3–0.8,0.6–1.6,0.7–1.1,0.8,1.0–1.6,1.1–1.3,1.3–1.8,1.6,1.9–3.3,1–1.5,2.3–3.2,2.5–4.0,2.6,4–6,5-merou,6–8,6–9,7–12,8–11,abaxially,absent,adaxiall,adaxially,aequilateral,ag,alyx,among,anthesi,apart,apical,apparently,appearing,around,articulate,axe,ba,bark,bud,channeled,congested,craspedodromous,cylindrical,densely,developed,directed,distinct,dry,eaf,edge,eed,either,emerging,entire,extending,ferruginous,fertile,filament,filiform,free,increasing,intact,internode,interpetalar,intersepalar,know,known,lanceolate,layer,lon,longer,low,lower,mature,midrib,midvein,nflorescence,noticeably,oblique,occasionally,opaque,orolla,persistent,plurifoliat,pore,porrect,portion,potentially,prickl,prickle,primary,raised,remaining,rigid,row,ruit,secondary,see,seen,short-stipitate,shorter,shot-stipitate,side,sloughing,splitting,spread,stamen,stellae,stellate-pubescent,stipitate,straight,suture,tamen,tem,time,tip,tissue,transparent,truncat,two,ud,unarme,unarmed,unbranched,vary,vein,well,wide,yellow-ferruginous,ympodia,young,±erect,×	0.2-0.4,0.3-0.5,0.3-0.8,0.6-1.6,0.7-1.1,1.0-1.6,1.3-1.8,2.5-4.0,6-9,7-12,adhesion,arrangement,climate,colour,dense,form,growth,height,history,inflorescence,length,life,na,number,ovary,plant,position,presence,present,pubescence,reproduction,rugulose,seed,shape,size,staman,texture
